nu,[0]alpha-Pinene(1S)(-)-PNNL(x-sec)-X=0.01-T=298.17K-P=1.0atm-L=15cm
672.594018,0.9995931727766462
672.71322,0.998337084179242
672.832422,0.9979705620995036
672.951624,0.9978785534553417
673.070826,0.9984330289831056
673.190028,0.9995985206144259
673.30923,0.9975363398045027
673.428432,0.9978129949879989
673.547634,1.0001507613633522
673.666836,0.9987002454136253
673.786038,0.9996321776632282
673.90524,0.9989637372914161
674.024442,0.9959985273130374
674.143644,1.000033349556084
674.262846,0.9963705026066014
674.382048,0.9990026576767851
674.50125,0.9993432157772422
674.620452,1.0007231813696424
674.739654,0.9955491345907562
674.858856,0.9972709306987284
674.978058,0.9991629005633846
675.09726,0.9957868005334848
675.216462,1.0015849547151217
675.335664,0.996498743742427
675.454866,0.9986976487963628
675.574068,0.9960799037168997
675.69327,0.997899509124998
675.812472,0.9984862468817948
675.931674,0.9999924283286652
676.050876,1.0001980996191386
676.170078,1.0012887296993567
676.28928,0.9995449535650481
676.408482,0.9952464341268654
676.527684,1.0007455878125127
676.646886,1.000943084424718
676.766088,0.9966203240054088
676.88529,0.9990626995407514
677.004492,0.998662295525352
677.123694,0.9975327486801434
677.242896,0.999058933081474
677.362098,1.0006216731587079
677.4813,0.9944060049865675
677.600502,0.9985211945120156
677.719704,0.9995815875589101
677.838906,0.999552590117665
677.958108,0.9990383526794313
678.07731,0.9944906325384432
678.196512,0.9964513115311204
678.315714,0.9956143451946958
678.434916,0.9998492413652252
678.554118,0.9954202193252704
678.67332,0.9981981253288846
678.792522,0.9995561085489746
678.911724,0.9986186549365914
679.030926,0.9982392519388505
679.150128,0.9983868026040126
679.26933,1.0007090512580803
679.388532,0.9993480526101117
679.507734,1.0010910948113192
679.626936,0.9988081108647595
679.746138,0.9983806126250254
679.86534,0.9976404880348213
679.984542,0.999624400555139
680.103744,0.9989537477039911
680.222946,1.0011606730602247
680.342148,1.0001820965775694
680.46135,0.9989739267735027
680.580552,0.9975714537016648
680.699754,0.9996764723463619
680.818956,1.0038582238565235
680.938158,0.9968782827236797
681.05736,1.0000028566040802
681.176562,0.9996178730291158
681.295764,1.001985368238833
681.414966,0.9980836385698505
681.534168,0.9993711777916064
681.65337,1.0014468456727037
681.772572,1.002265362064035
681.891774,1.0018289705300099
682.010976,1.0002885716287842
682.130178,0.9989179857999653
682.24938,1.0000211352233457
682.368582,0.9985361724422676
682.487784,0.9962406839879785
682.606986,0.9997598188481122
682.726188,0.9976017803348198
682.84539,0.9984992272873767
682.964592,0.9980611819406208
683.083794,0.997437089876458
683.202996,0.9968842640113199
683.322198,0.999642603881214
683.4414,1.0017458221761604
683.560602,1.0017209791878245
683.679804,0.9986472158385415
683.799006,0.997472000785541
683.918208,1.000379582023031
684.03741,0.9966947743242968
684.156612,1.0001484610192466
684.275814,1.0004167168023328
684.395016,1.001552503888295
684.514218,0.9991619413674605
684.63342,1.0007415348010893
684.752622,0.9967607577023828
684.871824,0.998567027686707
684.991026,0.9984479057460691
685.110228,1.0020011997327198
685.22943,1.0026137097992658
685.348632,0.9995057321905986
685.467834,0.9995144978943075
685.587036,0.9960133678016557
685.706238,0.9973939017854953
685.82544,0.9990644479020054
685.944642,1.0025378148140955
686.063844,0.9991578448118988
686.183046,0.9983056370563852
686.302248,1.0011265340633466
686.42145,0.9969479669510776
686.540652,0.9950606389621323
686.659854,1.0012094307722434
686.779056,0.999200329906687
686.898258,0.9976226304299115
687.01746,1.0009321942232023
