nu,[0]Methylnitrite-PNNL(x-sec)-X=0.01-T=278.04K-P=1.0atm-L=15cm
577.648353,0.6006577345085792
577.767955,0.6068582747169684
577.887558,0.6079333650374719
578.00716,0.6066701778083333
578.126763,0.6168866397973541
578.246365,0.6113534555995774
578.365967,0.6182514668497031
578.48557,0.6198858071020948
578.605172,0.6250147684530677
578.724774,0.6266481876835749
578.844377,0.6357562778587474
578.963979,0.6382533334994474
579.083582,0.6407730121408192
579.203184,0.647316450322703
579.322786,0.6440106601415203
579.442389,0.6553865924341405
579.561991,0.6514660462796307
579.681594,0.6601620128964297
579.801196,0.6609745117566556
579.920798,0.6663368203646386
580.040401,0.6700787742505935
580.160003,0.6748330176315485
580.279606,0.6789349219353862
580.399208,0.673302884040203
580.51881,0.6805322951803727
580.638413,0.6813357972616806
580.758015,0.683164226198742
580.877618,0.6863689279301842
580.99722,0.6888856409818871
581.116822,0.6915083864780246
581.236425,0.6955655662191008
581.356027,0.698793501694913
581.47563,0.6974321820845961
581.595232,0.7028934242608738
581.714834,0.7052520657508226
581.834437,0.7081424535134946
581.954039,0.7093969755807186
582.073641,0.7136161972741982
582.193244,0.713773210108377
582.312846,0.7140230744556251
582.432449,0.7163116079946639
582.552051,0.718061542369908
582.671653,0.7175949540250075
582.791256,0.7210188484100362
582.910858,0.7225418043336514
583.030461,0.723105606795407
583.150063,0.7259820420003336
583.269665,0.7254232509901412
583.389268,0.7280904456297579
583.50887,0.7257497649132095
583.628473,0.7280904456297579
583.748075,0.7247199316017302
583.867677,0.7277192141745542
583.98728,0.7257352500630602
584.106882,0.7269409710497101
584.226485,0.7252926865561146
584.346087,0.7265412634452999
584.465689,0.7269627796059683
584.585292,0.7249446296069181
584.704894,0.7256626801666092
584.824496,0.7241331461373284
584.944099,0.7255610945025484
585.063701,0.7227875103147747
585.183304,0.7236698491946361
585.302906,0.7191106779043468
585.422508,0.720276581329343
585.542111,0.7210116382576028
585.661713,0.7198085536769444
585.781316,0.7205071067174633
585.900918,0.7228670213139341
586.02052,0.7206656357184918
586.140123,0.7189381120503805
586.259725,0.7155670311694098
586.379328,0.7123827085283214
586.49893,0.7140159342605815
586.618532,0.7084895283421048
586.738135,0.7098369380798599
586.857737,0.7093898816464326
586.97734,0.7058447263686642
587.096942,0.7023313343873925
587.216544,0.7016504032980058
587.336147,0.6977391197660513
587.455749,0.6983673676429787
587.575352,0.6998494769431407
587.694954,0.6965121789399044
587.814556,0.6983673676429787
587.934159,0.6915913724634616
588.053761,0.6888236440641019
588.173363,0.6884999730200454
588.292966,0.692601833324195
588.412568,0.6890027614958156
588.532171,0.6879837916324967
588.651773,0.6858817789497061
588.771375,0.6832530433211357
588.890978,0.6805527114554707
589.01058,0.6778291594538789
589.130183,0.6778562731625276
589.249785,0.6736935129843895
589.369387,0.6739495651661569
589.48899,0.6694491961508627
589.608592,0.6699514713776418
589.728195,0.665491109742691
589.847797,0.664188024608188
589.967399,0.6621454726371354
590.087002,0.663623704657227
590.206604,0.661629200540771
590.326207,0.6563704100015015
590.445809,0.6526658472832046
590.565411,0.6537044114200743
590.685014,0.6535671479068493
590.804616,0.6457712113026074
590.924218,0.648087215412859
591.043821,0.6437595449547094
591.163423,0.644493849309915
591.283026,0.6412152980903012
591.402628,0.6403246279850842
591.52223,0.640632057583718
591.641833,0.6396398470562709
591.761435,0.6364178083239365
591.881038,0.6331486818372188
592.00064,0.6356418520273666
592.120242,0.6320606021212625
592.239845,0.6316498962237607
592.359447,0.623834606145377
592.47905,0.622152524540815
592.598652,0.6211081857897659
592.718254,0.6218104347356376
592.837857,0.6169915194406367
592.957459,0.6101014647446822
593.077062,0.6060577502567219
593.196664,0.6047258887909536
593.316266,0.6018963647928387
593.435869,0.6055064885660991
593.555471,0.606251719770271
593.675074,0.59938568895613
593.794676,0.593522591967366
593.914278,0.5943065590932339
594.033881,0.5975125447496308
594.153483,0.591679604038041
594.273085,0.5922182775369846
594.392688,0.5877286013300893
594.51229,0.5894295937380581
594.631893,0.5889287914545037
594.751495,0.5803058423653786
594.871097,0.5836230306722534
594.9907,0.5820144519673365
595.110302,0.5792564387874313
595.229905,0.5723755197195277
595.349507,0.5724957312004325
595.469109,0.568087399351711
595.588712,0.5666292892094658
595.708314,0.5615525054019588
595.827917,0.5627273774518778
595.947519,0.5628737055918492
596.067121,0.561232511680754
596.186724,0.55807048911514
596.306326,0.5538009238750042
596.425929,0.5485976412876494
596.545531,0.5472004994153292
