nu,[0]1-1-2-Trifluoro-2-(trifluoromethoxy)-ethane-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
807.063322,0.9999999513930011
807.545439,0.9999993438102153
808.027556,0.999998979300521
808.509672,0.9999992466002838
808.991789,0.9999996111500756
809.473906,0.9999996111500756
809.956022,0.999999465330143
810.438139,0.9999995382401066
810.920256,0.9999997326600357
811.402372,0.9999996597500579
811.884489,0.9999993195102316
812.366606,0.9999990764804264
812.848723,0.9999991736903414
813.330839,0.9999992709002657
813.812956,0.9999993195102316
814.295073,0.9999993438102153
814.777189,0.9999992709002657
815.259306,0.9999990764804264
815.741423,0.9999990764804264
816.223539,0.9999992223003024
816.705656,0.9999991493903617
817.187773,0.999998979300521
817.669889,0.9999990035704964
818.152006,0.9999991007804043
818.634123,0.9999992709002657
819.11624,0.9999994896301302
819.598356,0.9999995868400854
820.080473,0.9999995382401066
820.56259,0.9999995868400854
821.044706,0.9999997326600357
821.526823,0.9999997812700239
822.00894,0.9999995868400854
822.491056,0.9999991736903414
822.973173,0.999998906400598
823.45529,0.9999991493903617
823.937407,0.9999995139301181
824.419523,0.9999996597500579
824.90164,0.9999996111500756
825.383757,0.9999995382401066
825.865873,0.9999994896301302
826.34799,0.9999994410201563
826.830107,0.9999994167201701
827.312223,0.9999995139301181
827.79434,0.9999998055700189
828.276457,0.9999999270900026
828.758573,0.9999998784800074
829.24069,0.9999999513930011
829.722807,1.0
830.204924,0.9999999513930011
830.68704,0.9999999513930011
831.169157,1.0
831.651274,0.9999999756970003
832.13339,0.9999999270900026
832.615507,1.0
833.097624,0.9999999756970003
833.57974,0.9999999756970003
834.061857,0.9999998784800074
834.543974,0.9999998055700189
835.026091,0.9999998298800145
835.508207,0.9999998784800074
835.990324,0.9999999513930011
836.472441,0.9999999513930011
836.954557,0.9999997326600357
837.436674,0.9999995139301181
837.918791,0.9999995868400854
838.400907,0.9999998784800074
838.883024,0.9999998784800074
839.365141,0.9999998055700189
839.847257,0.9999998055700189
840.329374,0.9999999027870047
840.811491,0.9999999027870047
841.293608,0.9999997812700239
841.775724,0.9999997569700295
842.257841,0.9999997812700239
842.739958,0.9999997812700239
843.222074,0.9999998298800145
843.704191,0.9999999270900026
