nu,[0]Menthol-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
645.566688,0.9997292966467665
645.807742,1.0
646.048796,1.0
646.28985,1.0
646.530904,0.9925159460507332
646.771958,1.0
647.013012,1.0
647.254066,1.0
647.49512,0.9996146542647468
647.736174,1.0
647.977228,1.0
648.218282,1.0
648.459336,1.0
648.70039,1.0
648.941444,1.0
649.182498,0.9975798333370703
649.423552,1.0
649.664606,1.0
649.90566,1.0
650.146714,0.9981269563397532
650.387768,1.0
650.628822,1.0
650.869876,1.0
651.11093,1.0
651.351984,1.0
651.593038,1.0
651.834092,0.9993450245900998
652.075146,1.0
652.3162,1.0
652.557254,1.0
652.798308,0.9991755200705108
653.039362,1.0
653.280416,1.0
653.52147,1.0
653.762524,1.0
654.003578,1.0
654.244632,1.0
654.485686,1.0
654.72674,1.0
654.967794,0.9989521493792735
655.208848,1.0
655.449902,1.0
655.690956,1.0
655.93201,0.9953563153985276
656.173064,1.0
656.414118,1.0
656.655172,0.9996638365156101
656.896226,1.0
657.13728,1.0
657.378334,1.0
657.619388,0.9995098701528955
657.860442,1.0
658.101496,1.0
658.34255,1.0
658.583604,0.9929353726355665
658.824658,1.0
659.065712,1.0
659.306766,1.0
659.54782,1.0
659.788874,1.0
660.029928,1.0
660.270982,0.9990359050384656
660.512036,1.0
660.75309,1.0
660.994144,1.0
661.235198,0.9930624764977376
661.476252,1.0
661.717306,1.0
661.95836,1.0
662.199414,1.0
662.440468,1.0
662.681522,1.0
662.922576,0.9999791772167972
663.16363,1.0
663.404684,0.999786512791638
663.645738,1.0
663.886792,0.9981828530144006
664.127846,1.0
664.3689,0.9992608632962106
664.609954,1.0
664.851008,1.0
665.092062,1.0
665.333116,1.0
665.57417,0.9953268532876333
665.815224,1.0
666.056278,0.9988173998233841
666.297332,1.0
666.538386,0.9988523590441607
666.77944,1.0
667.020494,0.9977387604627304
667.261548,1.0
667.502602,0.9991559264306785
667.743656,1.0
667.98471,1.0
668.225764,1.0
668.466818,1.0
668.707872,0.999644853079603
668.948926,1.0
669.18998,1.0
669.431034,1.0
669.672088,0.9970210459153663
669.913142,1.0
670.154196,1.0
670.39525,1.0
670.636304,0.9971869640214103
670.877358,1.0
671.118412,1.0
671.359466,0.9999944555153707
671.60052,1.0
671.841574,1.0
