nu,[0]PFC-31-10-PNNL(x-sec)-X=0.01-T=278.16K-P=1.0atm-L=15cm
581.841637,0.9226668981754679
581.961639,0.921844246259596
582.081642,0.9205453618011059
582.201644,0.9197751876961047
582.321646,0.9193181730053775
582.441649,0.9167788524381658
582.561651,0.9156812089926473
582.681654,0.9151356255920909
582.801656,0.914845573574452
582.921658,0.9112144579876599
583.041661,0.9116145689526475
583.161663,0.9109311143534446
583.281666,0.9080425865444609
583.401668,0.9074670700026132
583.52167,0.9064712179825596
583.641673,0.9055117730784594
583.761675,0.9038336057208409
583.881678,0.903264369877355
584.00168,0.9009369514638438
584.121682,0.8988042591275528
584.241685,0.8976994095106342
584.361687,0.8963628333869532
584.48169,0.8948224144535749
584.601692,0.8921062849223051
584.721694,0.8909562097727136
584.841697,0.8888915872542142
584.961699,0.8882162862947701
585.081702,0.8857593316349346
585.201704,0.8834946877269487
585.321706,0.8807777103817223
585.441709,0.8800821707648432
585.561711,0.8779373879672882
585.681714,0.8754563375016232
585.801716,0.8740567273483266
585.921718,0.8717871316102194
586.041721,0.8693147685737156
586.161723,0.8670141341239914
586.281726,0.8650395937296091
586.401728,0.8633889449769553
586.52173,0.8600454863746124
586.641733,0.8578551642319697
586.761735,0.8551144152435809
586.881738,0.852936651313796
587.00174,0.8498800985305878
587.121742,0.8473427522590011
587.241745,0.842720440950876
587.361747,0.8410703265270042
587.48175,0.8386850754593901
587.601752,0.8356210985812124
587.721754,0.8321937439045044
587.841757,0.8299830500720142
587.961759,0.8255049659108599
588.081762,0.8210838854690874
588.201764,0.8197138197036828
588.321766,0.8149080452670582
588.441769,0.8123370002346175
588.561771,0.8075017957893971
588.681774,0.8048575288676326
588.801776,0.8000188412732353
588.921778,0.7998428564871914
589.041781,0.7948276343287936
589.161783,0.7910690661857386
589.281786,0.7870527548225186
589.401788,0.7814219548050394
589.52179,0.7785749635897216
589.641793,0.7746298318933282
589.761795,0.7729429781983785
589.881798,0.7665924306563239
590.0018,0.7631199894271132
590.121802,0.7613287629673869
590.241805,0.7546358228078978
590.361807,0.7513076930561425
590.48181,0.74688802849826
590.601812,0.7442115077053794
590.721814,0.7389906576461311
590.841817,0.734709570526018
590.961819,0.731418119391816
591.081822,0.7286731510373471
591.201824,0.7236409029795964
591.321826,0.7195638603689138
591.441829,0.7189596805172674
591.561831,0.7122901047955857
591.681834,0.7117987941449441
591.801836,0.709361506618671
591.921838,0.7059294328181138
592.041841,0.699982460976843
592.161843,0.6973903374090239
592.281846,0.6925464273937958
592.401848,0.6921102605515193
592.52185,0.6893266689059975
592.641853,0.6873717584531078
592.761855,0.6850592144523726
592.881858,0.6805527114554707
593.00186,0.6761637490163269
593.121862,0.6748870064324821
593.241865,0.6709236056381522
593.361867,0.6684524596017316
593.48187,0.6678911952996754
593.601872,0.6653580248296773
593.721874,0.6656907870257086
593.841877,0.660855547051684
593.961879,0.66006959668391
594.081882,0.6596209019316704
594.201884,0.6561407205559987
594.321886,0.6540182648563546
594.441889,0.6557668269150926
594.561891,0.6522743652311948
594.681894,0.649228853258595
594.801896,0.6507563351520177
594.921898,0.6488394327844648
595.041901,0.648346502152915
595.161903,0.6505286102888903
595.281906,0.6483205688114991
595.401908,0.6448548669410308
595.52191,0.6452741588596534
595.641913,0.6452096346700307
595.761915,0.645596876611798
595.881918,0.6459455930701383
596.00192,0.6459197557631651
596.121922,0.6460424921763501
596.241925,0.6431354009548813
596.361927,0.6420494200396135
596.48193,0.644429403147346
596.601932,0.6409716825669078
596.721934,0.642775345955156
596.841937,0.6411832381269025
596.961939,0.6414654208273198
597.081942,0.6413435539750802
597.201944,0.6391602970247193
597.321946,0.6379917032705744
597.441949,0.6379470454143887
597.561951,0.6396718298481868
597.681954,0.6392178240401284
597.801956,0.64003014639217
597.921958,0.6407794199029794
598.041961,0.6387385904071748
598.161963,0.6393009277588784
598.281966,0.6399725462710391
598.401968,0.6416835561513049
598.52197,0.6426403773047097
598.641973,0.6422741766667427
598.761975,0.643637242260292
598.881978,0.6427110716343301
599.00198,0.6446743328542389
599.121982,0.6485280645910729
599.241985,0.6483724365316852
599.361987,0.6490990204716548
599.48199,0.6517527544111571
599.601992,0.6525875320805368
599.721994,0.6550458799989853
599.841997,0.6572111020544348
599.961999,0.6549803786861057
600.082002,0.6610075613084753
600.202004,0.6596934642217357
600.322006,0.6636170684533615
600.442009,0.6645866570007117
600.562011,0.6681584052162158
600.682014,0.6655177299194807
600.802016,0.6692283143636324
600.922018,0.6704809421534497
