nu,[0]1-Butene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
590.48731,0.9910888418323178
590.606812,0.9914058427296776
590.726315,0.99124465324471
590.845817,0.990705364658148
590.965319,0.990871618966684
591.084822,0.9902700453188128
591.204324,0.9908675564013745
591.323826,0.9907521270549438
591.443329,0.9907915597743064
591.562831,0.9905593454492775
591.682334,0.9899448940286941
591.801836,0.9912161058097816
591.921338,0.9902272665768824
592.040841,0.9904712886376503
592.160343,0.9906857488861245
592.279846,0.9903013383466721
592.399348,0.9893511052467251
592.51885,0.9894480664060585
592.638353,0.9903631350782228
592.757855,0.9895608699153067
592.877358,0.989590557186711
592.99686,0.9902446947301415
593.116362,0.9890306074120782
593.235865,0.9899448940286941
593.355367,0.9895994635418042
593.474869,0.9894975400462095
593.594372,0.9893867225276212
593.713874,0.9891671030538837
593.833377,0.9886400174687426
593.952879,0.9888624864995005
594.072381,0.9886192562463694
594.191884,0.9884423092367312
594.311386,0.9885372042533057
594.430889,0.9880598560725171
594.550391,0.9879630309511304
594.669893,0.9882713235079251
594.789396,0.9885925638867992
594.908898,0.9881527380643731
595.028401,0.9879650068791682
595.147903,0.9879007912407519
595.267405,0.9870920317249545
595.386908,0.9876656988295432
595.50641,0.9876123663217972
595.625913,0.986438793045812
595.745415,0.987400052487593
595.864917,0.9870031974397021
595.98442,0.9871107866517286
596.103922,0.9868689741322421
596.223424,0.9859900654882369
596.342927,0.9871157222180007
596.462429,0.9863125369608639
596.581932,0.9859614721909425
596.701434,0.9862129244251485
596.820936,0.9858609092495763
596.940439,0.9861724905241477
597.059941,0.9855858924225269
597.179444,0.985144448833469
597.298946,0.9850213134734851
597.418448,0.9851464191243369
597.537951,0.9849927482695918
597.657453,0.9853838680227889
597.776956,0.9851976480700724
597.896458,0.9848558437926639
598.01596,0.9841873536528146
598.135463,0.9841037012830302
598.254965,0.9836265267120949
598.374467,0.984019072003831
598.49397,0.9840230080879911
598.613472,0.9835075151027104
598.732975,0.9837239105586604
598.852477,0.9829097242803531
598.971979,0.9829166046725044
599.091482,0.982666975559157
599.210984,0.9827888338191824
599.330487,0.982832077479224
599.449989,0.982637495992086
599.569491,0.9822179993502043
599.688994,0.9824812690505943
599.808496,0.9821158539899226
599.927999,0.9814541309300551
600.047501,0.9814708157921018
600.167003,0.9812146853356586
600.286506,0.980964507489929
600.406008,0.9807222391779472
600.525511,0.9811165687730349
600.645013,0.9801976931085721
600.764515,0.9805153286153127
600.884018,0.9795068972690759
601.00352,0.9797204530494148
601.123022,0.9795049382572404
601.242525,0.9799771734370161
601.362027,0.9790113921524245
601.48153,0.9785494078122098
601.601032,0.9794089514767202
601.720534,0.9785738718532043
601.840037,0.9787510097545061
601.959539,0.9778979108791668
602.079042,0.9785210302908592
602.198544,0.9774393842918541
602.318046,0.9771999409757065
602.437549,0.9776045855069088
602.557051,0.9772771428204763
602.676554,0.9767485788756491
602.796056,0.976593288197544
602.915558,0.9766108670349406
603.035061,0.9766850922813589
603.154563,0.9761880860681994
603.274065,0.9759167434986371
603.393568,0.9754854836134664
603.51307,0.9753928168942619
603.632573,0.9744101162991398
603.752075,0.9745660343908623
603.871577,0.9742756569809967
603.99108,0.9735082301691703
604.110582,0.9732532044226977
604.230085,0.9734848662520145
604.349587,0.9732424986963306
604.469089,0.9736250581663303
604.588592,0.9733125746789418
604.708094,0.9724749132171506
604.827597,0.9730498157578291
604.947099,0.9723008557862896
605.066601,0.9710066132032988
605.186104,0.9717322261260468
605.305606,0.9712280279514313
