nu,[0]Ethanol-PNNL(x-sec)-X=0.01-T=278.08K-P=1.0atm-L=15cm
646.964939,0.9993935339749066
647.082942,0.9975353422686617
647.200944,0.9994579869421762
647.318946,0.9984124614745546
647.436949,0.9994800152389594
647.554951,0.9987576723287446
647.672953,0.9969823622492529
647.790956,0.9991544476810016
647.908958,0.9981705754408158
648.026961,0.99875207930144
648.144963,0.9987279097935732
648.262965,0.9980297435085476
648.380968,0.9996096562039707
648.49897,0.9983096302869199
648.616972,0.9987488832998999
648.734975,1.0003052265721537
648.852977,0.99913385532004
648.970979,0.9983948895698659
649.088982,0.9986733807383552
649.206984,0.9983780168388071
649.324986,0.9996251702662238
649.442989,0.9993084792107868
649.560991,0.997926851946143
649.678994,0.9979806416530824
649.796996,0.9999753373041292
649.914998,0.9988046150424892
650.033001,1.0000443569837418
650.151003,0.9989717290332814
650.269005,0.9987044399634646
650.387008,0.9969830601371507
650.50501,1.0001280481974706
650.623012,0.9975756435105689
650.741015,0.9998470217023733
650.859017,0.9996725136353697
650.97702,0.998741892082186
651.095022,0.9996606575896645
651.213024,1.0000031693050222
651.331027,0.9975508041862964
651.449029,0.9989262768536552
651.567031,0.9987708560170314
651.685034,0.9988639457987287
651.803036,0.9990318989125186
651.921038,0.9992213433105801
652.039041,0.9992310657815502
652.157043,1.0006047828074198
652.275046,0.997444470938233
652.393048,1.000363355997804
652.51105,1.0004621867754089
652.629053,0.9997736056310736
652.747055,0.9993826506385814
652.865057,1.001096000169702
652.98306,0.9993053313940351
653.101062,0.9989515500081637
653.219064,0.9992917209481088
653.337067,0.9975827263227818
653.455069,0.9996295386377627
653.573071,1.0002724771151472
653.691074,0.9998741079250724
653.809076,0.9997893821830472
653.927079,0.9982107027045011
654.045081,1.0003724493420392
654.163083,1.0007724081536569
654.281086,0.9996567989069735
654.399088,0.9992853354944136
654.51709,0.9995076512434468
654.635093,0.9998513210538101
654.753095,1.0000618379118849
654.871097,0.9993295448555597
654.9891,0.9991011442131005
655.107102,0.9991546774865511
655.225105,0.998574317252616
655.343107,1.0002301664842415
655.461109,0.998904800169578
655.579112,1.0000578196714929
655.697114,0.9984095660826147
655.815116,0.999976280281317
655.933119,0.9988328816130649
656.051121,0.9988399733517
656.169123,0.9985788108471543
656.287126,0.99902484577221
656.405128,0.9996861592583121
656.52313,0.9996931770797826
656.641133,1.0008450168257161
656.759135,1.0000926962960361
656.877138,1.0005222763388182
656.99514,0.9990420491281746
657.113142,1.0012136358606833
657.231145,0.9989633377060011
657.349147,0.9999570189237129
657.467149,0.9994668121951643
657.585152,0.9983645388265566
657.703154,0.9998761876653798
657.821156,1.000365466766712
657.939159,0.9992370412011901
658.057161,1.0002315868120863
658.175164,0.9988091096733698
658.293166,1.0012445738400209
658.411168,0.9997996100807426
658.529171,1.0006685233622
658.647173,0.9999982292015679
658.765175,0.999195823523361
658.883178,0.9994022087484299
659.00118,0.9990096307396716
659.119182,0.9996780018525347
659.237185,0.9994418358316085
659.355187,0.9983421757113548
659.473189,0.9990945901310919
659.591192,0.9976538565069296
659.709194,0.9987104322080811
659.827197,0.9992390696544426
659.945199,0.9985769135492161
660.063201,0.9984797567422831
660.181204,0.9986501119196668
660.299206,0.9990865874154758
660.417208,0.9989227806178046
660.535211,0.9993594552364439
660.653213,0.9992769115545422
660.771215,0.9982280717218381
660.889218,0.9999702894413673
661.00722,0.9980556926192157
661.125223,1.000560126812469
661.243225,0.9980439156315272
661.361227,0.9980097831132819
661.47923,0.9995474224441325
661.597232,0.9993645719699534
661.715234,0.9989088956876545
661.833237,0.9988276876955847
661.951239,0.9990275331526597
662.069241,1.0011397490208147
662.187244,0.9985466571271226
662.305246,1.0004126451145814
662.423248,1.000283200093577
662.541251,0.9992485924481525
662.659253,0.9975035213987888
662.777256,0.9987780471930829
662.895258,1.0001039153988311
663.01326,0.999445523778787
663.131263,0.9992146685343005
663.249265,0.9990928117443042
663.367267,1.000478394394116
663.48527,0.9993106177332205
663.603272,1.0001428902078333
663.721274,0.9988657437554492
663.839277,0.9983746223593205
663.957279,0.9990041362018126
