nu,[0]HFE-356mmz1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
905.897286,0.9999301064426684
906.379403,0.999931856321886
906.861519,0.9999337761928931
907.343636,0.9999361090411143
907.825753,0.999938805872437
908.307869,0.999941576706707
908.789986,0.9999443955459849
909.272103,0.999947409382935
909.75422,0.9999504222290183
910.236336,0.999953314089821
910.718453,0.9999563039547
911.20057,0.9999593168275827
911.682686,0.9999622087141087
912.164803,0.9999649556140688
912.64692,0.9999675555263333
913.129036,0.9999698644540846
913.611153,0.9999719053946609
914.09327,0.9999738983406542
914.575386,0.9999758942905472
915.057503,0.9999776872489331
915.53962,0.9999792212158819
916.021736,0.9999806691868426
916.503853,0.9999820811605443
916.98597,0.9999833261390104
917.468087,0.9999842471240779
917.950203,0.9999849271135971
918.43232,0.9999856171034348
918.914437,0.9999863930925748
919.396553,0.9999871220829211
919.87867,0.9999877220753743
920.360787,0.9999882030695844
920.842903,0.9999886480644337
921.32502,0.9999891440589261
921.807137,0.9999895710543818
922.289253,0.9999898220517957
922.77137,0.9999900114498859
923.253487,0.9999902301477254
923.735603,0.9999904804453112
924.21772,0.9999907720425779
924.699837,0.9999910783397983
925.181953,0.9999913699372392
925.66407,0.9999916324350082
926.146187,0.9999917733338392
926.628304,0.9999917904336987
927.11042,0.9999917733338392
927.592537,0.9999917831337586
928.074654,0.9999917976336395
928.55677,0.999991792833679
929.038887,0.9999918171334798
929.521004,0.9999918924328665
930.00312,0.9999919969320247
930.485237,0.9999920723314242
930.967354,0.9999920188318497
931.44947,0.9999919799321609
931.931587,0.9999920796313663
932.413704,0.9999921500308112
932.89582,0.9999921306309636
933.377937,0.9999921525307915
933.860054,0.9999922011304113
934.342171,0.9999921816305636
934.824287,0.9999921719306395
935.306404,0.9999923299294151
935.788521,0.9999925073280702
936.270637,0.9999925000281249
936.752754,0.9999923785290435
