nu,[0]HCFC-123a-PNNL(x-sec)-X=0.01-T=278.18K-P=1.0atm-L=15cm
613.887878,0.9232335896074139
614.00748,0.9232252805424982
614.127083,0.9218036860050928
614.246685,0.9209007608983741
614.366287,0.9195195257325846
614.48589,0.9182395267595049
614.605492,0.9165185242124312
614.725095,0.9156052106062775
614.844697,0.913310836628627
614.964299,0.912349626483615
615.083902,0.9111306301136664
615.203504,0.9091310734366062
615.323106,0.9074525506456483
615.442709,0.9060344041360858
615.562311,0.9050147835511473
615.681914,0.9021630592821669
615.801516,0.9009910093026505
615.921118,0.8974032175798522
616.040721,0.896282164362109
616.160323,0.89438405887638
616.279926,0.892213344099918
616.399528,0.890751313408451
616.51913,0.8879942599776425
616.638733,0.8858744878330378
616.758335,0.8831501919797724
616.877938,0.8826645929261645
616.99754,0.8798709763881986
617.117142,0.8776038351389117
617.236745,0.8745550817004126
617.356347,0.8734625708098478
617.47595,0.8708199847599357
617.595552,0.8677861201862019
617.715154,0.8665374074620728
617.834757,0.8629228408061201
617.954359,0.8595983789796952
618.073961,0.85662074179294
618.193564,0.8536790290879452
618.313166,0.849141024388735
618.432769,0.8489542339110754
618.552371,0.846995412940001
618.671973,0.842054954704203
618.791576,0.8381652518745683
618.911178,0.8379892556519247
619.030781,0.8345354969470079
619.150383,0.8315282551403792
619.269985,0.8268350993760959
619.389588,0.8228182015274231
619.50919,0.8212399062288294
619.628793,0.8171766415206417
619.748395,0.8136133710138703
619.867997,0.8098955421017222
619.9876,0.8068318473659483
620.107202,0.8040048318962686
620.226805,0.801804873975591
620.346407,0.795694468789169
620.466009,0.7920981247148983
620.585612,0.7902309772411954
620.705214,0.7851817965894928
620.824816,0.7815938865468947
620.944419,0.7774235249184015
621.064021,0.7734378200369232
621.183624,0.7702655141507421
621.303226,0.7621666853794872
621.422828,0.7603244719781459
621.542431,0.756396174288117
621.662033,0.7552171161606799
621.781636,0.7473811373050752
621.901238,0.7461265911082772
622.02084,0.7423458791643284
622.140443,0.7389241514797654
622.260045,0.7337037075878354
622.379648,0.7304678936171836
622.49925,0.7275082062000787
622.618852,0.7233876729813883
622.738455,0.7180400008467613
622.858057,0.7131810241351624
622.97766,0.710802973070544
623.097262,0.7032097974804267
623.216864,0.6978228534843459
623.336467,0.6893473490162648
623.456069,0.6774700051836572
623.575672,0.6634644540789432
623.695274,0.6516484823124417
623.814876,0.6367997735870508
623.934479,0.6182576493952843
624.054081,0.6090529921702188
624.173683,0.5988225311341547
624.293286,0.5764480823288046
624.412888,0.5569276164571718
624.532491,0.559321968143985
624.652093,0.5835588356696694
624.771695,0.6214498892517886
624.891298,0.6329967443868013
625.0109,0.637921528042923
625.130503,0.6426082460891316
625.250105,0.63519705842687
625.369707,0.6311069108301934
625.48931,0.6258152995873144
625.608912,0.6191114339272813
625.728515,0.6173062653689411
625.848117,0.612859236451435
625.967719,0.6062335324914885
626.087322,0.6006337086797187
626.206924,0.5970466666807929
626.326527,0.5936709911644846
626.446129,0.5909404665901403
626.565731,0.5869415724314349
626.685334,0.5825268501071824
626.804936,0.5846861917712091
626.924538,0.5770998368337794
627.044141,0.5760043881495926
627.163743,0.5731659432035044
627.283346,0.5733207189019484
627.402948,0.5722725013979053
627.52255,0.5699195890199167
627.642153,0.5698625999105176
627.761755,0.5676160824338276
627.881358,0.5643108651407726
628.00096,0.5668729921962129
628.120562,0.5628680768829368
628.240165,0.5627498869971639
628.359767,0.5603072415942228
628.47937,0.562800536766199
628.598972,0.5627048688069557
628.718574,0.562322359564049
628.838177,0.5652766622413438
628.957779,0.5615749679514228
629.077382,0.5612493489086616
629.196984,0.5608846553701113
629.316586,0.5620918546533633
629.436189,0.563927264191581
629.555791,0.5637130125415799
629.675394,0.56550847319086
629.794996,0.5669410210369252
629.914598,0.5694296688692198
630.034201,0.5698796960449557
630.153803,0.5694524465115243
630.273405,0.5701361996171511
630.393008,0.5702388333698428
630.51261,0.5722839469623886
630.632213,0.5725701604832871
630.751815,0.5750547645640498
630.871417,0.5742559937156542
630.99102,0.5741928290304668
631.110622,0.5677069082728903
631.230225,0.5644688943060627
631.349827,0.5587796888828463
631.469429,0.5466645056057663
631.589032,0.5281737380835996
631.708634,0.5028215214399472
631.828237,0.47976446184722227
631.947839,0.4938023218881472
632.067441,0.4844795776174914
632.187044,0.4621203148735728
632.306646,0.4403876135426335
632.426249,0.42671454593384284
632.545851,0.4008411759829139
632.665453,0.38027903237546545
632.785056,0.35091894784584543
632.904658,0.3235181699010741
633.02426,0.30684884935977386
