nu,[0]trans-1-3-Dichloropropene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
615.694314,0.9956724907702895
615.812316,0.9984732666449571
615.930319,0.9947857416863946
616.048321,0.9951256185434167
616.166323,0.997530254851389
616.284326,0.9945775548181753
616.402328,0.9911579231320489
616.52033,0.9931005115189534
616.638333,0.9903536276377619
616.756335,0.9945223572956283
616.874337,0.988837765246355
616.99234,0.9922080161304716
617.110342,0.9968279416415252
617.228345,0.9933964995714155
617.346347,0.9950608379742799
617.464349,0.9936069232331038
617.582352,0.9922411564316503
617.700354,0.9910293782857321
617.818356,0.9922537579743567
617.936359,0.9973790407270738
618.054361,0.9933682875114408
618.172363,0.9955674528633602
618.290366,0.9920187209003332
618.408368,0.9952285198522801
618.526371,0.9935274378587026
618.644373,0.9963817616568944
618.762375,0.9976474715426799
618.880378,0.9858983726759283
618.99838,0.995299382645579
619.116382,0.9961810109582326
619.234385,0.9924118365886293
619.352387,0.9902768782056989
619.470389,0.9943911884474768
619.588392,0.9893659456246063
619.706394,0.9983995820368742
619.824396,0.9898538232877617
619.942399,0.9884363786006676
620.060401,0.9937019165955753
620.178404,0.998032338389254
620.296406,0.9942333910874218
620.414408,0.9937335168189639
620.532411,0.9919627726222306
620.650413,0.9912821230007766
620.768415,0.9957428873038752
620.886418,0.9912329566268119
621.00442,0.9930861116659356
621.122422,0.996981564663682
621.240425,0.9858579516712849
621.358427,0.9922100997694934
621.47643,0.9937445473222198
621.594432,0.9936008622493582
621.712434,0.9910421626471709
621.830437,0.9922046426289518
621.948439,0.9958748319775845
622.066441,0.9945845168854263
622.184444,0.9980899265165806
622.302446,0.994076414028634
622.420448,0.9935562505721828
622.538451,0.987843494656477
622.656453,0.9960103797660345
622.774455,0.9952333964839751
622.892458,0.9906248235860402
623.01046,0.9989296732087704
623.128463,0.9939493791806209
623.246465,0.9926381322841005
623.364467,0.9893055961426012
623.48247,0.9934170630917883
623.600472,0.9932584270542373
623.718474,0.9917314738741374
623.836477,0.9907339964569141
623.954479,0.9960894661298749
624.072481,0.9911227376503237
624.190484,0.992199582398178
624.308486,0.9939022670966129
624.426489,0.9949009445453986
624.544491,0.9967491953446552
624.662493,0.9940314827901736
624.780496,0.994446677023909
624.898498,0.9909319648857937
625.0165,0.9928367790483165
625.134503,0.9913292100199269
625.252505,0.993552276355129
625.370507,0.9897281198345425
625.48851,0.9930351676551322
625.606512,0.9933903405322112
625.724514,0.9939768125620652
625.842517,0.9991554868021676
625.960519,0.989695459345489
626.078522,0.9914567031539683
626.196524,0.9931589075458571
626.314526,0.9903620456793735
626.432529,0.996639359635387
626.550531,0.9923153788460352
626.668533,0.992228654271843
626.786536,0.9962332122108678
626.904538,0.9929652604400921
627.02254,0.9894668660979168
627.140543,0.992479620631867
627.258545,0.9931335823166128
627.376548,0.9920692159383148
627.49455,0.9933248782657755
627.612552,0.9940452999238132
627.730555,0.990044883512375
627.848557,0.9960748237223448
627.966559,0.9958523254607063
628.084562,0.992223197029252
628.202564,0.9979592850958671
628.320566,0.9912932254227276
628.438569,0.9999606497742405
628.556571,0.9885965182649635
628.674573,0.9936376261613895
628.792576,0.9935983782503075
628.910578,0.9905380486522917
629.028581,0.9923511028427017
629.146583,0.9982166919866852
629.264585,0.995180550993682
629.382588,0.9898686712064702
629.50059,0.9911324507007465
629.618592,0.9884838246855374
629.736595,0.9907071479294093
629.854597,0.9904522717714709
629.972599,0.9894886346084236
630.090602,0.9916208028172129
630.208604,0.9891206132925581
630.326607,0.9929962414395189
630.444609,0.9929754880349466
630.562611,0.989833036575734
630.680614,0.9936709135794272
630.798616,0.9924862702676015
630.916618,0.9941795050979484
631.034621,0.9967091268323849
631.152623,0.9938905391190564
631.270625,0.9959201453133101
631.388628,0.995122135609847
631.50663,0.9958494374931501
631.624632,0.9887932685481021
631.742635,0.9891255589079886
631.860637,0.9946394194660556
631.97864,0.9913510195024509
632.096642,0.9914101057839668
632.214644,0.9917159038122229
632.332647,0.9897320787549396
632.450649,0.9905141769729741
632.568651,0.9930303017947321
632.686654,0.9871028897970228
632.804656,0.9934066322673878
632.922658,0.9950794457859325
633.040661,0.9912370206902654
633.158663,0.9929415288539611
633.276666,0.987508672467356
633.394668,0.9914413356941676
633.51267,0.9958140854656213
633.630673,0.9951865220949012
633.748675,0.9907417242122247
633.866677,0.9914646348393202
633.98468,0.9969391938475701
634.102682,0.9918508855320294
634.220684,0.9898963879172961
634.338687,0.98894357654804
634.456689,0.9916078126697816
634.574691,0.993316435040194
634.692694,0.9927780048507302
634.810696,0.9930215631665262
634.928699,0.9938516787587018
635.046701,0.9911297746467422
635.164703,0.9895173301949113
635.282706,0.9912049051310698
635.400708,0.9913512177726745
635.51871,0.9916002764790429
635.636713,0.9911000411995068
635.754715,0.9903629370056156
635.872717,0.9902408327833628
635.99072,0.9919058355931906
636.108722,0.9911469213401621
636.226725,0.9903910637124239
636.344727,0.9939933127141046
636.462729,0.9900290429209638
636.580732,0.9947909145857008
636.698734,0.9946401157138929
636.816736,0.9913139436676439
636.934739,0.9893095533729003
637.052741,0.9902174633754692
637.170743,0.9891502873560656
637.288746,0.9933274609138164
637.406748,0.9929673456693285
637.52475,0.9926759525174114
637.642753,0.9929778711789777
637.760755,0.9894520242062397
637.878758,0.990578661544845
637.99676,0.9907427149544442
638.114762,0.9916284383267913
638.232765,0.9928388640077417
638.350767,0.9918212296339098
638.468769,0.9914497629813369
638.586772,0.9891572114323113
638.704774,0.9877506417321351
638.822776,0.9892877888021372
638.940779,0.9952735051980386
639.058781,0.9936005641691442
639.176784,0.9914268607563337
639.294786,0.9907782832563583
639.412788,0.9925789728143861
639.530791,0.9932025081789253
639.648793,0.9902180575061256
639.766795,0.9930615827419109
639.884798,0.9926723788904148
640.0028,0.9914412365500389
640.120802,0.9891789731303406
640.238805,0.9923441564092943
640.356807,0.9922496897422889
640.474809,0.9923915915936625
640.592812,0.9919528530441024
640.710814,0.9920766564853364
640.828817,0.9900240927881245
640.946819,0.991211744468511
641.064821,0.9915448475728401
641.182824,0.9920847915472732
641.300826,0.9916223894117667
641.418828,0.9921932323411708
641.536831,0.9869370704407529
641.654833,0.9907563872982496
641.772835,0.9884314364311301
