nu,[0]Isoprene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
702.44795,0.9977344701952845
702.689004,0.9979121825292399
702.930058,0.997697754242359
703.171112,0.9974960401504331
703.412166,0.9982010201076456
703.65322,0.9972119937283287
703.894274,0.9980842374202133
704.135328,0.9980155715868105
704.376382,0.9977335722346654
704.617436,0.9982479366581208
704.85849,0.9978908274370341
705.099544,0.9976841856451679
705.340598,0.9979149766872627
705.581652,0.9981445235287757
705.822706,0.9979304444892766
706.06376,0.9979307438684548
706.304814,0.9974477625104181
706.545868,0.9974747937110533
706.786922,0.9970854555553414
707.027976,0.9970936316895991
707.26903,0.9977784712556363
707.510084,0.9978488171175224
707.751138,0.9979450143801261
707.992192,0.9980378275822104
708.233246,0.9979822384233865
708.4743,0.9979697637233732
708.715354,0.9979593848918006
708.956408,0.9982452413923305
709.197462,0.9981414292855488
709.438516,0.9979212635714195
709.67957,0.9981318471738219
709.920624,0.9977793692566646
710.161678,0.9980509019633887
710.402732,0.9978151901790026
710.643786,0.9980919226984297
710.88484,0.9977245926729233
711.125894,0.9980768516241839
711.366948,0.9982693992194808
711.608002,0.998048307034417
711.849056,0.9980569900924595
712.09011,0.9979735560156807
712.331164,0.9984345266337723
712.572218,0.9979347355994137
712.813272,0.9981133819054534
713.054326,0.9983875014750191
713.29538,0.9982899637809189
713.536434,0.9983041395990526
713.777488,0.9985160022153041
714.018542,0.9980929207908515
714.259596,0.9979184693957934
714.50065,0.9983874016362739
714.741704,0.9983571509563044
714.982758,0.9983241058815068
715.223812,0.997997807067741
715.464866,0.998358648493154
715.70592,0.9985389683474646
715.946974,0.998000601465513
716.188028,0.9983924934250064
716.429082,0.9982384533477684
716.670136,0.998450601559054
716.91119,0.9982059113046274
717.152244,0.9983196134331384
717.393298,0.99850192323893
717.634352,0.9984031762818392
717.875406,0.9982656058029712
718.11646,0.9985397671789589
718.357514,0.9981155777573091
718.598568,0.9979417211670124
718.839622,0.9983011446911262
719.080676,0.9982839740591054
719.32173,0.9981875444848347
719.562784,0.9984428136747345
719.803838,0.9983208114173933
720.044892,0.9983919942288844
720.285946,0.998333190672206
720.527,0.9980855349305654
720.768054,0.9985144045909787
721.009108,0.9977982274649531
721.250162,0.9982206848614388
721.491216,0.9982503324560438
721.73227,0.9980127771471223
721.973324,0.9984563925893369
722.214378,0.998203315972632
722.455432,0.9979523992005562
722.696486,0.998141030029057
722.93754,0.9982904629260255
723.178594,0.9978108995829096
723.419648,0.9979955116754244
723.660702,0.9984978293894371
723.901756,0.9981705754408158
724.14281,0.9980848362709355
724.383864,0.997954694493714
724.624918,0.997750134749433
724.865972,0.9978673772781297
725.107026,0.9977725843800223
725.34808,0.9979091887971828
725.589134,0.9980489058635809
725.830188,0.9974267165846644
726.071242,0.9980127771471223
726.312296,0.9978742625867872
726.55335,0.9975706556448211
726.794404,0.9974640210414537
727.035458,0.9976133525825907
727.276512,0.9971488722069429
727.517566,0.9972107970746542
727.75862,0.9976745081555031
727.999674,0.9972704320633877
728.240728,0.9972655454502428
728.481782,0.9971518636580468
728.722836,0.9974193356542712
728.96389,0.997020048894819
729.204944,0.9970766812419396
729.445998,0.9969978155956308
729.687052,0.996788368357777
729.928106,0.9968608375063782
730.16916,0.9968894478229707
730.410214,0.9966618839394384
730.651268,0.9966092615812089
730.892322,0.996403682296777
731.133376,0.996658993624166
731.37443,0.9963699047844793
731.615484,0.9965761747029697
731.856538,0.9961423598848432
732.097592,0.9961727426901551
732.338646,0.9961061009628598
732.5797,0.995685932439646
732.820754,0.9961493329057679
733.061808,0.9960954426846014
733.302862,0.9957893895825319
733.543916,0.9958313131983193
733.78497,0.995730540168625
734.026024,0.9953936419602237
734.267078,0.9955318121865196
734.508132,0.9956590492823943
734.749186,0.9952885339414338
734.99024,0.9948571698668885
735.231294,0.9951145727103554
735.472348,0.9951590553259346
735.713402,0.9950219318561347
735.954456,0.9948819421188315
736.19551,0.9945887936080438
736.436564,0.9942762434700398
736.677618,0.9944024251313933
736.918672,0.9940348625029606
737.159726,0.9943208874756221
737.40078,0.994364240811412
737.641834,0.9941400369550438
737.882888,0.994121049061673
738.123942,0.9935427382990587
738.364996,0.9937524973103983
738.60605,0.9934238183507852
738.847104,0.9931460958785852
739.088158,0.9936105995855211
739.329212,0.9931176923064161
739.570266,0.993176486614095
739.81132,0.9932901125034406
740.052374,0.9929456992171402
740.293428,0.9928398568471021
740.534482,0.9925076089518023
740.775536,0.9921117766205987
741.01659,0.9921262615582771
741.257644,0.9922035512044451
741.498698,0.9920282443257662
741.739752,0.9921524540373214
741.980806,0.9918352144118402
742.22186,0.9917952442581034
742.462914,0.9915062772284675
742.703968,0.9917437714206581
742.945022,0.9914745495352421
743.186076,0.9914122868885988
743.42713,0.9912476269831303
743.668184,0.9910742729334245
743.909238,0.99135746330502
744.150292,0.9913501272869347
744.391346,0.9913461618943564
744.6324,0.9909376132140912
744.873454,0.9907435075489333
745.114508,0.9909209656020296
745.355562,0.99062630952439
745.596616,0.990357787131733
