nu,[0]Perfluoro-2-methyl-3-pentanone-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
709.193686,0.999970909423139
709.675803,0.9999689404823568
710.15792,0.9999662185706053
710.640036,0.9999626706967558
711.122153,0.9999578108899856
711.60427,0.9999511511931418
712.086386,0.9999424756545886
712.568503,0.9999312483635021
713.05062,0.9999169344501339
713.532737,0.9998991250882161
714.014853,0.9998774975040436
714.49697,0.9998530008054406
714.979087,0.9998278548186824
715.461203,0.9998044991127896
715.94332,0.9997855929884693
716.425437,0.9997730057670903
716.907553,0.9997665972426627
717.38967,0.9997624182270203
717.871787,0.9997531104822343
718.353904,0.9997356149558871
718.83602,0.999722498510663
719.318137,0.9997278370430589
719.800254,0.9997443626807893
720.28237,0.9997535903638425
720.764487,0.9997533504230096
721.246604,0.9997526206033301
721.72872,0.9997583092119254
722.210837,0.9997723559148477
722.692954,0.9997920616221819
723.175071,0.9998136873583563
723.657187,0.9998341937473764
724.139304,0.9998507411402121
724.621421,0.9998619695270824
725.103537,0.9998694785186698
725.585654,0.999874847832186
726.067771,0.99987792745146
726.549887,0.9998790473153658
727.032004,0.9998792472911953
727.514121,0.9998796772393641
727.996238,0.9998805771314786
728.478354,0.999880707115962
728.960471,0.9998798072237306
729.442588,0.9998799772033122
729.924704,0.9998827168782032
730.406821,0.9998866364261356
730.888938,0.9998905159938113
731.371055,0.9998950655060092
731.853171,0.9999008959111347
732.335288,0.9999077242576683
732.817405,0.9999149906135026
733.299521,0.9999224270089401
733.781638,0.9999300334477734
734.263755,0.9999377129399195
734.745871,0.9999451495043434
735.227988,0.999951905156594
735.710105,0.9999576398972145
736.192222,0.9999627676931395
736.674338,0.9999680415106834
737.156455,0.999972950365848
737.638572,0.9999766882717226
738.120688,0.9999792672149271
738.602805,0.9999808031842612
739.084922,0.9999820641608491
739.567038,0.9999837221324859
740.049155,0.999985131110543
740.531272,0.9999855781039966
741.013389,0.9999857071021444
741.495505,0.999986570090182
741.977622,0.9999883030684097
742.459739,0.9999903297467572
742.941855,0.9999915449357443
743.423972,0.9999913067377866
743.906089,0.999990310346945
744.388206,0.9999900527494743
744.870322,0.9999901815482013
745.352439,0.9999900284497162
745.834556,0.9999894990551353
746.316672,0.9999891240591434
746.798789,0.9999885090660213
747.280906,0.999986949085164
747.763022,0.9999865340906662
748.245139,0.9999891390589805
748.727256,0.9999916154351507
749.209373,0.9999920650314821
749.691489,0.9999922084303544
750.173606,0.9999923615291733
750.655723,0.9999919265325906
751.137839,0.9999914939361768
751.619956,0.9999905144449882
752.102073,0.9999891290590891
752.584189,0.9999868180868822
753.066306,0.9999841831250881
753.548423,0.9999811651773775
754.03054,0.9999780952399128
754.512656,0.9999750653108745
754.994773,0.9999721003892014
755.47689,0.999969572462927
755.959006,0.9999674825287044
756.441123,0.9999652956022116
756.92324,0.9999629136877143
757.405356,0.9999604837807864
757.887473,0.9999582478716443
758.36959,0.9999567649346623
758.851707,0.9999562309578924
759.333823,0.9999556479835797
759.81594,0.9999545300337902
760.298057,0.9999540440560067
760.780173,0.9999550160118099
761.26229,0.9999567169367388
761.744407,0.999958660854486
762.226524,0.9999613587465924
762.70864,0.9999648336183516
763.190757,0.9999683575006344
763.672874,0.9999712984118985
764.15499,0.9999733883540961
764.637107,0.999974943313924
765.119224,0.99997707726273
765.60134,0.9999804071919416
766.083457,0.9999840251275997
766.565574,0.999986689088591
767.047691,0.9999880740711145
767.529807,0.999988981060709
768.011924,0.9999901377486323
768.494041,0.9999913845371133
768.976157,0.9999922813297891
769.458274,0.9999930954238367
769.940391,0.999993975218149
770.422507,0.9999947116139836
770.904624,0.9999956303095471
771.386741,0.9999970812042597
771.868858,0.9999981651016834
772.350974,0.9999980971018105
772.833091,0.9999975502030007
773.315208,0.9999973558034959
773.797324,0.9999973971033875
774.279441,0.9999974652032126
774.761558,0.9999974093033559
775.243674,0.9999973461035216
775.725791,0.9999974457032622
776.207908,0.9999976645027273
776.690025,0.9999976888026708
777.172141,0.999997460303225
777.654258,0.9999973680034637
778.136375,0.9999974506032497
778.618491,0.9999978419023287
779.100608,0.9999983790013138
779.582725,0.999998546701056
780.064842,0.9999984203012477
780.546958,0.999998327901398
781.029075,0.9999983620013415
781.511192,0.9999984640011796
781.993308,0.9999983741013218
782.475425,0.9999981262017555
782.957542,0.9999979682020641
783.439658,0.9999979512020988
783.921775,0.9999982186015867
784.403892,0.9999987022008422
784.886009,0.9999989185005849
785.368125,0.9999986876008612
785.850242,0.9999983814013099
786.332359,0.9999984373012211
786.814475,0.9999986244009461
787.296592,0.9999981554017012
787.778709,0.9999972173038717
788.260825,0.9999971565040428
788.742942,0.9999979318021387
789.225059,0.999997890502225
789.707176,0.999996925604726
790.189292,0.9999963934065038
790.671409,0.9999964882061664
791.153526,0.999996548905955
791.635642,0.9999965222060475
792.117759,0.9999965757058629
792.599876,0.9999966802055106
793.081993,0.9999968795048687
793.564109,0.9999971468040704
794.046226,0.9999971201041469
794.528343,0.9999969232047333
795.010459,0.9999973169035995
795.492576,0.9999978321023499
795.974693,0.9999973218035864
796.456809,0.9999961892072611
796.938926,0.999995722609148
797.421043,0.9999958612085649
797.90316,0.999995734809096
798.385276,0.9999953119109891
798.867393,0.9999950397123023
799.34951,0.9999948015135122
799.831626,0.9999945634147783
800.313743,0.9999942401165882
800.79586,0.9999935548207702
801.277976,0.9999925073280702
801.760093,0.9999913407374916
802.24221,0.9999901499485121
802.724327,0.9999889150614384
803.206443,0.9999875980769045
