nu,[0]Tribromomethane-PNNL(x-sec)-X=0.01-T=278.25K-P=1.0atm-L=15cm
647.908958,0.7565247725682901
648.026961,0.751721025943448
648.144963,0.7478820504542363
648.262965,0.7465296082723166
648.380968,0.7465072127200034
648.49897,0.7518037198043808
648.616972,0.7471868434686691
648.734975,0.7425834678578245
648.852977,0.7316156289466418
648.970979,0.7264613483017345
649.088982,0.7291906926801257
649.206984,0.7234672500020721
649.324986,0.7239376565801492
649.442989,0.7127674990750239
649.560991,0.7140087941369396
649.678994,0.7092338330384466
649.796996,0.7037233280484397
649.914998,0.6968883970862894
650.033001,0.6974879788910054
650.151003,0.7044555810151524
650.269005,0.6969999081504704
650.387008,0.688486203158284
650.50501,0.6885963697638828
650.623012,0.6818947217431541
650.741015,0.6789349219353862
650.859017,0.6743945186976802
650.97702,0.6749477489964354
651.095022,0.6686998327729988
651.213024,0.6674171608531545
651.331027,0.6571125277823819
651.449029,0.6568628724593402
651.567031,0.648087215412859
651.685034,0.6478539460063228
651.803036,0.643489222717472
651.921038,0.6356354956406284
652.039041,0.6335603622620566
652.157043,0.6278085598440902
652.275046,0.6197060662817139
652.393048,0.6139081222875696
652.51105,0.605718452928697
652.629053,0.6053369704829398
652.747055,0.6033788525625673
652.865057,0.5923604269808446
652.98306,0.5755955701815588
653.101062,0.5796098930076687
653.219064,0.5732289949250379
653.337067,0.5630313322961237
653.455069,0.5556981654685407
653.573071,0.5473318432958242
653.691074,0.5411655714045338
653.809076,0.532006272125715
653.927079,0.5266969201269591
654.045081,0.5303065730238854
654.163083,0.5202894435769546
654.281086,0.5076870827678429
654.399088,0.5007341286979582
654.51709,0.4880194584748796
654.635093,0.4853378658308656
654.753095,0.47240906764390334
654.871097,0.4652827470570733
654.9891,0.4577601142936853
655.107102,0.4488439507903148
655.225105,0.44707004339995965
655.343107,0.43615831227079177
655.461109,0.42778694474162227
655.579112,0.4164120517236881
655.697114,0.40673638747794333
655.815116,0.4000362943961664
655.933119,0.39068252708380274
656.051121,0.3851740380321461
656.169123,0.36952015255998
656.287126,0.358581252097157
656.405128,0.34756624467048786
656.52313,0.34458999119986494
656.641133,0.33790178589471304
656.759135,0.33081366755976566
656.877138,0.3193715884621897
