nu,[0]Triethylamine-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
611.801736,0.988834798737509
611.932239,0.9902941091732886
612.062741,0.9887774479823702
612.193244,0.9908511081364593
612.323746,0.9895499848056059
612.454249,0.9881053078712798
612.584752,0.9893867225276212
612.715254,0.9899953825057348
612.845757,0.9910562355457979
612.97626,0.9896895211905473
613.106762,0.9905428032463363
613.237265,0.9899389543771488
613.367767,0.9879985982604523
613.49827,0.9913502264219525
613.628773,0.9906174929894689
613.759275,0.9910563346514264
613.889778,0.9916531301823179
614.02028,0.9902948023794077
614.150783,0.9910182788188524
614.281286,0.988359283569882
614.411788,0.9920201097275146
614.542291,0.9922926550840476
614.672793,0.9904695057909353
614.803296,0.9921955143882295
614.933799,0.9909636752160326
615.064301,0.9909506936769166
615.194804,0.9898419451131515
615.325307,0.992921570929809
615.455809,0.9921795401690408
615.586312,0.9913078966710308
615.716814,0.9927822738053294
615.847317,0.9917898885782447
615.97782,0.9916600717785248
616.108322,0.9930972342926728
616.238825,0.9927133771062704
616.369327,0.9940697537389721
616.49983,0.9915989873995213
616.630333,0.9925894942072612
616.760835,0.9925317271797351
616.891338,0.9919778505709667
617.02184,0.9944909308856776
617.152343,0.9943606611065885
617.282846,0.9933276595793284
617.413348,0.9914775239633523
617.543851,0.9930350683516204
617.674353,0.99325226887108
617.804856,0.9928455160504148
617.935359,0.9938426347495755
618.065861,0.9941887510103392
618.196364,0.9931569212300283
618.326867,0.9931224592827799
618.457369,0.9938157019791144
618.587872,0.9947796735118781
618.718374,0.9936668395370333
618.848877,0.99605998231804
618.97938,0.9948045433145872
619.109882,0.9939291028201052
619.240385,0.9940757181753878
619.370887,0.9943535017356022
619.50139,0.9954441096972174
619.631893,0.9943213846361901
619.762395,0.9950204393243564
619.892898,0.9949728784840698
620.0234,0.9924473655683441
620.153903,0.9959082939340966
620.284406,0.9953587042565513
620.414908,0.9943749800032042
620.545411,0.9954720820697099
620.675914,0.9952026442471482
620.806416,0.99544022747276
620.936919,0.9942257355197844
621.067421,0.9956821488402916
621.197924,0.996022730371317
621.328427,0.9951467154301561
621.458929,0.9961263221219534
621.589432,0.9954398292967486
621.719934,0.9950412354688571
621.850437,0.9949113910601605
621.98094,0.9969238411022012
622.111442,0.9974339978262721
622.241945,0.9944143580320921
622.372447,0.997369166723447
622.50295,0.9963780750511965
622.633453,0.9954736748263154
622.763955,0.9967790982690572
622.894458,0.9965651127688243
623.02496,0.9978227736032649
623.155463,0.9956162368637488
623.285966,0.997004495503373
623.416468,0.9974076659163121
623.546971,0.9948166800040493
623.677474,0.9976201363764531
623.807976,0.9970342066800333
623.938479,0.9968634293479252
624.068981,0.9961443521715553
624.199484,0.9970021026954551
624.329987,0.9987698572466748
624.460489,0.9964769206589027
624.590992,0.9980885291916616
624.721494,0.9973570986295418
624.851997,0.9974131516735605
624.9825,0.9968747936557961
625.113002,0.9961889804381983
625.243505,0.9982768862680512
625.374007,0.9968734977194067
625.50451,0.9982004211872131
625.635013,0.9978437281015321
625.765515,0.9965290377647036
625.896018,0.998568924965862
626.026521,0.9974731977526601
626.157023,0.9979778473111979
626.287526,0.9975467142363836
626.418028,0.9986305385692926
626.548531,0.9984990275875513
626.679034,0.9955269340925913
626.809536,0.9990748582077902
626.940039,0.9985045193473053
627.070541,0.9977304792653856
627.201044,0.9982181893128461
627.331547,0.9979684663635237
627.462049,0.9989364659536435
627.592552,0.9967239779090149
627.723054,0.9995905738377755
627.853557,0.9989587424852167
627.98406,0.9968155810516847
628.114562,0.9996073071240388
628.245065,0.9984640807331592
628.375568,0.9979144777298992
628.50607,0.998239551410671
628.636573,0.9992784004782498
628.767075,0.9995701224238535
628.897578,0.9978638847484211
629.028081,1.0002150031098562
629.158583,0.998717423205575
629.289086,0.9970260310330588
629.419588,0.9990847990520849
629.550091,0.9994871915312317
629.680594,0.9997568195731545
629.811096,0.9981545050239183
629.941599,0.9995368772744515
630.072101,0.9997849531258945
630.202604,0.9972051129893106
630.333107,0.999813397412429
630.463609,0.9986498123246781
630.594112,0.9996885984955165
630.724614,0.9987348010399255
630.855117,0.9997202591347744
630.98562,0.9998655190433746
631.116122,0.99707438796821
631.246625,1.0003091177670533
631.377128,0.999602928853622
631.50763,0.9977408557163274
631.638133,0.9991660379398181
631.768635,0.9977910433435782
631.899138,0.9992740736121434
632.029641,0.9981942323637871
632.160143,0.9991763593783002
632.290646,0.9996323376043895
632.421148,0.9971723054807797
632.551651,0.9981188715441504
632.682154,0.9980739572055111
632.812656,0.9987964248782255
632.943159,0.9976536569761782
633.073661,0.9986268436431355
633.204164,0.999829364559883
633.334667,0.9964668562928292
633.465169,0.9998880162706459
633.595672,0.9980802450912484
633.726175,0.9973963952733665
633.856677,0.9990194610428031
633.98718,0.9987408933407933
634.117682,1.0002043608788398
634.248185,0.9970664114050126
634.378688,0.9989712295475417
634.50919,0.9998645191783555
634.639693,0.9983263021969557
634.770195,0.9997065230727809
634.900698,0.9984779594803385
635.031201,0.9993228693564963
635.161703,0.9984124614745546
635.292206,0.9993301744333712
635.422708,0.9999053204823884
635.553211,0.9973967942320044
635.683714,1.0007318977065118
635.814216,0.9992479029668615
635.944719,0.998483850517678
636.075222,0.9983514603367623
636.205724,0.9992435362630668
636.336227,1.0010174172181099
636.466729,0.9977548241860864
636.597232,1.000160722914544
636.727735,0.9993013541667308
636.858237,0.9977039399876111
636.98874,1.0003651866644205
637.119242,0.9990780152893303
637.249745,1.0007851280517994
637.380248,0.998721717699728
637.51075,1.000825990942788
637.641253,1.0004932315987225
637.771755,0.9975910062937722
637.902258,1.001092496339833
638.032761,1.00031785050377
638.163263,0.9995119391404681
