nu,[0]Formicacid-dimer-PNNL(x-sec)-X=0.01-T=278.24K-P=1.0atm-L=15cm
587.02054,1.0199147037244949
587.153743,1.0085130315055613
587.286946,1.0143449148071897
587.420148,1.0036732298335895
587.553351,1.0135276821948398
587.686554,1.0098471674027356
587.819756,1.0065817652436657
587.952959,1.011258909768042
588.086162,1.0113246437335075
588.219364,1.0092962441365687
588.352567,1.0118294206621001
588.48577,1.0050503100406176
588.618972,1.0057419220015555
588.752175,1.0102804847774824
588.885378,1.01127104494777
589.01858,1.0065681764815593
589.151783,1.0034466260028285
589.284986,1.0059629077762178
589.418188,1.0067894444832124
589.551391,1.0091221555500274
589.684594,1.011649331053673
589.817796,1.009766786767402
589.950999,1.019853510678081
590.084202,1.0211270824028642
590.217404,1.0209412541847478
590.350607,1.0126614863780425
590.48381,1.0199463215703843
590.617012,1.0210433534150427
590.750215,1.0275548007198902
590.883418,1.010882791415959
591.01662,1.0098001096211895
591.149823,1.008102650219995
591.283026,1.0114945605462675
591.416228,1.01308689353157
591.549431,1.017188043325913
591.682634,1.012984576922399
591.815836,1.0124215140436157
591.949039,1.0056762491982891
592.082242,1.0074390331447272
592.215444,1.0146502785814893
592.348647,1.0219708818141104
592.48185,1.01078069740986
592.615052,1.0095863575644362
592.748255,1.0094842935431096
592.881458,1.0143215851424412
593.01466,1.0161144597040792
593.147863,1.0242524198499776
593.281066,1.0097935459418088
593.414268,1.020098304894775
593.547471,1.0156420763179659
593.680674,1.0233852453506085
593.813876,1.0215243781069234
593.947079,1.0247677484114301
594.080282,1.008905419389312
594.213484,1.0050012647822015
594.346687,1.0011743890554001
594.47989,1.011848645603729
594.613092,1.0099094768951924
594.746295,1.0197158397471364
594.879498,1.0161449435951264
595.0127,1.0231857046836124
595.145903,1.009276764907032
595.279106,1.016185590205797
595.412308,1.01314565427544
595.545511,1.0183228405260933
595.678714,1.0196199909631638
595.811916,1.014863377514596
595.945119,1.017623492988037
596.078322,1.0187526634510538
596.211524,1.026365580951794
596.344727,1.02765550602484
596.47793,1.0312070403947364
596.611132,1.0297499440495104
596.744335,1.0288091825941266
596.877538,1.0320715540752277
597.01074,1.0269096988882147
597.143943,1.0335019635074998
597.277146,1.0189166958341218
597.410348,1.0185183772824022
597.543551,1.0124275885909237
597.676754,1.0155100514298483
597.809956,1.01665720972692
597.943159,1.0204033598913878
598.076362,1.017643845661423
598.209564,1.022305120937582
598.342767,1.0234476737546219
598.47597,1.0204125435629532
598.609172,1.0198422923511645
598.742375,1.0235121529891429
598.875578,1.0172877326388556
599.00878,1.0223265895705416
599.141983,1.0214242736230688
599.275186,1.0255407146653899
599.408388,1.031731026652498
599.541591,1.0286538441359037
599.674793,1.0247575007851843
599.807996,1.0315504895202936
599.941199,1.0270853154615136
600.074401,1.040318587107617
600.207604,1.0337272914954028
600.340807,1.046057149098841
600.474009,1.0317919005788336
600.607212,1.0323626392945637
600.740415,1.031731026652498
600.873617,1.0268316567167393
601.00682,1.03415637735053
601.140023,1.032382254371053
601.273225,1.0221844960503197
601.406428,1.0257048143073575
601.539631,1.0171432880366305
601.672833,1.0152419921616511
601.806036,1.020460504079564
601.939239,1.027738749492143
602.072441,1.0168392076557897
602.205644,1.0216316437979749
602.338847,1.0238735165560653
602.472049,1.0363770235715817
602.605252,1.0307688705202624
602.738455,1.0293381264409032
602.871657,1.0243128525254952
603.00486,1.0331144729302086
603.138063,1.0448193503557652
603.271265,1.0461450215899584
603.404468,1.0493395853984837
603.537671,1.0405381174891377
603.670873,1.044592649154708
603.804076,1.0467006721085794
603.937279,1.0415510537910508
604.070481,1.0415489706910264
604.203684,1.032276956751377
604.336887,1.0216367519689644
604.470089,1.0230312153064467
604.603292,1.0208891875084958
604.736495,1.0330307940469419
604.869697,1.0341822315831404
605.0029,1.0282167591392868
605.136103,1.02090858458733
605.269305,1.0145620078470852
605.402508,1.022717192928249
605.535711,1.0263440275009061
605.668913,1.0287958081616868
605.802116,1.0296850718465311
605.935319,1.0275311672312597
606.068521,1.03199105563349
606.201724,1.0256299405888372
606.334927,1.0329801767781668
606.468129,1.0402114398113256
606.601332,1.045658677238744
606.734535,1.0341977444329602
606.867737,1.0423533569495453
607.00094,1.049047909538566
607.134143,1.0469581921475841
607.267345,1.0520850951815195
607.400548,1.0483285094550634
607.533751,1.0180296057758527
607.666953,1.0223511257031237
607.800156,1.0355202940795614
607.933359,1.028486187223719
608.066561,1.0195108974607372
608.199764,1.024727783248568
608.332967,1.0143763599869464
608.466169,1.0299404654118423
608.599372,1.0401063837613245
608.732575,1.0313637957779838
608.865777,1.0230598605815073
608.99898,1.0325092451981164
609.132183,1.0371743040177497
609.265385,1.0439932250252764
609.398588,1.0384103145119794
609.531791,1.038045896450697
609.664993,1.0331878266618133
609.798196,1.0471644632284716
609.931399,1.0456388099126166
610.064601,1.055366394499391
610.197804,1.0405204284914973
610.331007,1.0465489115140327
610.464209,1.0492210167245901
610.597412,1.062744805017823
610.730615,1.0512532249192934
610.863817,1.0527649617262576
610.99702,1.037715850335739
611.130223,1.0252218210936497
611.263425,1.026340948473442
611.396628,1.0293309210992367
611.529831,1.0312637583416873
611.663033,1.0351537847714323
611.796236,1.0218053359408343
611.929439,1.0285376128187094
612.062641,1.0253479311332525
612.195844,1.0263347904462254
612.329047,1.0284131672966643
612.462249,1.0311286716377168
612.595452,1.0409533750363873
612.728655,1.0316598396676382
612.861857,1.0372448342684242
612.99506,1.0417729277942507
613.128263,1.0321076772117714
613.261465,1.039434692017207
613.394668,1.042738056310927
613.527871,1.0401199052322028
613.661073,1.0494613158506199
613.794276,1.0520398564950655
613.927479,1.0484595587091532
614.060681,1.038865237850674
614.193884,1.0458667840214526
614.327087,1.0441091147050123
614.460289,1.04456862380007
614.593492,1.035754348113133
614.726695,1.0303102804167465
614.859897,1.0186589425172452
614.9931,1.0233381707120472
615.126303,1.0134293747776537
615.259505,1.0252515529575712
615.392708,1.0265185208170928
615.525911,1.0211607801525933
615.659113,1.0159976132600126
615.792316,1.024889703029647
615.925519,1.03346062425575
616.058721,1.0346415104463258
616.191924,1.023244027930976
616.325127,1.0251428820526174
616.458329,1.0424315363830088
616.591532,1.0504514246343872
616.724734,1.0512479686663094
616.857937,1.0442208403575017
616.99114,1.0301547153098647
617.124342,1.036074445659224
617.257545,1.04044551371761
617.390748,1.0392133160051895
617.52395,1.0466117063325493
617.657153,1.0440328975216
617.790356,1.032419420801202
617.923558,1.046577168716114
618.056761,1.0459012981948062
618.189964,1.029826148364895
618.323166,1.020418666056582
618.456369,1.0204798930133359
618.589572,1.0208034364183414
618.722774,1.0315412056076656
618.855977,1.0267936646482985
618.98918,1.0173843795641127
