nu,[0](E)-HFC-1225ye-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
763.980706,1.0
764.100308,1.0
764.21991,1.0
764.339512,1.0
764.459114,1.0
764.578716,1.0
764.698318,1.0
764.81792,1.0
764.937522,1.0
765.057124,1.0
765.176726,1.0
765.296328,1.0
765.41593,1.0
765.535532,1.0
765.655134,1.0
765.774736,1.0
765.894338,1.0
766.01394,1.0
766.133542,1.0
766.253144,1.0
766.372746,1.0
766.492348,1.0
766.61195,1.0
766.731552,1.0
766.851154,1.0
766.970756,1.0
767.090358,1.0
767.20996,1.0
767.329562,1.0
767.449164,1.0
767.568766,1.0
767.688368,1.0
767.80797,1.0
767.927572,1.0
768.047174,1.0
768.166776,1.0
768.286378,1.0
768.40598,1.0
768.525582,1.0
768.645184,1.0
768.764786,1.0
768.884388,1.0
769.00399,1.0
769.123592,1.0
769.243194,1.0
769.362796,1.0
769.482398,1.0
769.602,1.0
769.721602,1.0
769.841204,1.0
769.960806,1.0
770.080408,1.0
770.20001,1.0
770.319612,1.0
770.439214,1.0
770.558816,1.0
770.678418,1.0
770.79802,1.0
770.917622,1.0
771.037224,1.0
771.156826,1.0
771.276428,1.0
771.39603,1.0
771.515632,1.0
771.635234,1.0
771.754836,1.0
771.874438,1.0
771.99404,1.0
772.113642,1.0
772.233244,1.0
772.352846,1.0
772.472448,1.0
772.59205,1.0
772.711652,1.0
772.831254,1.0
772.950856,1.0
773.070458,1.0
773.19006,1.0
773.309662,1.0
773.429264,1.0
773.548866,1.0
773.668468,1.0
773.78807,1.0
773.907672,1.0
774.027274,1.0
774.146876,1.0
774.266478,1.0
774.38608,1.0
774.505682,1.0
774.625284,1.0
774.744886,1.0
774.864488,1.0
774.98409,1.0
775.103692,1.0
775.223294,1.0
775.342896,1.0
775.462498,1.0
775.5821,1.0
775.701702,1.0
775.821304,1.0
775.940906,1.0
776.060508,1.0
776.18011,1.0
776.299712,1.0
776.419314,1.0
776.538916,1.0
776.658518,1.0
776.77812,1.0
776.897722,1.0
777.017324,1.0
777.136926,1.0
777.256528,1.0
777.37613,1.0
777.495732,1.0
777.615334,1.0
777.734936,1.0
777.854538,1.0
777.97414,1.0
778.093742,1.0
778.213344,1.0
778.332946,1.0
778.452548,1.0
778.57215,1.0
778.691752,1.0
778.811354,1.0
778.930956,1.0
779.050558,1.0
779.17016,1.0
779.289762,1.0
779.409364,1.0
779.528966,1.0
779.648568,1.0
779.76817,1.0
779.887772,1.0
780.007374,1.0
780.126976,1.0
780.246578,1.0
780.36618,1.0
780.485782,1.0
780.605384,1.0
780.724986,1.0
780.844588,1.0
780.96419,1.0
781.083792,1.0
781.203394,1.0
781.322996,1.0
781.442598,1.0
781.5622,1.0
781.681802,1.0
781.801404,1.0
781.921006,1.0
782.040608,1.0
782.16021,1.0
782.279812,1.0
782.399414,1.0
782.519016,1.0
782.638618,1.0
782.75822,1.0
782.877822,1.0
782.997424,1.0
783.117026,1.0
783.236628,1.0
783.35623,1.0
783.475832,1.0
783.595434,1.0
783.715036,1.0
783.834638,1.0
783.95424,1.0
784.073842,1.0
784.193444,1.0
784.313046,1.0
784.432648,1.0
784.55225,1.0
784.671852,1.0
784.791454,1.0
784.911056,1.0
785.030658,1.0
785.15026,1.0
785.269862,1.0
785.389464,1.0
785.509066,1.0
785.628668,1.0
785.74827,1.0
785.867872,1.0
785.987474,1.0
786.107076,1.0
786.226678,1.0
786.34628,1.0
786.465882,1.0
786.585484,1.0
786.705086,1.0
786.824688,1.0
786.94429,1.0
787.063892,1.0
787.183494,1.0
787.303096,1.0
787.422698,1.0
787.5423,1.0
787.661902,1.0
787.781504,1.0
787.901106,1.0
788.020708,1.0
788.14031,1.0
788.259912,1.0
788.379514,1.0
788.499116,1.0
788.618718,1.0
788.73832,1.0
788.857922,1.0
788.977524,1.0
789.097126,1.0
789.216728,1.0
789.33633,1.0
789.455932,1.0
789.575534,1.0
789.695136,1.0
789.814738,1.0
789.93434,1.0
790.053942,1.0
790.173544,1.0
790.293146,1.0
790.412748,1.0
790.53235,1.0
790.651952,1.0
790.771554,1.0
790.891156,1.0
791.010758,1.0
791.13036,1.0
791.249962,1.0
791.369564,1.0
791.489166,1.0
791.608768,1.0
791.72837,1.0
791.847972,1.0
791.967574,1.0
792.087176,1.0
792.206778,1.0
792.32638,1.0
792.445982,1.0
792.565584,1.0
792.685186,1.0
792.804788,1.0
792.92439,1.0
793.043992,1.0
793.163594,1.0
793.283196,1.0
793.402798,1.0
793.5224,1.0
793.642002,1.0
793.761604,1.0
793.881206,1.0
794.000808,1.0
794.12041,1.0
794.240012,1.0
794.359614,1.0
794.479216,1.0
794.598818,1.0
794.71842,1.0
794.838022,1.0
794.957624,1.0
795.077226,1.0
795.196828,1.0
795.31643,1.0
795.436032,1.0
795.555634,1.0
795.675236,1.0
795.794838,1.0
795.91444,1.0
796.034042,1.0
796.153644,1.0
796.273246,1.0
796.392848,1.0
796.51245,1.0
796.632052,1.0
796.751654,1.0
796.871256,1.0
796.990858,1.0
797.11046,1.0
797.230062,1.0
797.349664,1.0
797.469266,1.0
797.588868,1.0
797.70847,1.0
797.828072,1.0
797.947674,1.0
798.067276,1.0
798.186878,1.0
798.30648,1.0
798.426082,1.0
