nu,[0]Ethylformate-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
688.385878,0.9963217812802702
688.50548,0.9961397699180744
688.625082,0.9962870102568613
688.744684,0.9959947425258248
688.864286,0.996371698251922
688.983888,0.9962695753867374
689.10349,0.9963055413675909
689.223092,0.99640288517415
689.342694,0.9959477326834185
689.462296,0.9957843110695953
689.581898,0.9963089288121902
689.7015,0.9962726638272081
689.821102,0.9962349058087681
689.940704,0.9960350811297483
690.060306,0.9960644645980457
690.179908,0.9962004366773465
690.29951,0.9961430571847392
690.419112,0.9960216347469163
690.538714,0.9965249520040246
690.658316,0.9962512441951977
690.777918,0.9959806990989615
690.89752,0.9958424665714859
691.017122,0.9955791010707007
691.136724,0.9963292537216514
691.256326,0.9960856809970954
691.375928,0.9965659100212334
691.49553,0.996111081505816
691.615132,0.996603082622942
691.734734,0.9960073917393771
691.854336,0.996021236338342
691.973938,0.9962777448307503
692.09354,0.996241182108445
692.213142,0.9959783087481521
692.332744,0.996214682445448
692.452346,0.9958344998636202
692.571948,0.9960215351447578
692.69155,0.9963240728230024
692.811152,0.9959906589557517
692.930754,0.9961820071397417
693.050356,0.9958467487032987
693.169958,0.9957058463574333
693.28956,0.9957594167729986
693.409162,0.9960196427056388
693.528764,0.9960192442978615
693.648366,0.996502630095106
693.767968,0.9955955282613923
693.88757,0.9958765249662379
694.007172,0.9962976705849037
694.126774,0.995772560884051
694.246376,0.9959737272584693
694.365978,0.9958805084803047
694.48558,0.996175830830444
694.605182,0.995812093839442
694.724784,0.9961536163571089
694.844386,0.9960811986216163
694.963988,0.9959436493060855
695.08359,0.995711223183521
695.203192,0.9960820950950984
695.322794,0.9956331624836429
695.442396,0.9956191241550223
695.561998,0.9957177948992807
695.6816,0.9954583446497658
695.801202,0.9956804561820773
695.920804,0.9955660590699019
696.040406,0.995845752857048
696.160008,0.9957368132907883
696.27961,0.9957826182377054
696.399212,0.9955924419200385
696.518814,0.9957571265289737
696.638416,0.9956108605505858
