nu,[0]Dichloromethane-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
652.806486,0.9975752444803914
652.925688,0.9976595431501186
653.04489,0.9973689672496336
653.164092,0.9970705990927347
653.283294,0.997390410912948
653.402496,0.9970384939363396
653.521698,0.9971859668349449
653.6409,0.997074786798045
653.760102,0.997029420927327
653.879304,0.9968505698926302
653.998506,0.9974392842404695
654.117708,0.9970409865356902
654.23691,0.9971809809175755
654.356112,0.9969761809777689
654.475314,0.9965921200493273
654.594516,0.9964625714945594
654.713718,0.9965965050643025
654.83292,0.9965446833934144
654.952122,0.996306238781714
655.071324,0.9967803940827272
655.190526,0.9961611871533621
655.309728,0.9966371670312076
655.42893,0.9967808924730489
655.548132,0.9967677350521074
655.667334,0.9967161038206922
655.786536,0.9962331125875515
655.905738,0.9964808069264715
656.02494,0.9962311201233188
656.144142,0.9964119524816613
656.263344,0.9963991984902952
656.382546,0.9961844975978726
656.501748,0.995761109565446
656.62095,0.9955789019549004
656.740152,0.9956147434405136
656.859354,0.9958092059885573
656.978556,0.995531115314495
657.097758,0.9957178944710652
657.21696,0.9956161373021302
657.336162,0.9955301197838775
657.455364,0.9954910957680577
657.574566,0.9955601852474812
657.693768,0.9950671068773063
657.81297,0.9953203836841131
657.932172,0.9951738833063272
658.051374,0.9956896164844115
658.170576,0.995042628527562
658.289778,0.9947611707820267
658.40898,0.9941093185025044
658.528182,0.994822748404306
658.647384,0.9945544808865622
658.766586,0.9946802999862846
658.885788,0.9947956895935508
659.00499,0.9948811462135962
659.124192,0.9952931122792201
659.243394,0.9939809872734449
659.362596,0.9942918537296026
659.481798,0.9947466473749544
659.601,0.9939750234054128
659.720202,0.9936814465469357
659.839404,0.994190142875565
659.958606,0.993780124013833
660.077808,0.9934556084216108
660.19701,0.993317925015964
660.316212,0.9931081584223327
660.435414,0.9928280421231034
660.554616,0.9937312312345037
660.673818,0.9934766699037603
660.79302,0.9936808503382466
660.912222,0.9933096805114011
661.031424,0.9932220744610636
661.150626,0.9927128807497059
661.269828,0.9929635724005842
661.38903,0.9924797198798341
661.508232,0.9925340100053329
661.627434,0.9923706523519897
661.746636,0.9927947829407867
661.865838,0.9929046914065796
661.98504,0.992479819127811
662.104242,0.9916264550718978
662.223444,0.9914196233666667
662.342646,0.9915996815190555
662.461848,0.9918443393377874
662.58105,0.9925184273437
662.700252,0.991575189309402
662.819454,0.9916020613611469
662.938656,0.9920397519201443
663.057858,0.9913576615765324
663.17706,0.9909017419217672
663.296262,0.9909328567249633
663.415464,0.9911297746467422
663.534666,0.9911459301937364
663.653868,0.9913601399737844
663.77307,0.9904919897039082
663.892272,0.9903402579540344
664.011474,0.9903992839923669
664.130676,0.989918165877387
664.249878,0.9902929208210707
664.36908,0.9900888424810848
664.488282,0.9904159228401039
664.607484,0.9900640905694229
664.726686,0.9897380171652274
664.845888,0.9895460266135829
664.96509,0.988825899264368
665.084292,0.9889870910227195
665.203494,0.9889732453003656
665.322696,0.9897162431683646
665.441898,0.9891740272478396
665.5611,0.9889534660332528
665.680302,0.9890998419777784
665.799504,0.9882456287875467
665.918706,0.9879827904093433
666.037908,0.9878247258083831
666.15711,0.9882476052807808
666.276312,0.9883662021090819
666.395514,0.9875827383952286
666.514716,0.9881201295620602
666.633918,0.9875481736042722
666.75312,0.9871334904609144
666.872322,0.9871186835696094
666.991524,0.9868946330591342
667.110726,0.9870495876801438
667.229928,0.9872292470536087
667.34913,0.987336860906386
667.468332,0.9867347690779106
667.587534,0.9865926895011384
667.706736,0.9858885137414963
667.825938,0.9856440437056259
667.94514,0.9852754817586601
668.064342,0.9851178502924324
668.183544,0.9855346432886101
668.302746,0.9852902610017306
668.421948,0.9850617001752592
668.54115,0.9845702770071493
668.660352,0.9846618463008171
668.779554,0.985268584854427
668.898756,0.9847957694184796
669.017958,0.9847091112037881
