nu,[0]Pentadecane-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
663.340067,0.9414095552727035
663.458669,0.9634439173838231
663.577272,0.8056386194383169
663.695874,0.8863175358297234
663.814476,0.8916781766597451
663.933079,0.9549416880491691
664.051681,0.8072434365544268
664.170283,0.8904039881290535
664.288886,0.8977353182051837
664.407488,0.916190469306095
664.526091,0.8641577031846428
664.644693,0.8983010696486454
664.763295,0.872388872307697
664.881898,0.8445680210783665
665.0005,0.8806015724540258
665.119102,0.9381400819763646
665.237705,0.8996045509952315
665.356307,0.8025428738875544
665.474909,0.8706197191948638
665.593512,0.9042404223702964
665.712114,0.9117558801621709
665.830717,0.8225796188451411
665.949319,0.8918030203433315
666.067921,0.9060733644531045
666.186524,0.8788597063570704
666.305126,0.8693582353988059
666.423728,0.8774634297580195
666.542331,0.8794575341958221
666.660933,0.8484789526312642
666.779536,0.8826822463945571
666.898138,0.9192850781468604
667.01674,0.9017030734282959
667.135343,0.8224233435641823
667.253945,0.8499395922197397
667.372547,0.9341549081082606
667.49115,0.919131570357067
667.609752,0.805042667389386
667.728355,0.8843609369136939
667.846957,0.9410622392305587
667.965559,0.9112982935741726
668.084162,0.8317112114809696
668.202764,0.8877101472749065
668.321366,0.9138644707298138
668.439969,0.8833091733222204
668.558571,0.8767705073888842
668.677174,0.8667280666634576
668.795776,0.8747475049841719
668.914378,0.8355793185707923
669.032981,0.8917316789553976
669.151583,0.9397043260064103
669.270185,0.8686456538441445
669.388788,0.7985721168511006
669.50739,0.8864416289710567
669.625993,0.9268764515707503
669.744595,0.886237770840977
669.863197,0.8171602981512456
669.9818,0.8690800852698723
670.100402,0.9196243569337831
670.219004,0.866164876476766
670.337607,0.8553795418048002
670.456209,0.8793871804072755
670.574811,0.8993167235937534
670.693414,0.8376876338150782
670.812016,0.9106341992099634
670.930619,0.8698539108470655
671.049221,0.9066860771210237
671.167823,0.7894016701774932
671.286426,0.888438368125416
671.405028,0.9175749619436234
671.52363,0.8485892620650641
671.642233,0.791037424055938
671.760835,0.8650395937296091
671.879438,0.923996495589224
671.99804,0.8600798888821131
672.116642,0.8439179540100761
672.235245,0.8862466332629975
672.353847,0.9195094110734323
672.472449,0.8357130219577493
672.591052,0.8681333040664233
672.709654,0.8561154846208047
672.828257,0.9060045054940796
672.946859,0.8624397392963166
673.065461,0.8755176215901663
673.184064,0.8774722044361903
673.302666,0.8440023500252075
673.421268,0.818206933036305
673.539871,0.8977442956032528
673.658473,0.9024788716168504
673.777076,0.860071288126228
673.895678,0.8354623456544876
674.01428,0.8743189837030174
674.132883,0.9228025401789426
674.251485,0.8279355216768848
674.370087,0.8598133054391282
674.48869,0.8600970906519078
674.607292,0.9117494978933478
674.725895,0.8259013034078866
674.844497,0.889896602474469
674.963099,0.847308859226776
675.081702,0.8443315751364412
675.200304,0.8283744438074636
675.318906,0.8951804150146953
675.437509,0.8902348274420832
675.556111,0.8329930334962713
675.674713,0.8410198638213089
675.793316,0.8594006940871639
675.911918,0.9199113244977585
676.030521,0.8144844032399925
676.149123,0.8188208184143231
676.267725,0.9111415637468294
676.386328,0.9181421985281558
676.50493,0.8471987162345261
676.623532,0.8390625686729497
676.742135,0.839196829424511
676.860737,0.8890871649161642
676.97934,0.8434876655864055
677.097942,0.8944198349542517
677.216544,0.8572463032365957
677.335147,0.8253068684916823
677.453749,0.8415414578143076
677.572351,0.8906266169535293
677.690954,0.8944198349542517
677.809556,0.8176098599333861
677.928159,0.8544220530117924
678.046761,0.8658964069799802
678.165363,0.8769546485295789
678.283966,0.8078652533693245
678.402568,0.825141823623021
678.52117,0.8389786666112553
678.639773,0.8653337571964328
678.758375,0.8267937586546538
678.876978,0.8507389110574235
678.99558,0.8553538808034631
679.114182,0.8494297814229412
679.232785,0.8388276640419043
679.351387,0.8919813987846497
679.469989,0.8524847146623914
679.588592,0.8280762826799161
679.707194,0.830946389038676
679.825797,0.8759116931793395
679.944399,0.8904485094414836
680.063001,0.7824775868353225
680.181604,0.8503646682760079
680.300206,0.8490136627874356
680.418808,0.8853519760413521
680.537411,0.8310211775791234
680.656013,0.8357130219577493
680.774615,0.8672482595457145
680.893218,0.8780603078057915
681.01182,0.8754300742054495
681.130423,0.9071268336496655
681.249025,0.818067849680109
681.367627,0.8110220796674699
681.48623,0.8262152055408096
681.604832,0.9112363273970835
681.723434,0.8214534563647635
681.842037,0.798500248594704
681.960639,0.8665547383835306
682.079242,0.8806103785137805
682.197844,0.9003695399378193
682.316446,0.7850561775518295
682.435049,0.8204600987850957
682.553651,0.8870091331955793
682.672253,0.8801701833824772
682.790856,0.8559699573585868
682.909458,0.8529622397971608
683.028061,0.8517433754899351
683.146663,0.831619728279375
683.265265,0.8697495346404615
683.383868,0.8569720283058894
683.50247,0.8331513172091122
683.621072,0.8236826143763547
683.739675,0.8822321932222097
683.858277,0.889282785609933
683.97688,0.8933650419992403
684.095482,0.8041013182651625
684.214084,0.8481226662965268
684.332687,0.859297572191311
684.451289,0.884086827512403
684.569891,0.7902467820187874
684.688494,0.8227688339163746
684.807096,0.8727204430736295
684.925699,0.8386515287273109
685.044301,0.8257031108791235
685.162903,0.8581897929943875
685.281506,0.8595382091991335
685.400108,0.7902704897778626
685.51871,0.8597445231260222
685.637313,0.866034961489162
685.755915,0.8283910114620158
685.874517,0.796753446496732
685.99312,0.8431166126511795
686.111722,0.8659830009503044
686.230325,0.8247870889122918
686.348927,0.824836577622273
686.467529,0.8441542841218705
686.586132,0.8785521592837228
686.704734,0.8344353586957896
686.823336,0.8331929758164291
686.941939,0.8270583749937794
687.060541,0.8417771224139998
687.179144,0.8169805426594814
687.297746,0.8832826744445058
687.416348,0.8430070146155616
687.534951,0.8324101424085061
687.653553,0.8097254818948276
687.772155,0.8755876658016246
