nu,[0]Propylenecarbonate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
689.445789,0.9982026172305554
689.563791,0.9967615551113079
689.681794,0.997105995727289
689.799796,0.9991972124065209
689.917798,0.9961108822836195
690.035801,0.998327400356492
690.153803,0.9969926312204691
690.271805,0.9995444338018074
690.389808,0.9969888426556688
690.50781,0.9960481292747763
690.625813,0.9933172296936599
690.743815,0.9945693993156633
690.861817,0.9980177672234832
690.97982,0.9955912472098251
691.097822,0.9975288583100098
691.215824,0.9940472880164012
691.333827,0.9950799433257799
691.451829,0.9952167762250334
691.569831,0.9933495130282263
691.687834,0.9955380840566929
691.805836,0.9934256065152676
691.923838,0.9961393714622462
692.041841,0.9951591548418451
692.159843,0.9914821839186658
692.277846,0.9901535964088134
692.395848,0.9931881068469666
692.51385,0.9968448878605756
692.631853,0.9932864373368233
692.749855,0.9943080608189058
692.867857,0.9913916657274924
692.98586,0.9938584369730953
693.103862,0.9903981945537537
693.221864,0.9937954283455858
693.339867,0.9941178678794058
693.457869,0.9911707091517269
693.575872,0.9932495870935744
693.693874,0.9951147717332898
693.811876,0.9905432985178616
693.929879,0.990472675298425
694.047881,0.9896578516325849
694.165883,0.9912616036732063
694.283886,0.9903628379693269
694.401888,0.9895064455641447
694.51989,0.9909596122732932
694.637893,0.9876291558747354
694.755895,0.989507435071085
694.873897,0.9901666665225485
694.9919,0.985334600061097
695.109902,0.9848991784031452
695.227905,0.9861498088177063
695.345907,0.9836796439786907
695.463909,0.9838252393397905
695.581912,0.9829077584628704
695.699914,0.9843054632216853
695.817916,0.9837022688706875
695.935919,0.9826227565401923
696.053921,0.9793217879588728
696.171923,0.9792738023669195
696.289926,0.9739863400765604
696.407928,0.9767085330048613
696.525931,0.9755537699873146
696.643933,0.9768609114212174
696.761935,0.9735734574056797
696.879938,0.9730527349116551
696.99794,0.9714465788437737
697.115942,0.9720500345228309
697.233945,0.9685404804027875
697.351947,0.9683080585792253
697.469949,0.9671051993942679
697.587952,0.9663588822958016
697.705954,0.9641590580549
697.823956,0.9637570875443674
697.941959,0.9635922991722047
698.059961,0.9592207911431901
698.177964,0.9566994415724743
698.295966,0.9582831317996092
698.413968,0.9565693392955759
698.531971,0.9583128390371548
698.649973,0.9527440350683091
698.767975,0.9516261698863946
698.885978,0.9480159044707174
699.00398,0.9457292083583534
699.121982,0.943781123896045
699.239985,0.9445525081418249
699.357987,0.9411817617244587
699.47599,0.9377892831891677
699.593992,0.9389359621713899
699.711994,0.9372989476279857
699.829997,0.9371283747421209
699.947999,0.9348651356907186
700.066001,0.9354570926562246
700.184004,0.9289559108625891
700.302006,0.9314674809157112
700.420008,0.9301020199317224
700.538011,0.928795215390569
700.656013,0.9285082620055946
700.774015,0.9260556027243945
700.892018,0.9241332571906801
701.01002,0.9221789364635851
701.128023,0.9215787933437279
701.246025,0.919902125430509
701.364027,0.9179934715392056
701.48203,0.9198524520569289
701.600032,0.913872695547062
701.718034,0.9121097100822395
701.836037,0.91560154819276
701.954039,0.911419504307553
702.072041,0.9128278229644285
702.190044,0.9103018783794927
702.308046,0.9129547148506024
702.426049,0.9085984786930731
702.544051,0.9092883667177872
702.662053,0.9075632666103636
702.780056,0.9085085318961224
702.898058,0.907145883513195
703.01606,0.9057698807123775
703.134063,0.9049677240059614
703.252065,0.9034811793422207
703.370067,0.90511343553899
703.48807,0.9032011435844097
703.606072,0.9011351793974389
703.724074,0.9031108279859065
703.842077,0.8998384785877594
703.960079,0.90029751325573
704.078082,0.9018563759811266
704.196084,0.9027045195395696
704.314086,0.8998654741470485
704.432089,0.9004415723822737
704.550091,0.9031650162612176
704.668093,0.900864879390648
704.786096,0.9003875475086932
704.904098,0.8981573529751422
705.0221,0.901009029303036
705.140103,0.9014957055696253
705.258105,0.9003155193860558
705.376108,0.9013604913551095
705.49411,0.8999194676952875
705.612112,0.8999194676952875
705.730115,0.9003785436782373
705.848117,0.9011802372828466
705.966119,0.8991188956764316
706.084122,0.9013695050050913
706.202124,0.8999284669349606
706.320126,0.8991728444286186
706.438129,0.8992178041948248
706.556131,0.8975468135820388
706.674133,0.895959560855054
706.792136,0.8975557890950522
706.910138,0.8948850542149528
707.028141,0.8882518156568044
707.146143,0.8879587409176293
707.264145,0.8876923932495019
707.382148,0.8947687267193559
707.50015,0.9006036664533312
707.618152,0.9020908891242692
707.736155,0.903155984656213
707.854157,0.9029663418126308
707.972159,0.9034992491465049
708.090162,0.9049650091068617
708.208164,0.9064802827400631
708.326167,0.9074262349032597
708.444169,0.9036347841987518
708.562171,0.9038064911193904
708.680174,0.9042856355217344
708.798176,0.9072592838360067
708.916178,0.9092901852963392
709.034181,0.9096530644698534
709.152183,0.9122374143807432
709.270185,0.9075678044380412
709.388188,0.9096476065678403
