nu,[0]Methylsalicylate-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
629.731595,0.972114191942281
629.850597,0.9692390498931972
629.969599,0.9713494390429603
630.088602,0.972115164056959
630.207604,0.9690355310629447
630.326607,0.972584809091344
630.445609,0.9711250832366347
630.564611,0.9738607039423954
630.683614,0.9717244522993331
630.802616,0.9727511353141854
630.921618,0.9701272796100034
631.040621,0.9705464651323487
631.159623,0.9718537002462869
631.278626,0.9716622639244352
631.397628,0.9742873483590286
631.51663,0.9680592353833207
631.635633,0.9714592077313863
631.754635,0.9735569067975844
631.873637,0.9721657153598124
631.99264,0.9749393646702189
632.111642,0.9743789356743108
632.230645,0.9738616778035863
632.349647,0.9778108818379483
632.468649,0.9753186898570411
632.587652,0.9760348365690871
632.706654,0.9760553335158723
632.825657,0.9748486995252991
632.944659,0.9768775181978688
633.063661,0.973835383893255
633.182664,0.9747999583088635
633.301666,0.9794745740748017
633.420668,0.9759313823595808
633.539671,0.9787607973135415
633.658673,0.9770660737539069
633.777676,0.976819884124517
633.896678,0.9771569451242192
634.01568,0.9778529286098665
634.134683,0.9772605292502641
634.253685,0.9781541536981606
634.372687,0.9786844569486639
634.49169,0.9807546035458492
634.610692,0.9797145747443314
634.729695,0.978634545314117
634.848697,0.978850847449137
634.967699,0.9795362829167764
635.086702,0.9811469838580983
635.205704,0.9790544696013761
635.324706,0.9797518046055347
635.443709,0.9829195534267415
635.562711,0.9807889305576926
635.681714,0.9793462713096125
635.800716,0.9814590382129779
635.919718,0.9819381071069286
636.038721,0.9788175670860931
636.157723,0.9808526839101402
636.276726,0.98380949826189
636.395728,0.9850715508415142
636.51473,0.9826355307190593
636.633733,0.9841706226100168
636.752735,0.9853582483752771
636.871737,0.9831603982196135
636.99074,0.9809409646242647
637.109742,0.9838960773071592
637.228745,0.9851414934045556
637.347747,0.9824714442870276
637.466749,0.9832685518117562
637.585752,0.9860817668283736
637.704754,0.9840889398382221
637.823756,0.9829234851128186
637.942759,0.983855738394943
638.061761,0.9855218314215246
638.180764,0.9880252745827341
638.299766,0.9877605192879401
638.418768,0.9870328079797811
638.537771,0.9890207171554554
638.656773,0.9850045682534908
638.775776,0.9860748642801647
638.894778,0.985324746764363
639.01378,0.9856706564540764
639.132783,0.986233635114023
639.251785,0.9850912524695467
639.370787,0.9886676997767823
639.48979,0.9878652274524193
639.608792,0.986058101149959
639.727795,0.989396616444316
639.846797,0.988341493262891
639.965799,0.9902368718279536
640.084802,0.988155702527034
640.203804,0.9854134299822567
640.322806,0.9900419133821796
640.441809,0.9911948940120843
640.560811,0.990291930528645
640.679814,0.9914212096393331
640.798816,0.9914378656555652
640.917818,0.984831222704334
641.036821,0.9876627358368913
641.155823,0.9897063460554185
641.274825,0.9898884687778694
641.393828,0.990734987191406
641.51283,0.9908821222615124
641.631833,0.9917232425370643
641.750835,0.9911379019442162
641.869837,0.989431245931904
641.98884,0.9877318746482301
642.107842,0.9911213500794622
642.226845,0.9934342493556405
642.345847,0.9934635560982689
642.464849,0.9907844261007573
642.583852,0.9916358755679683
642.702854,0.9920790374721691
642.821856,0.9896697275980602
642.940859,0.9916939871329288
643.059861,0.9911754667825491
643.178864,0.9942099274562641
643.297866,0.9917914754433359
643.416868,0.9954802449742508
643.535871,0.9919680300388577
643.654873,0.9929564230886004
643.773875,0.9925297421182658
643.892878,0.9906403765178607
644.01188,0.9915173821609601
644.130883,0.9908290124031162
644.249885,0.9911922177894834
644.368887,0.9897162431683646
644.48789,0.9941628030225605
644.606892,0.9927245948308117
644.725895,0.9916138614958878
644.844897,0.9901214169398492
644.963899,0.9931763872964513
645.082902,0.9925837372048901
645.201904,0.9945464250278933
645.320906,0.9931578150716597
645.439909,0.9939632945693369
645.558911,0.9907864076715911
645.677914,0.9929407345010558
645.796916,0.9944888424569156
645.915918,0.9916169355036232
646.034921,0.9910475142892986
646.153923,0.9917723340525749
646.272925,0.9899904325411971
646.391928,0.9918707227481115
646.51093,0.9926547094793289
646.629933,0.9911789359027539
646.748935,0.9918974044294204
646.867937,0.990358183274927
646.98694,0.9912791491588683
647.105942,0.9903902713998899
647.224944,0.9934469653954148
647.343947,0.9913436835320496
647.462949,0.9912259188978038
647.581952,0.9916886319998572
647.700954,0.9901797368088103
647.819956,0.993095843957518
647.938959,0.9918667552731555
648.057961,0.9891483090574692
648.176964,0.9899597433134739
648.295966,0.9924868657595424
648.414968,0.9901696370270039
648.533971,0.9896776449875504
