nu,[0]Hexadecane-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
624.37625,0.8709506175548645
624.495252,0.9753840383984133
624.614254,0.9605079690840302
624.733256,0.8990110078823476
624.852258,0.8829382613663882
624.97126,0.9468855958598295
625.090262,0.9239382856436344
625.209264,0.9136570470384378
625.328266,0.8988402120169708
625.447268,0.9158552049514485
625.56627,0.8704282039240931
625.685272,0.8836360581863203
625.804274,0.9540263379508547
625.923276,0.9005496318543983
626.042278,0.8597445231260222
626.16128,0.8699669992060597
626.280282,0.9554708723148554
626.399284,0.9154248541454828
626.518286,0.8810772257179739
626.637288,0.8755876658016246
626.75629,0.9633899660351015
626.875292,0.9006667109165135
626.994294,0.8862200462628066
627.113296,0.8792201127149315
627.232298,0.9156345104418118
627.3513,0.9105695464770186
627.470302,0.9047831294195522
627.589304,0.9166890125128551
627.708306,0.8919100431270113
627.827308,0.8800205671690406
627.94631,0.905893073793094
628.065312,0.9489615476522691
628.184314,0.8884561370704673
628.303316,0.8509941710178204
628.422318,0.8979328417019768
628.54132,0.9688766222667279
628.660322,0.8847943799576549
628.779324,0.8532266990805689
628.898326,0.8890516021408278
629.017328,0.929464188747159
629.13633,0.8911255075353486
629.255332,0.8849890561348399
629.374334,0.9026413324347764
629.493336,0.8805047116085
629.612338,0.8882162862947701
629.73134,0.9112545523058799
629.850342,0.9488514744971079
629.969344,0.868949733033744
630.088346,0.8397760750535744
630.207348,0.9061621639939273
630.32635,0.9817633376788042
630.445352,0.8715779278040938
630.564354,0.830921461020927
630.683356,0.9108427583206892
630.802358,0.9177071022520172
630.92136,0.8968559685450535
631.040362,0.8528940055473834
631.159364,0.9048193214685651
