nu,[0]Vinyl2-2-2-trifluoroacetate-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
681.35775,1.0
681.418015,1.0
681.47828,1.0
681.538545,1.0
681.59881,1.0
681.659075,1.0
681.71934,1.0
681.779605,1.0
681.83987,1.0
681.900135,1.0
681.9604,1.0
682.020665,1.0
682.08093,1.0
682.141195,1.0
682.20146,1.0
682.261725,1.0
682.32199,1.0
682.382255,1.0
682.44252,1.0
682.502785,1.0
682.56305,1.0
682.623315,1.0
682.68358,1.0
682.743845,1.0
682.80411,1.0
682.864375,1.0
682.92464,1.0
682.984905,1.0
683.04517,1.0
683.105435,1.0
683.1657,1.0
683.225965,1.0
683.28623,1.0
683.346495,1.0
683.40676,1.0
683.467025,1.0
683.52729,1.0
683.587555,1.0
683.64782,1.0
683.708085,1.0
683.76835,1.0
683.828615,1.0
683.88888,1.0
683.949145,1.0
684.00941,1.0
684.069675,1.0
684.12994,1.0
684.190205,1.0
684.25047,1.0
684.310735,1.0
684.371,1.0
684.431265,1.0
684.49153,1.0
684.551795,1.0
684.61206,1.0
684.672325,1.0
684.73259,1.0
684.792855,1.0
684.85312,1.0
684.913385,1.0
684.97365,1.0
685.033915,1.0
685.09418,1.0
685.154445,1.0
685.21471,1.0
685.274975,1.0
685.33524,1.0
685.395505,1.0
685.45577,1.0
685.516035,1.0
685.5763,1.0
685.636565,1.0
685.69683,1.0
685.757095,1.0
685.81736,1.0
685.877625,1.0
685.93789,1.0
685.998155,1.0
686.05842,1.0
686.118685,1.0
686.17895,1.0
686.239215,1.0
686.29948,1.0
686.359745,1.0
686.42001,1.0
686.480275,1.0
686.54054,1.0
686.600805,1.0
686.66107,1.0
686.721335,1.0
686.7816,1.0
686.841865,1.0
686.90213,1.0
686.962395,1.0
687.02266,1.0
687.082925,1.0
687.14319,1.0
687.203455,1.0
687.26372,1.0
687.323985,1.0
687.38425,1.0
687.444515,1.0
687.50478,1.0
687.565045,1.0
687.62531,1.0
687.685575,1.0
687.74584,1.0
687.806105,1.0
687.86637,1.0
687.926635,1.0
687.9869,1.0
688.047165,1.0
688.10743,1.0
688.167695,1.0
688.22796,1.0
688.288225,1.0
688.34849,1.0
688.408755,1.0
688.46902,1.0
688.529285,1.0
688.58955,1.0
688.649815,1.0
688.71008,1.0
688.770345,1.0
688.83061,1.0
688.890875,1.0
688.95114,1.0
689.011405,1.0
689.07167,1.0
689.131935,1.0
689.1922,1.0
689.252465,1.0
689.31273,1.0
689.372995,1.0
689.43326,1.0
689.493525,1.0
689.55379,1.0
689.614055,1.0
689.67432,1.0
689.734585,1.0
689.79485,1.0
689.855115,1.0
689.91538,1.0
689.975645,1.0
690.03591,1.0
690.096175,1.0
690.15644,1.0
690.216705,1.0
690.27697,1.0
690.337235,1.0
690.3975,1.0
690.457765,1.0
690.51803,1.0
690.578295,1.0
690.63856,1.0
690.698825,1.0
690.75909,1.0
690.819355,1.0
690.87962,1.0
690.939885,1.0
691.00015,1.0
691.060415,1.0
691.12068,1.0
691.180945,1.0
691.24121,1.0
691.301475,1.0
691.36174,1.0
691.422005,1.0
691.48227,1.0
691.542535,1.0
691.6028,1.0
691.663065,1.0
691.72333,1.0
691.783595,1.0
691.84386,1.0
691.904125,1.0
691.96439,1.0
