nu,[0]4-Methyl-1-pentanol-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
594.569891,1.0
594.704494,1.0
594.839097,0.9996589681645808
594.973699,0.9988589514914855
595.108302,0.9976366970081697
595.242905,1.0
595.377508,1.0
595.51211,1.0
595.646713,1.0
595.781316,0.999811657738631
595.915918,0.9982142962694992
596.050521,0.9989241791106764
596.185124,1.0
596.319726,1.0
596.454329,1.0
596.588932,0.9998389629678551
596.723534,0.9984498027988922
596.858137,0.99707548475064
596.99274,1.0
597.127343,1.0
597.261945,1.0
597.396548,1.0
597.531151,0.9999372249704346
597.665753,0.998515203402822
597.800356,0.9994858622141509
597.934959,0.9998277448376244
598.069561,1.0
598.204164,1.0
598.338767,0.9993359205983945
598.473369,0.9990939007560625
598.607972,0.9976140509121818
598.742575,0.9994372284153654
598.877178,1.0
599.01178,1.0
