nu,[0]Butane-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
635.7606,0.9999072543011482
635.879802,1.0000967606810127
635.999004,1.0002647050281948
636.118206,0.9999316823337581
636.237408,1.0001670639536282
636.35661,0.9999320353097042
636.475812,0.9999862790941325
636.595014,1.0004681995712197
636.714216,1.0000919122236696
636.833418,0.9997480017568925
636.95262,0.9998286146881408
637.071822,0.9996927072240998
637.191024,1.00031795053556
637.310226,1.0001870374893305
637.429428,1.0001983596706783
637.54863,1.0001749853081432
637.667832,1.0002199641885752
637.787034,1.0000493382170899
637.906236,1.0000527593917277
638.025438,1.0002261955783627
638.14464,0.9993821109720958
638.263842,0.9999725723761441
638.383044,0.9996608675184246
638.502246,1.0000496442322342
638.621448,0.9999609797613093
638.74065,1.0001351191277672
638.859852,1.0004557238105576
638.979054,0.9998633693348197
639.098256,1.0001005050502942
639.217458,1.0002376382314921
639.33666,1.0002575531611217
639.455862,1.000086062703182
639.575064,1.0003693882070277
639.694266,0.9999082142125731
639.813468,1.000205341079594
639.93267,0.9997823136971024
640.051872,1.0001770356689648
640.171074,0.9999586328556439
640.290276,1.0002867310995056
640.409478,1.0000202382047898
640.52868,1.000186837451943
640.647882,1.0000699084434814
640.767084,1.0002518116992445
640.886286,1.0004081132555636
641.005488,0.9997430130268106
641.12469,0.9996230710555704
641.243892,0.9998223857752744
641.363094,1.000118236989442
641.482296,1.0001786659588616
641.601498,1.0004015706078975
641.7207,1.000063612023159
641.839902,1.000059709782558
641.959104,0.9998269749705573
642.078306,0.999932683265873
642.197508,0.9998984051611052
642.31671,1.0000247103052946
642.435912,1.000157782446341
642.555114,0.9999300384474236
642.674316,1.0002879214414238
642.793518,1.0000600318018364
642.91272,1.0001351191277672
643.031922,1.0001333088848399
643.151124,1.000395758291657
643.270326,0.9997808740116072
643.389528,0.9998746078622514
643.50873,0.9997901120295626
643.627932,0.9997733356922366
643.747134,0.999632537530877
643.866336,1.0007500711627886
643.985538,1.000362475678438
644.10474,1.0002215845462297
644.223942,0.9997081925840684
644.343144,0.9997887923074857
644.462346,1.0001347590791891
644.581548,0.9999316853335531
644.70075,1.0002050910282898
644.819952,1.000083333472041
644.939154,1.0003967987037867
645.058356,0.9994570974249637
645.177558,1.0002403788863754
645.29676,1.0000463080721858
645.415962,1.0002241051077985
645.535164,1.0000090553409993
645.654366,0.9996532501316364
