nu,[0]Formicacid-PNNL(x-sec)-X=0.01-T=298.15K-P=1.0atm-L=15cm
626.581732,0.4308350399828649
626.714934,0.4123593916679888
626.848137,0.38221958717254295
626.98134,0.36884454904655406
627.114542,0.3893058490295164
627.247745,0.4050316770483617
627.380948,0.40077704652525004
627.51415,0.3146167649640988
627.647353,0.28187262344443287
627.780556,0.3878060249749189
627.913758,0.48892313011158745
628.046961,0.49057358050697997
628.180164,0.4379327146179985
628.313366,0.40164366055195394
628.446569,0.40078907001699726
628.579772,0.4550126764907728
628.712974,0.46918881543886976
628.846177,0.41762975189175017
628.97938,0.4041052157110235
629.112582,0.4314904071965412
629.245785,0.4448625148258463
629.378988,0.4135032106408192
629.51219,0.36012647132158276
629.645393,0.3535253799647368
629.778596,0.3552974333061378
629.911798,0.3146167649640988
630.045001,0.22686503449923465
630.178204,0.207401240916636
630.311406,0.2558151923715374
630.444609,0.2685011720139769
630.577812,0.2531685010213627
630.711014,0.2738430902361714
630.844217,0.2919128442101094
630.97742,0.25815373485253723
631.110622,0.23424211946210938
631.243825,0.2612963696420598
631.377028,0.29240951809845606
631.51023,0.31628866042776044
631.643433,0.24346063810966342
631.776636,0.26113963884421587
631.909838,0.29334672729132805
632.043041,0.3290649932021001
632.176244,0.34920365091091327
632.309446,0.25694325914492644
632.442649,0.2576121808400811
632.575852,0.2929070370505135
632.709054,0.2747207916982947
632.842257,0.3002019092128603
632.97546,0.2570717628977599
633.108662,0.2503237997916961
633.241865,0.2778705281096285
633.375068,0.2733779524618987
633.50827,0.26056576313350355
633.641473,0.20090964487020435
633.774675,0.23584039384868685
633.907878,0.27201447423573305
634.041081,0.245735383213615
634.174283,0.2418832759426189
634.307486,0.2188650388699988
634.440689,0.22393487634502476
634.573891,0.23718852261053902
634.707094,0.2026854518358515
634.840297,0.17615341279748994
634.973499,0.18815296563288927
635.106702,0.1888126547952059
635.239905,0.19239590976387996
635.373107,0.18057663873372756
635.50631,0.14054887302255803
635.639513,0.10441311383246232
635.772715,0.043110012511519386
635.905918,0.038227504858026215
636.039121,0.09116356211055382
636.172323,0.12228510920474361
636.305526,0.1297299885058208
636.438729,0.11765484302177918
636.571931,0.13208627122410022
636.705134,0.14078800931495292
636.838337,0.11297372606547221
636.971539,0.07012331106948068
637.104742,0.04536111675710834
637.237945,0.03862714543747557
637.371147,0.043972097233874935
637.50435,0.10007854012602176
637.637553,0.11286080880744553
637.770755,0.10782993164530755
637.903958,0.13109932984636935
638.037161,0.11340384292898785
638.170363,0.09687827358833226
638.303566,0.06229338740461702
638.436769,0.04317040879657033
638.569971,0.017306034902734285
638.703174,0.004104382392064166
638.836377,0.026838979210435154
638.969579,0.12742848164975124
639.102782,0.1541236618151314
639.235985,0.1349838685372702
639.369187,0.15471044591371955
639.50239,0.16564638062617323
639.635593,0.15815179172794971
639.768795,0.15711142688305504
639.901998,0.1447278784666201
640.035201,0.12546856874810033
640.168403,0.12174823670988545
640.301606,0.1418904497158057
640.434809,0.13598645415610752
640.568011,0.12501769396216653
640.701214,0.13161161554055192
640.834417,0.12569461555293862
640.967619,0.1135967934234185
641.100822,0.10148949331461275
641.234025,0.11883729385240965
641.367227,0.11112495389958868
641.50043,0.08349237238337248
641.633633,0.02843598097390248
641.766835,0.017629176390989276
641.900038,0.03186968609966655
642.033241,0.05480904740631867
642.166443,0.0819455726718758
642.299646,0.10640528843215864
642.432849,0.1127254570641648
642.566051,0.10944862695981428
642.699254,0.1291346009998241
642.832457,0.13447190318705882
642.965659,0.142359461643921
643.098862,0.18209987111851106
643.232065,0.20548135070319254
643.365267,0.24994859556552895
643.49847,0.2729136047500989
643.631673,0.27915167692210985
643.764875,0.23284087468340467
643.898078,0.22297402369046182
644.031281,0.24055656971147374
644.164483,0.16491913765923027
644.297686,0.14028208369393647
644.430889,0.17410442780371588
644.564091,0.18295775496057637
644.697294,0.18511093221825897
644.830497,0.1965575529944283
644.963699,0.19968782637157012
645.096902,0.1781730517728984
645.230105,0.15876978802515815
645.363307,0.1577726825407996
645.49651,0.17238929786993218
645.629713,0.2324453814609299
645.762915,0.2532191397852745
645.896118,0.2697121499448597
646.029321,0.28999256333582235
646.162523,0.3285717657253846
646.295726,0.34085435649077434
646.428929,0.3395955256449391
646.562131,0.33618287373838907
646.695334,0.3495180756666495
646.828537,0.3797925866057335
646.961739,0.40703748379657484
647.094942,0.3716881807519756
647.228145,0.36817018075698316
647.361347,0.40427901831866186
647.49455,0.4109844087994379
647.627753,0.3970670979926573
647.760955,0.36193161277110475
647.894158,0.3972378735589095
648.027361,0.41454240734580555
648.160563,0.3942855050486931
648.293766,0.30755541395110414
648.426969,0.20827415797111257
648.560171,0.14700333579174799
648.693374,0.11539433687335945
648.826577,0.19809669676503922
648.959779,0.3128598350754292
649.092982,0.3541268842444524
649.226185,0.40330587898841436
649.359387,0.4827096233555103
649.49259,0.4742645455497622
649.625793,0.45267538489859427
649.758995,0.46552010177838166
649.892198,0.44618125864772856
650.025401,0.46361537671567044
650.158603,0.48090285208137573
650.291806,0.4589472496663951
650.425009,0.4877072259465223
650.558211,0.44264818023642677
650.691414,0.41105428208799505
650.824616,0.4513600143209538
650.957819,0.43789330244725716
651.091022,0.4869713437662129
651.224224,0.4717292881452011
651.357427,0.48798041847982226
651.49063,0.46830288604468684
651.623832,0.4294370989875171
651.757035,0.45141418077259443
651.890238,0.40737139141670237
652.02344,0.2856465704528902
652.156643,0.08840736485230309
652.289846,0.13742183448393525
652.423048,0.3478444089170874
652.556251,0.42518963907133456
652.689454,0.39632923961141003
652.822656,0.3608113620572547
652.955859,0.3802257970374935
653.089062,0.4675542005351425
653.222264,0.4628741852242394
653.355467,0.470913901989099
653.48867,0.4817451688847548
653.621872,0.4734447771900493
653.755075,0.5248672004037883
653.888278,0.5152515762611718
654.02148,0.4731276754302838
654.154683,0.5083678394638743
654.287886,0.5348387389748136
654.421088,0.5258180703141927
654.554291,0.5128458327151287
654.687494,0.45952588766636093
654.820696,0.4697146012972798
654.953899,0.5423520226958789
655.087102,0.4935159995829472
655.220304,0.4585664814898246
655.353507,0.4607590687698856
655.48671,0.37483100796858315
655.619912,0.23454683223780062
655.753115,0.14308734943447482
655.886318,0.12271385695784823
656.01952,0.3102738451482212
656.152723,0.40590749100934753
656.285926,0.42352192299834274
656.419128,0.4200422405599662
656.552331,0.43311153393640806
656.685534,0.42439952137990583
656.818736,0.44543230343173607
656.951939,0.4640003372148517
657.085142,0.46070838805981107
657.218344,0.44037880587843964
657.351547,0.43430422985998124
657.48475,0.47636543438510237
657.617952,0.56027362416826
657.751155,0.5901904485598287
657.884358,0.5440848880991128
658.01756,0.5388866645686032
658.150763,0.49664986407723005
658.283966,0.54528864536365
658.417168,0.6060335084315513
658.550371,0.6250897747255685
658.683574,0.5764192606452363
658.816776,0.4925398046556738
658.949979,0.42056341600025354
659.083182,0.41883007091356694
659.216384,0.37876095442596597
659.349587,0.29879427078110127
659.48279,0.22086580038169135
659.615992,0.3131728513925785
659.749195,0.4074487993345909
659.882398,0.4714793378651592
660.0156,0.504135599737114
660.148803,0.5081543698030663
660.282006,0.4747627848524476
660.415208,0.39159779464258604
660.548411,0.4060292815243142
660.681614,0.4348909365081737
660.814816,0.49201306891856655
660.948019,0.4908483786483621
661.081222,0.45462153380445325
661.214424,0.39800926303947654
661.347627,0.4038062884681183
661.48083,0.428377698251535
661.614032,0.4134122499405221
661.747235,0.3528190357844357
661.880438,0.3251072991205958
662.01364,0.3461787565180944
662.146843,0.343317364044518
662.280046,0.3616060208579491
662.413248,0.3973213022720652
662.546451,0.42819781739589324
662.679654,0.36685081947856507
662.812856,0.36545943167567496
662.946059,0.33942577032448334
663.079262,0.2865907611932534
663.212464,0.36312795998045994
663.345667,0.48353576295950007
663.47887,0.5055946589453929
663.612072,0.5394959506813863
663.745275,0.49912934919392543
663.878478,0.5400033152990382
664.01168,0.5668163077312638
664.144883,0.5139136622048575
664.278086,0.5442916796444958
664.411288,0.5852536125318055
664.544491,0.5927040956827828
664.677694,0.5999733748503607
664.810896,0.5637975758355496
664.944099,0.4961385780747238
665.077302,0.5300149846028884
665.210504,0.5803870908705725
665.343707,0.5660855861110683
665.47691,0.5647963812267867
665.610112,0.4984858874555186
