nu,[0]Furan-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
626.042521,0.8249355639506486
626.161523,0.8395913446381534
626.280526,0.8451256199596682
626.399528,0.8333262973579987
626.51853,0.8287804467475262
626.637533,0.8387773358919214
626.756535,0.8518796653329102
626.875538,0.8493363492858464
626.99454,0.8375619900935206
627.113542,0.8399104499752901
627.232545,0.8505942977350245
627.351547,0.8590398215841778
627.470549,0.8534400324208955
627.589552,0.8460811516839702
627.708554,0.8510792746900349
627.827557,0.8633803111306748
627.946559,0.8664854167773611
628.065561,0.857297739557864
628.184564,0.8560555586343152
628.303566,0.8621810461804352
628.422568,0.8724412172103668
628.541571,0.8714210578958044
628.660573,0.8647974165497522
628.779576,0.8663641173101732
628.898578,0.8743102405568962
629.01758,0.8808657925567958
629.136583,0.8775862832377285
629.255585,0.8738207638884432
629.374587,0.8770423483793512
629.49359,0.8834681832838857
629.612592,0.8866987343219324
629.731595,0.88314136052201
629.850597,0.8831943505933276
629.969599,0.8877367789787983
630.088602,0.8933650419992403
630.207604,0.8932578446261714
630.326607,0.8912057124401933
630.445609,0.892213344099918
630.564611,0.8959058048940977
630.683614,0.9001894840360222
630.802616,0.8985077026565497
630.921618,0.899424648075924
631.040621,0.903183079742177
631.159623,0.9065319535887845
631.278626,0.9067821909391408
631.397628,0.905873144364695
631.51663,0.9078092495848026
631.635633,0.9105832051226553
631.754635,0.9132688252964102
631.873637,0.9131975931061286
631.99264,0.9129711481833693
632.111642,0.9168072730231082
632.230645,0.91920234621282
632.349647,0.9207083127508783
632.468649,0.9195268819182152
632.587652,0.9210619326336469
632.706654,0.924191479419864
632.825657,0.9255852859487858
632.944659,0.9264270254863736
633.063661,0.9259602239094071
633.182664,0.9280172110294281
633.301666,0.9315308228580151
633.420668,0.9327761797505216
633.539671,0.9319146926287755
633.658673,0.9332930809225076
633.777676,0.9360709538334593
633.896678,0.9372239667114521
634.01568,0.9378765016480998
634.134683,0.937974983850998
634.253685,0.9405720735031791
634.372687,0.9413031820031607
634.49169,0.9426907432782444
634.610692,0.9428566714503123
634.729695,0.9445052816970887
634.848697,0.9463034402495746
634.967699,0.9470418448733354
635.086702,0.9479836724779124
635.205704,0.9489131518474424
635.324706,0.950191248916194
635.443709,0.9519021814954106
635.562711,0.9520782996894178
635.681714,0.9521240005446147
635.800716,0.9538641672583025
635.919718,0.9556017807913885
636.038721,0.9560338104276485
636.157723,0.9575177693803052
636.276726,0.9573942575547391
636.395728,0.9593378232185211
636.51473,0.9597561857058392
636.633733,0.9605425479933339
636.752735,0.9609143498984356
636.871737,0.9618872874438952
636.99074,0.9630460972014658
637.109742,0.9635248500720086
637.228745,0.9645091113237984
637.347747,0.9650242967315068
637.466749,0.9667406694523077
637.585752,0.9669069631483015
637.704754,0.9676120953138829
637.823756,0.9686363706568367
637.942759,0.968573411338944
638.061761,0.9695705863377612
638.180764,0.9702281780937131
638.299766,0.9715242976787932
638.418768,0.9713134997785963
638.537771,0.9722989111865226
638.656773,0.972727789567088
638.775776,0.973471237559288
638.894778,0.9735461977305095
639.01378,0.9739123199275159
639.132783,0.9747960591168285
639.251785,0.9745387469239256
639.370787,0.9751294963835692
639.48979,0.9746118400709037
639.608792,0.9737078198135947
639.727795,0.9743867307369763
639.846797,0.9749569137367241
639.965799,0.9772351208068147
640.084802,0.9792698852795442
640.203804,0.9798439056038467
640.322806,0.9810125759284631
640.441809,0.9816867631249117
640.560811,0.98190373987461
640.679814,0.9817996635943236
640.798816,0.9832026750256817
640.917818,0.9829785303692378
641.036821,0.9836668562264396
641.155823,0.9836461994393558
641.274825,0.9835675108909846
641.393828,0.9848430407499146
641.51283,0.9851730184367423
641.631833,0.9850784463665044
641.750835,0.9852833639940431
641.869837,0.9855149327928499
641.98884,0.986062045390252
642.107842,0.9863431131234377
642.226845,0.9870318209474667
642.345847,0.9878642395876858
642.464849,0.9873398229214118
642.583852,0.9882881242632308
642.702854,0.9880104543147676
642.821856,0.9883266682516799
642.940859,0.9891067657009054
643.059861,0.9891285262891163
643.178864,0.9891433633282882
643.297866,0.9896934799565497
643.416868,0.9900369631849881
643.535871,0.9899112364744788
643.654873,0.990541119325002
643.773875,0.990602435718011
643.892878,0.9908274270779646
644.01188,0.9911105469156237
644.130883,0.9910733809669803
644.249885,0.9915980949608343
644.368887,0.9913406103713941
644.48789,0.9915650752940526
644.606892,0.9923588432114913
644.725895,0.9922786638562493
644.844897,0.9919496788000515
644.963899,0.9928718268052061
645.082902,0.9930452966655001
645.201904,0.992460465960032
645.320906,0.9931886034411441
645.439909,0.9928471046045114
645.558911,0.9930331815867829
645.677914,0.9933316328979134
645.796916,0.9939601138918833
645.915918,0.9927016631575329
646.034921,0.9926098425004617
646.153923,0.9922538571997375
646.272925,0.9916779218204667
646.391928,0.9930817420966573
646.51093,0.9936770743581897
646.629933,0.9941616100279127
646.748935,0.9947604744494509
646.867937,0.9947152138775494
646.98694,0.9943140266851683
647.105942,0.9952156814871816
647.224944,0.9954241014716959
647.343947,0.9952933113378625
647.462949,0.9951627374212512
647.581952,0.9954904984735794
647.700954,0.9950423300148182
647.819956,0.9956007053715997
647.938959,0.995704352799784
648.057961,0.9953348159343101
648.176964,0.996020937532016
648.295966,0.996255627710316
648.414968,0.9958717447703905
648.533971,0.9960986301951179
648.652973,0.9960918567474624
648.771975,0.9963516713820578
648.890978,0.9961406664442708
649.00998,0.9964273969866194
649.128983,0.9961750338900982
649.247985,0.9964202227351884
649.366987,0.9961796163057937
649.48599,0.9960778119512983
649.604992,0.9942911577255485
649.723994,0.9947071567169484
649.842997,0.995100143653662
649.961999,0.9962563250894995
650.081002,0.9964067711529798
650.200004,0.9968605384481718
650.319006,0.9969445773337523
650.438009,0.9964186284641074
650.557011,0.9967674360218317
650.676014,0.9975406292199861
650.795016,0.997396295533732
650.914018,0.9968534607634747
651.033021,0.9968840646344871
651.152023,0.997682290047016
651.271025,0.9971412939043117
651.390028,0.9980358315085514
651.50903,0.997701844811537
651.628033,0.9972128912195269
651.747035,0.9975779379371876
651.866037,0.9974276142691133
651.98504,0.9978273635985805
652.104042,0.9975511034515825
652.223044,0.9978455242218591
652.342047,0.9976681230590833
652.461049,0.9976939629980962
652.580052,0.9978306564343136
652.699054,0.9974517523094478
652.818056,0.9975530985557846
652.937059,0.9961817082851844
653.056061,0.994103552685178
653.175064,0.9938722517013814
653.294066,0.9954167353605996
653.413068,0.9960727319674113
653.532071,0.9972422097095085
653.651073,0.9970768806572958
653.770075,0.9978031166882462
653.889078,0.9979277500807139
654.00808,0.9979230598313106
654.127083,0.9980888286182652
654.246085,0.9978593943710431
654.365087,0.9978782540918205
654.48409,0.9984684739847796
654.603092,0.9976158466190896
654.722094,0.9980569900924595
654.841097,0.9979598838716177
654.960099,0.9974478622551993
655.079102,0.9979622789782132
655.198104,0.9984964314934545
655.317106,0.9981445235287757
655.436109,0.9980016992667784
655.555111,0.9978939209033939
655.674113,0.9981646862517938
655.793116,0.9981025025288833
655.912118,0.9981384348657526
656.031121,0.9981340430663012
656.150123,0.9981814555593846
656.269125,0.9982627108369121
656.388128,0.99854326207426
656.50713,0.9982899637809189
656.626133,0.998119869663521
656.745135,0.9981757659413033
656.864137,0.9985727195349866
656.98314,0.9984442114956522
657.102142,0.99853267757178
657.221144,0.9984470071433583
657.340147,0.998470071535616
657.459149,0.9983849056708898
657.578152,0.9983927929427993
657.697154,0.9983661362110966
657.816156,0.9984961319445699
657.935159,0.9985593387501963
658.054161,0.9983808123011679
658.173163,0.9986757775573452
658.292166,0.9985110096477745
658.411168,0.9981991235275091
658.530171,0.9985653301242029
658.649173,0.9984935358580018
658.768175,0.9988468653712936
658.887178,0.9985354734671914
659.00618,0.9984567919719739
659.125183,0.9986411241091047
659.244185,0.9986845659428565
659.363187,0.998806313011778
659.48219,0.998465877970122
659.601192,0.9988077113415951
659.720194,0.9988472649101197
659.839197,0.998882125287975
659.958199,0.9992440758547221
660.077202,0.9988023177945163
660.196204,0.9988267887510703
660.315206,0.9980763525858829
660.434209,0.998291860533652
660.553211,0.9981446233432331
660.672213,0.9987571729500332
660.791216,0.9982324639350165
660.910218,0.9981222651540828
661.029221,0.9981701761726655
661.148223,0.9986390269649461
661.267225,0.9988408723080806
661.386228,0.9984714693946947
661.50523,0.998500725037341
661.624232,0.9984302333745383
661.743235,0.9986557043759524
661.862237,0.9983873017975388
661.98124,0.9986112651858869
662.100242,0.9985684256815244
662.219244,0.998549453061677
662.338247,0.9984577904292651
662.457249,0.9983830087413711
662.576252,0.9984654785838507
662.695254,0.9987320045863977
662.814256,0.9983245052112291
662.933259,0.9986470161091183
663.052261,0.9989054994031829
663.171263,0.999139220683249
663.290266,0.9981375365415655
663.409268,0.9985123077129308
663.528271,0.9986759772925206
663.647273,0.998710931563422
663.766275,0.9986855646279218
663.885278,0.9986504115147453
664.00428,0.9992692371373314
664.123282,0.9989583429017995
664.242285,0.9987136280865776
664.361287,0.9987830410958037
664.48029,0.9990316791255252
664.599292,0.9985980836041851
664.718294,0.9985745169674994
664.837297,0.9992021284688996
664.956299,0.9993237387677708
665.075302,0.9980821414455155
665.194304,0.9984006802770184
665.313306,0.9988444681416934
665.432309,0.998324305546348
665.551311,0.9989178859081717
665.670313,0.998553946544326
665.789316,0.9983159196574022
665.908318,0.9980710627952321
666.027321,0.9978315544823084
666.146323,0.9981168753084035
666.265325,0.9981803575603874
666.384328,0.9978364438689044
666.50333,0.9983611443928951
666.622332,0.9979328395252174
666.741335,0.9978040147114553
666.860337,0.9969991116936335
666.97934,0.9954253955238689
667.098342,0.9941622065250577
667.217344,0.9952700217468664
667.336347,0.996774513095751
