nu,[0]HFE-263fb1-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
747.321404,1.0
747.562458,1.0
747.803512,0.9981456214883554
748.044566,1.0
748.28562,0.9968689121118641
748.526674,1.0
748.767728,0.9950744704011422
749.008782,1.0
749.249836,1.0
749.49089,1.0
749.731944,1.0
749.972998,1.0
750.214052,0.999374175909637
750.455106,1.0
750.69616,0.9994112233970088
750.937214,0.9984991274374589
751.178268,0.9981889419483753
751.419322,0.9994451439895602
751.660376,1.0
751.90143,1.0
752.142484,0.9986908576754409
752.383538,1.0
752.624592,1.0
752.865646,1.0
753.1067,0.9925340100053329
753.347754,1.0
753.588808,0.9997278770321731
753.829862,1.0
754.070916,0.999947818361509
754.31197,1.0
754.553024,0.9960177502701155
754.794078,0.9988212952188394
755.035132,1.0
755.276186,0.999427234093053
755.51724,1.0
755.758294,0.9948587616396338
755.999348,1.0
756.240402,1.0
756.481456,1.0
756.72251,1.0
756.963564,0.9981973267707038
757.204618,1.0
757.445672,0.9992469237043965
757.686726,0.9995404156412601
757.92778,0.9989922081636369
758.168834,1.0
758.409888,1.0
758.650942,1.0
758.891996,0.9968639277797644
759.13305,0.9999387508758042
759.374104,1.0
759.615158,1.0
759.856212,1.0
760.097266,0.9991483428659765
760.33832,1.0
760.579374,0.9953128192779419
760.820428,1.0
761.061482,0.9990283323750059
761.302536,0.9989610400929666
761.54359,0.9991565159328489
761.784644,0.9993839898122305
762.025698,0.996303150237161
762.266752,0.9996842198690442
762.507806,0.9968391061769929
762.74886,1.0
762.989914,0.9959284114848207
763.230968,1.0
763.472022,1.0
763.713076,1.0
763.95413,0.9953094352201092
764.195184,0.997697754242359
764.436238,1.0
764.677292,1.0
764.918346,0.9995606665352218
765.1594,1.0
765.400454,0.9993712777287291
765.641508,0.9961640760249938
765.882562,0.9981915372429981
766.123616,0.9998775774942467
766.36467,0.9984962317941881
766.605724,0.9992466738926968
766.846778,0.9989531483319224
767.087832,0.9977870521873871
767.328886,1.0
767.56994,1.0
767.810994,1.0
768.052048,0.9979073925622597
768.293102,0.9986823688392282
768.534156,1.0
768.77521,1.0
769.016264,1.0
769.257318,0.9972023208189033
769.498372,0.9996779818589749
769.739426,0.9982204852173218
769.98048,0.993655809896329
770.221534,0.9991645791584676
770.462588,0.9992214232482908
770.703642,0.9966200250193564
770.944696,0.9965327249289646
771.18575,0.996654110007062
771.426804,1.0
771.667858,0.9991539880700614
771.908912,0.9990374035934471
772.149966,0.998991309071054
772.39102,0.9989323703225291
772.632074,0.9976761044359932
772.873128,1.0
773.114182,1.0
773.355236,0.9993721072072339
773.59629,1.0
773.837344,0.9987602691020684
774.078398,1.0
774.319452,0.9946290752698831
774.560506,1.0
774.80156,1.0
775.042614,1.0
775.283668,0.9996721537533296
775.524722,1.0
775.765776,0.9997054133991561
776.00683,1.0
776.247884,1.0
776.488938,0.9995044728141694
776.729992,1.0
776.971046,1.0
777.2121,1.0
777.453154,0.9962408832361352
777.694208,0.9993269665886599
777.935262,0.9953384986799421
778.176316,0.996842993857088
778.41737,1.0
778.658424,0.9993743358095178
778.899478,0.9946723425757144
779.140532,1.0
779.381586,1.0
779.62264,1.0
779.863694,0.9998440521611286
780.104748,1.0
780.345802,1.0
780.586856,0.9900231027645268
780.82791,1.0
781.068964,1.0
781.310018,0.9998514810300343
781.551072,0.9978934219565583
781.792126,0.998114978888142
782.03318,0.9958424665714859
782.274234,0.9985313794801429
782.515288,1.0
782.756342,0.9903565987031014
782.997396,1.0
783.23845,1.0
783.479504,0.9968201664139039
783.720558,0.9994099341573622
783.961612,0.9977260892609348
784.202666,0.9985008248874184
784.44372,1.0
784.684774,0.997865481331914
