nu,[0]Ethylvinylether-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
614.713094,0.9895193092315507
614.831697,0.989977562749228
614.950299,0.9896568619752281
615.068901,0.9895232673167038
615.187504,0.9901096345650929
615.306106,0.9900349831130418
615.424708,0.9903872011948074
615.543311,0.990220037944221
615.661913,0.9903075772647562
615.780516,0.9906593969956858
615.899118,0.9908171225263067
616.01772,0.9907394455088795
616.136323,0.990766195835036
616.254925,0.9908185096712492
616.373527,0.9911497956704018
616.49213,0.9911999491189343
616.610732,0.991495370719404
616.729335,0.9914449048894006
616.847937,0.9911942992953263
616.966539,0.9915789573022806
617.085142,0.9916443045087336
617.203744,0.9918539602745404
617.322346,0.9918533651623428
617.440949,0.9921574148119936
617.559551,0.9922675503974496
617.678154,0.9921942245348992
617.796756,0.9921142569031406
617.915358,0.9924343645930117
618.033961,0.992178746425726
618.152563,0.9923206381314801
618.271165,0.99270851282264
618.389768,0.9926281066895938
618.50837,0.9929579125243522
618.626973,0.9928894007920699
618.745575,0.9928118591579083
618.864177,0.9929593026664028
618.98278,0.9931213668486755
619.101382,0.9929543378823015
619.219984,0.9931076618683776
619.338587,0.9933076938940267
619.457189,0.9932452168050059
619.575792,0.9928302263471986
619.694394,0.9936958550323719
619.812996,0.9935720482421581
619.931599,0.9934321631459074
620.050201,0.993541943465186
620.168803,0.9938246463606819
620.287406,0.9939196605384792
620.406008,0.9937130461193664
620.52461,0.9937538885648685
620.643213,0.993919461754567
620.761815,0.9940300911470719
620.880418,0.9940834719962294
620.99902,0.9942655053445963
621.117622,0.9939077335741148
621.236225,0.9941201543531314
621.354827,0.9939493791806209
621.473429,0.9943496237645075
621.592032,0.9942793257311722
621.710634,0.994401927930305
621.829237,0.994399640808501
621.947839,0.9945335954617612
622.066441,0.9944648755646146
622.185044,0.994395663217893
622.303646,0.9943244670372603
622.422248,0.9948277225304832
622.540851,0.9950000416144275
622.659453,0.9948321992653073
622.778056,0.995167116146929
