nu,[0]HFC-365mfc-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
730.410214,1.0
730.651268,1.0
730.892322,1.0
731.133376,1.0
731.37443,1.0
731.615484,1.0
731.856538,1.0
732.097592,1.0
732.338646,1.0
732.5797,1.0
732.820754,1.0
733.061808,1.0
733.302862,1.0
733.543916,1.0
733.78497,1.0
734.026024,1.0
734.267078,1.0
734.508132,1.0
734.749186,1.0
734.99024,1.0
735.231294,1.0
735.472348,1.0
735.713402,1.0
735.954456,1.0
736.19551,1.0
736.436564,1.0
736.677618,1.0
736.918672,1.0
737.159726,1.0
737.40078,1.0
737.641834,1.0
737.882888,1.0
738.123942,1.0
738.364996,1.0
738.60605,1.0
738.847104,1.0
739.088158,1.0
739.329212,1.0
739.570266,1.0
739.81132,1.0
740.052374,1.0
740.293428,1.0
740.534482,1.0
740.775536,1.0
741.01659,1.0
741.257644,1.0
741.498698,1.0
741.739752,1.0
741.980806,1.0
742.22186,1.0
742.462914,1.0
742.703968,1.0
742.945022,1.0
743.186076,1.0
743.42713,1.0
743.668184,1.0
743.909238,1.0
744.150292,1.0
744.391346,1.0
744.6324,1.0
744.873454,1.0
745.114508,1.0
745.355562,1.0
745.596616,1.0
745.83767,1.0
746.078724,1.0
746.319778,1.0
746.560832,1.0
746.801886,1.0
747.04294,1.0
747.283994,1.0
747.525048,1.0
747.766102,1.0
748.007156,1.0
748.24821,1.0
748.489264,1.0
748.730318,1.0
748.971372,1.0
749.212426,1.0
749.45348,1.0
749.694534,1.0
749.935588,1.0
750.176642,1.0
750.417696,1.0
750.65875,1.0
750.899804,1.0
751.140858,1.0
751.381912,1.0
751.622966,1.0
751.86402,1.0
752.105074,1.0
752.346128,1.0
752.587182,1.0
752.828236,1.0
753.06929,1.0
753.310344,1.0
753.551398,1.0
753.792452,1.0
754.033506,1.0
754.27456,1.0
754.515614,1.0
754.756668,1.0
754.997722,1.0
755.238776,1.0
755.47983,1.0
755.720884,1.0
755.961938,1.0
756.202992,1.0
756.444046,1.0
756.6851,1.0
756.926154,1.0
757.167208,1.0
757.408262,1.0
757.649316,1.0
757.89037,1.0
758.131424,1.0
758.372478,1.0
758.613532,1.0
758.854586,1.0
759.09564,1.0
759.336694,1.0
759.577748,1.0
759.818802,1.0
760.059856,1.0
760.30091,1.0
760.541964,1.0
760.783018,1.0
761.024072,1.0
761.265126,1.0
761.50618,1.0
761.747234,1.0
761.988288,1.0
762.229342,1.0
762.470396,1.0
762.71145,1.0
762.952504,1.0
763.193558,1.0
763.434612,1.0
763.675666,1.0
763.91672,1.0
764.157774,1.0
764.398828,1.0
764.639882,1.0
764.880936,1.0
765.12199,1.0
765.363044,1.0
765.604098,1.0
765.845152,1.0
766.086206,1.0
766.32726,1.0
766.568314,1.0
766.809368,1.0
767.050422,1.0
767.291476,1.0
767.53253,1.0
767.773584,1.0
768.014638,1.0
768.255692,1.0
768.496746,1.0
768.7378,1.0
768.978854,1.0
769.219908,1.0
769.460962,1.0
769.702016,1.0
769.94307,1.0
770.184124,1.0
770.425178,1.0
770.666232,1.0
770.907286,1.0
771.14834,1.0
771.389394,1.0
771.630448,1.0
771.871502,1.0
772.112556,1.0
772.35361,1.0
772.594664,1.0
772.835718,1.0
773.076772,1.0
773.317826,1.0
773.55888,1.0
773.799934,1.0
774.040988,1.0
774.282042,1.0
774.523096,1.0
774.76415,1.0
775.005204,1.0
775.246258,1.0
775.487312,1.0
775.728366,1.0
775.96942,1.0
776.210474,1.0
776.451528,1.0
776.692582,1.0
776.933636,1.0
777.17469,1.0
777.415744,1.0
777.656798,1.0
777.897852,1.0
778.138906,1.0
778.37996,1.0
778.621014,1.0
778.862068,1.0
779.103122,1.0
779.344176,1.0
779.58523,1.0
779.826284,1.0
780.067338,1.0
780.308392,1.0
780.549446,1.0
780.7905,1.0
781.031554,1.0
781.272608,1.0
781.513662,1.0
781.754716,1.0
781.99577,1.0
782.236824,1.0
782.477878,1.0
782.718932,1.0
782.959986,1.0
783.20104,1.0
783.442094,1.0
783.683148,1.0
783.924202,1.0
784.165256,1.0
784.40631,1.0
784.647364,1.0
784.888418,1.0
785.129472,1.0
785.370526,1.0
785.61158,1.0
785.852634,1.0
786.093688,1.0
786.334742,1.0
786.575796,1.0
786.81685,1.0
787.057904,1.0
787.298958,1.0
