nu,[0]Isobutene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
764.639882,0.9996152540337193
764.880936,0.999686139264589
765.12199,0.9997019144363324
765.363044,0.9996260699292818
765.604098,0.9995934926465125
765.845152,0.9995984406465475
766.086206,0.9995788287175357
766.32726,0.9995085108203964
766.568314,0.9995279614452709
766.809368,0.9995645548337774
767.050422,0.9995752002529731
767.291476,0.9995564783848032
767.53253,0.9995834367865576
767.773584,0.9995503511223708
768.014638,0.9994329708218411
768.255692,0.999460885374541
768.496746,0.9994824539731718
768.7378,0.9995201051863691
768.978854,0.9994835134251345
769.219908,0.9995604266406906
769.460962,0.999484223058681
769.702016,0.9994368886067656
769.94307,0.9994444044004273
770.184124,0.9994834934354645
770.425178,0.9992930400140511
770.666232,0.9994772266936068
770.907286,0.9993811515657298
771.14834,0.9993022135662649
771.389394,0.9993943834597715
771.630448,0.9992420174140461
771.871502,0.9991941248919048
772.112556,0.9992102420231237
772.35361,0.999140719393204
772.594664,0.9990532184807205
772.835718,0.9989971032374497
773.076772,0.9988227934519059
773.317826,0.9988490628368146
773.55888,0.9986502117846829
773.799934,0.9987085346600626
774.040988,0.9985441607636003
774.282042,0.9986870626573923
774.523096,0.9988276876955847
774.76415,0.998855055949171
775.005204,0.999041829338948
775.246258,0.998900904448454
775.487312,0.9988338804464459
775.728366,0.9990642880517066
775.96942,0.9988770310021265
776.210474,0.998998302034693
776.451528,0.9989501514769726
776.692582,0.9989160878575952
776.933636,0.9988759322379968
777.17469,0.9988447677950788
777.415744,0.9988449675640523
777.656798,0.998845466986661
777.897852,0.9987352005339258
778.138906,0.9986756776897724
778.37996,0.998767659955406
778.621014,0.9986657908495031
778.862068,0.9986411241091047
779.103122,0.9986823688392282
779.344176,0.9986472158385415
779.58523,0.9985545456768737
779.826284,0.998570123249291
780.067338,0.9985702231063083
780.308392,0.9984325297667159
780.549446,0.99837352414784
780.7905,0.9985106102434506
781.031554,0.9983594471803923
