nu,[0]Methylmethacrylate-PNNL(x-sec)-X=0.01-T=278.2K-P=1.0atm-L=15cm
580.107602,0.9558110804988632
580.226605,0.9466233448732148
580.345607,0.9502739191509527
580.464609,0.9486455960657597
580.583612,0.9472056972853234
580.702614,0.9464368784418212
580.821616,0.9515015150232112
580.940619,0.9506940330615521
581.059621,0.9472047500800997
581.178624,0.9496213051670673
581.297626,0.9500154797942896
581.416628,0.947598869227232
581.535631,0.9457490688802637
581.654633,0.9478196854878573
581.773635,0.9448453648097871
581.892638,0.9449833223037013
582.01164,0.9437924493374842
582.130643,0.9470967748932932
582.249645,0.9408364113935677
582.368647,0.938413120465393
582.48765,0.9392552546751779
582.606652,0.9429575625117329
582.725655,0.9410867071668604
582.844657,0.9397541316555267
582.963659,0.9357817525926175
583.082662,0.9406369752153341
583.201664,0.9360082391805168
583.320666,0.936949400315147
583.439669,0.9347043527151121
583.558671,0.9368772579888379
583.677674,0.9355085442112254
583.796676,0.9305504371652012
583.915678,0.9378961972614376
584.034681,0.9356601088717937
584.153683,0.9345678958412099
584.272685,0.9292104796564976
584.391688,0.9334041494075811
584.51069,0.9280728937325543
584.629693,0.925513093112039
584.748695,0.9278854419412886
584.867697,0.9247933239521064
584.9867,0.9311675966708108
585.105702,0.9264186876806644
585.224704,0.9256621127157862
585.343707,0.9237784581456953
585.462709,0.9248525126188565
585.581712,0.9232917551557546
585.700714,0.9266734878531945
585.819716,0.925497359523192
585.938719,0.9242949946623045
586.057721,0.9250134509572816
586.176724,0.9207165991629819
586.295726,0.923039730909472
586.414728,0.9177208679617935
586.533731,0.9211190402437878
586.652733,0.9233056046359528
586.771735,0.924408689938764
586.890738,0.9230434230757799
587.00974,0.9232169715523638
587.128743,0.9210729854431552
587.247745,0.9196133215077126
587.366747,0.9192869167188553
587.48575,0.9234302593065796
587.604752,0.9224971430841509
587.723754,0.9197945031778582
587.842757,0.9204892102466758
587.961759,0.9208298542697252
588.080762,0.9193540271132753
588.199764,0.9209173372612571
588.318766,0.9210904859961333
588.437769,0.919404592975315
588.556771,0.9156830403568966
588.675774,0.9179613423299662
588.794776,0.9183331919680788
588.913778,0.9162078770903853
589.032781,0.9160896938972205
589.151783,0.9210803540565131
589.270785,0.9180917020959014
589.389788,0.9150001955415743
589.50879,0.9129145457268762
589.627793,0.9142712309167177
589.746795,0.9141980921438343
589.865797,0.9122556593114796
589.9848,0.9136744066872476
590.103802,0.9105203770490954
590.222804,0.9104721207479151
590.341807,0.9076050154808444
590.460809,0.9058586505103363
590.579812,0.9095966677281733
590.698814,0.9085703125768106
590.817816,0.9067803773765726
590.936819,0.9076966882168032
591.055821,0.9083749909574331
591.174823,0.9072601910957442
591.293826,0.905482797165338
591.412828,0.9059021327691267
591.531831,0.9048537052560688
591.650833,0.9039511117273096
591.769835,0.9051704594816643
591.888838,0.9055199227210904
592.00784,0.9032192077879228
592.126843,0.9027496558939461
592.245845,0.9024427731839592
592.364847,0.9045479163849226
592.48385,0.9037341894922045
592.602852,0.9033547008308151
592.721854,0.9047017026021662
592.840857,0.9012883854000777
592.959859,0.8995325855098096
593.078862,0.8984537938116718
593.197864,0.9004595813938109
593.316866,0.9014055605063966
593.435869,0.9010630914666429
593.554871,0.8998024857684772
593.673873,0.8987683076762215
593.792876,0.9001084706281169
593.911878,0.8961387706876109
594.030881,0.8975019373632745
594.149883,0.8997215071888488
594.268885,0.9020006845456608
594.387888,0.8975109124275235
594.50689,0.8992627662090755
594.625893,0.8973493750020909
594.744895,0.8969725673997256
594.863897,0.895646029879876
594.9829,0.8994696204326273
595.101902,0.8987683076762215
595.220904,0.894571899251293
595.339907,0.8960939648692313
595.458909,0.8961118869277487
595.577912,0.8961566936422536
595.696914,0.8943125110136224
595.815916,0.8983370024100819
595.934919,0.8972865627442954
596.053921,0.8972327271656143
596.172923,0.895610204755188
596.291926,0.8959953999542654
596.410928,0.894920850333039
596.529931,0.8939012218623134
596.648933,0.8975737403903464
596.767935,0.9000184642814465
596.886938,0.8986604619501734
597.00594,0.8980046792027747
597.124942,0.8983909042472654
597.243945,0.8993976657412188
597.362947,0.9010180394383795
597.48195,0.9005856545601217
597.600952,0.9005766487486053
597.719954,0.9004505768430198
597.838957,0.8996675255178838
597.957959,0.9010540808807812
598.076962,0.9020367652946528
598.195964,0.9028760496931307
598.314966,0.9047469388181922
598.433969,0.9051713646525764
598.552971,0.9044303327988913
598.671973,0.9040595923694252
598.790976,0.9021540376966821
598.909978,0.9059891035484032
599.028981,0.9064095800354507
599.147983,0.9082423778897428
599.266985,0.9057055733337859
599.385988,0.9060371222433754
599.50499,0.9050718012785506
599.623992,0.9045207803544736
599.742995,0.9039330328858641
599.861997,0.9077538749095226
599.981,0.9054438622421667
600.100002,0.9046745619581998
600.219004,0.9049333358858276
600.338007,0.9039691909303356
600.457009,0.9020187247397531
600.576012,0.9003065162758775
600.695014,0.9009009147065251
600.814016,0.9034721445756012
600.933019,0.9056258747501216
601.052021,0.9073400335055751
601.171023,0.9071649337767759
601.290026,0.9078700748421481
601.409028,0.9087093344695385
601.528031,0.912459115007973
601.647033,0.9170924444268731
601.766035,0.9171575603020137
601.885038,0.9182376902822879
