nu,[0]Trifluoromethylsulfurpentafluoride-PNNL(x-sec)-X=0.01-T=278.15K-P=1.0atm-L=15cm
584.226485,0.7728270454468226
584.346087,0.771151829025389
584.465689,0.7685574213938012
584.585292,0.7657649577470164
584.704894,0.7668684536125112
584.824496,0.7654051327823658
584.944099,0.7673594065109929
585.063701,0.7623724981680158
585.183304,0.7604385292030207
585.302906,0.7564037382876798
585.422508,0.7580696583520624
585.542111,0.7543792902411507
585.661713,0.753655433629285
585.781316,0.7549981349508034
585.900918,0.7499565555971617
586.02052,0.7502866090880675
586.140123,0.7494467584900163
586.259725,0.7465146778294561
586.379328,0.7441817398404325
586.49893,0.7451274510495361
586.618532,0.74053676323816
586.738135,0.7414481838657214
586.857737,0.7385990963704826
586.97734,0.7391310792107101
587.096942,0.7378977604162552
587.216544,0.7343496510239397
587.336147,0.7367696400749475
587.455749,0.7344377782695916
587.575352,0.7331536361097334
587.694954,0.7325526965470168
587.814556,0.7322670566987544
587.934159,0.7287241599432106
588.053761,0.7295261975589646
588.173363,0.7247344261453073
588.292966,0.7268537433669499
588.412568,0.7256118855568296
588.532171,0.724524283633862
588.651773,0.7206872560118662
588.771375,0.7204494684544872
588.890978,0.719448739361181
589.01058,0.7158891087954667
589.130183,0.7163474244704681
589.249785,0.7165336990154719
589.369387,0.7139588152706308
589.48899,0.7139659548944816
589.608592,0.7130098812273404
589.728195,0.7130312718446349
589.847797,0.7104618695148727
589.967399,0.7087588055222988
590.087002,0.7101351322102374
590.206604,0.7094040695859444
590.326207,0.7080645621277128
590.445809,0.7083478446052823
590.565411,0.7061906750350864
590.685014,0.7074771123665222
590.804616,0.7038429711835863
590.924218,0.7029848063457345
591.043821,0.7059576705601777
591.163423,0.7051744922902085
591.283026,0.7028723377744448
591.402628,0.7029566875158609
591.52223,0.7033574870447591
591.641833,0.7006477602819049
591.761435,0.7021838602924931
591.881038,0.7023172879011701
592.00064,0.703821856211177
592.120242,0.6997864933245211
592.239845,0.701853911422214
592.359447,0.7003115300586787
592.47905,0.7011453968317753
592.598652,0.6997165181740045
592.718254,0.7027669148306971
592.837857,0.7025209894499584
592.957459,0.7030129263003836
593.077062,0.7037514775445478
593.196664,0.7071163910309746
593.316266,0.7095175833179346
593.435869,0.7072012500893399
593.555471,0.710099626341281
593.675074,0.7097233732551954
593.794676,0.717379707827344
593.914278,0.7144587614020518
594.033881,0.716469213884435
594.153483,0.7172362462324162
594.273085,0.7201541447179238
594.392688,0.7213505933757972
594.51229,0.7190243898003881
594.631893,0.7198301482574718
594.751495,0.7232864057960393
594.871097,0.7292344454342561
594.9907,0.7252636754288787
595.110302,0.73401192786675
595.229905,0.7298253646250216
595.349507,0.7341881118706728
595.469109,0.7387098945445935
595.588712,0.7372044624225708
595.708314,0.740610820617291
595.827917,0.7438543719011309
595.947519,0.7439585188033101
596.067121,0.7451050975613087
596.186724,0.7487950233560214
596.306326,0.7501440681741565
596.425929,0.7544094660162718
596.545531,0.7539494165713478
596.665133,0.7569334062666456
596.784736,0.7568652853255701
596.904338,0.756396174288117
597.02394,0.7609710225243818
597.143543,0.7614505853149897
597.263145,0.7633336929412485
597.382748,0.7635321855043283
597.50235,0.7649154302189206
597.621952,0.7659640825211296
597.741555,0.7687649599140169
597.861157,0.7677278274400674
597.98076,0.7674284719654777
598.100362,0.764930728680509
598.219964,0.7696803347563239
598.339567,0.7676126769024577
598.459169,0.7681501938852847
598.578772,0.7666230949668322
598.698374,0.7661326131569743
598.817976,0.7666690937324794
598.937579,0.7658568550556744
599.057181,0.7626698814282677
599.176784,0.7611612890623392
599.296386,0.7606058440834074
599.415988,0.75701667352095
599.535591,0.7560105105918319
599.655193,0.7497915833025481
599.774795,0.747097186426983
599.894398,0.7430365819589683
600.014,0.7387025074825834
600.133603,0.7342248221940167
600.253205,0.7300589461127464
600.372807,0.7231996166347976
600.49241,0.7152951673549616
600.612012,0.7100925253805225
600.731615,0.7033574870447591
600.851217,0.6973763897417529
600.970819,0.685778904398648
601.090422,0.6793152319685405
601.210024,0.6690342662907974
601.329627,0.6580923552389566
601.449229,0.6506196906698086
601.568831,0.6380937901098271
601.688434,0.6275763136451442
601.808036,0.615278664987417
601.927639,0.6067005120755741
602.047241,0.5903675322556229
602.166843,0.5812292625792681
602.286446,0.5649714952462376
602.406048,0.5529653155230313
602.525651,0.5407868880591844
602.645253,0.5268549529067289
602.764855,0.5112840358762446
602.884458,0.4964859966616952
603.00406,0.4805326994123393
603.123662,0.46910436905249353
603.243265,0.4545488001778899
603.362867,0.43923091584322127
603.48247,0.42824920421712837
603.602072,0.4120461175895499
603.721674,0.40009630434095916
603.841277,0.38436986494625935
603.960879,0.36740150862138576
604.080482,0.35625803260154915
604.200084,0.3446244519219923
604.319686,0.3315754146685247
604.439289,0.31790585293156354
604.558891,0.30780155672624754
604.678494,0.2981972794298874
604.798096,0.28473396237911774
604.917698,0.27425416309909667
605.037301,0.26753630559633385
605.156903,0.2531685010213627
605.276506,0.24795698386970572
605.396108,0.23880690081403672
605.51571,0.23205056000576937
605.635313,0.22447296549695234
605.754915,0.21994010933205793
605.874517,0.21173918947499742
605.99412,0.20692476621847655
606.113722,0.20175523988516633
606.233325,0.1980372766694697
606.352927,0.19353440087770157
606.472529,0.1898160184305482
606.592132,0.18589003310014968
606.711734,0.184169269744307
606.831337,0.18488893232617234
606.950939,0.18297605165089167
607.070541,0.18488893232617234
607.190144,0.18117352596380343
607.309746,0.18168152270004165
607.429349,0.18235498947926018
607.548951,0.1860760161092558
607.668553,0.1864112545623459
607.788156,0.1909965335601383
607.907758,0.19497186751110676
608.027361,0.19553810657669493
608.146963,0.20014763695169205
608.266565,0.20447695486418038
608.386168,0.21097829881783206
608.50577,0.21554189068496368
608.625373,0.2242261809912679
608.744975,0.22864150098093136
608.864577,0.23052406927031566
608.98418,0.23887855363166619
609.103782,0.24566167365563743
609.223384,0.2526121425378454
609.342987,0.2556617492936411
609.462589,0.2625011017018073
609.582192,0.26357956555894413
609.701794,0.2668683001870241
609.821396,0.26567009082921517
609.940999,0.2642393388458182
610.060601,0.2572517761290688
610.180204,0.2564811772769089
610.299806,0.24746156548548998
610.419408,0.2417623645350185
610.539011,0.22797940113688214
610.658613,0.2180785412751548
610.778216,0.20500928667830537
610.897818,0.1849444073267042
611.01742,0.1681498050799366
611.137023,0.14849559269520143
611.256625,0.12193099610022566
611.376228,0.09850972546429679
611.49583,0.07406590307620821
611.615432,0.05581570486504006
611.735035,0.041336888237397666
611.854637,0.030675223572029574
611.974239,0.02148070905235746
612.093842,0.01567795019445339
612.213444,0.012585624865731568
612.333047,0.011174733350723325
612.452649,0.009852796061187257
612.572251,0.008556192407454881
612.691854,0.01474723015399749
612.811456,0.022377484094507853
612.931059,0.02377073682461036
613.050661,0.0351510777410221
613.170263,0.15471044591371955
613.289866,0.27285902748705715
613.409468,0.3318075987137277
613.529071,0.3606310014701304
613.648673,0.3757617425021344
613.768275,0.3799635317294742
613.887878,0.3777547890803711
614.00748,0.3693871492470912
