nu,[0]CFC-13B1-PNNL(x-sec)-X=0.01-T=278.09K-P=1.0atm-L=15cm
532.043641,0.9741305007225164
532.163443,0.9723105788434626
532.283246,0.9757537790103864
532.403048,0.9789497163775263
532.52285,0.9745143837597934
532.642653,0.9715709319642957
532.762455,0.9770230837924477
532.882258,0.9706503191602092
533.00206,0.9715427568158104
533.121862,0.967623706728695
533.241665,0.9770074515481654
533.361467,0.9794030750406407
533.48127,0.9775752578092612
533.601072,0.974948139163986
533.720874,0.9734858397373675
533.840677,0.9780534090087702
533.960479,0.9732697498678087
534.080282,0.9772165535159092
534.200084,0.9757615850718426
534.319886,0.9705678173894555
534.439689,0.972114191942281
534.559491,0.9678104761267609
534.679294,0.9639469663930661
534.799096,0.9657869671410713
534.918898,0.973754558910675
535.038701,0.9796215062805528
535.158503,0.9774726177958863
535.278306,0.9736065594659633
535.398108,0.9721696040304513
535.51791,0.9739103721048239
535.637713,0.9731578302820735
535.757515,0.9710726438980148
535.877318,0.9670471748230587
535.99712,0.9729097066724562
536.116922,0.9739912100204356
536.236725,0.9712056899636763
536.356527,0.9673305611593528
536.47633,0.9664516572016262
536.596132,0.9701573540218223
536.715934,0.9666604333065894
536.835737,0.9712464814592702
536.955539,0.9736085066810295
537.075342,0.9698624710106883
537.195144,0.9740340665765139
537.314946,0.9739960799886607
537.434749,0.9707532135473463
537.554551,0.9683555068365686
537.674353,0.9675085663585822
537.794156,0.9703465531521722
537.913958,0.9644184517284017
538.033761,0.9622153469398786
538.153563,0.9638891313101524
538.273365,0.9727248713880966
538.393168,0.9716982160933114
538.51297,0.9679150053026564
538.632773,0.9668093104765664
538.752575,0.9713377829196287
538.872377,0.97112993887419
538.99218,0.967499858820669
539.111982,0.9621075848558107
539.231785,0.9684126414969279
539.351587,0.972690826613385
539.471389,0.9701069071510432
539.591192,0.9574000019375176
539.710994,0.9566133424972493
539.830797,0.9669359707923084
539.950599,0.9692070655322955
540.070401,0.9662912395415649
540.190204,0.9625107923999469
540.310006,0.969459092131372
540.429809,0.968328393261969
540.549611,0.9697732477676875
540.669413,0.9678520928719879
540.789216,0.9619825189992363
540.909018,0.9676208038619292
541.028821,0.9719674137813278
541.148623,0.9664593888458103
541.268425,0.9543440816227775
541.388228,0.9581365256960968
541.50803,0.9634400636158611
541.627833,0.9666256341573788
541.747635,0.964573735599146
541.867437,0.9643104429104148
541.98724,0.9675192090113467
542.107042,0.9693708753679118
542.226845,0.9662535549180777
542.346647,0.963575918242357
542.466449,0.9619228779319505
542.586252,0.9655716206594239
542.706054,0.965574517378631
542.825857,0.9563015373745917
542.945659,0.9502891236552948
543.065461,0.9587508880911797
543.185264,0.9693233773587294
543.305066,0.9701913101234414
543.424868,0.9629777233558648
543.544671,0.9618497745711906
543.664473,0.9665666717920656
543.784276,0.9687264580283056
543.904078,0.9653167433968488
544.02388,0.9624665179218173
544.143683,0.9638611789306558
544.263485,0.9672464070612883
544.383288,0.9600422356685071
544.50309,0.9520630665584882
544.622892,0.9498739380329233
544.742695,0.9643393726576461
544.862497,0.9659898037012642
544.9823,0.9628920221522462
545.102102,0.9587297958036578
545.221904,0.96528392318552
545.341707,0.967714667632223
545.461509,0.9701825784409429
545.581312,0.9587901976834327
545.701114,0.9576269326282014
545.820916,0.9612564963054464
545.940719,0.9606530167381843
546.060521,0.9623683513435698
546.180324,0.9452999447479714
546.300126,0.951790815455216
546.419928,0.9598425676496819
546.539731,0.9649654320447973
546.659533,0.9614487668311191
546.779336,0.9568917574873324
546.899138,0.9681115119934872
547.01894,0.9659415054185463
547.138743,0.9679159732181457
547.258545,0.9577351505857878
547.378348,0.9605915369124883
547.49815,0.9637339576518261
547.617952,0.9616728104938639
547.737755,0.9497390655098984
547.857557,0.9435499258436083
547.97736,0.9643615527182869
548.097162,0.9664796847060819
548.216964,0.9674630945245598
548.336767,0.956767369644244
