nu,[0]PFC-1114-HITRAN(x-sec)-X=0.01-T=293.0K-P=0.9737atm-L=15cm
142.48354,1.0
142.604085,1.0
142.724629,1.0
142.845174,1.0
142.965718,1.0
143.086263,1.0
143.206807,1.0
143.327352,1.0
143.447896,1.0
143.56844,1.0
143.688985,1.0
143.809529,1.0
143.930074,1.0
144.050618,1.0
144.171163,1.0
144.291707,1.0
144.412251,1.0
144.532796,1.0
144.65334,1.0
144.773885,1.0
144.894429,1.0
145.014974,1.0
145.135518,1.0
145.256062,1.0
145.376607,1.0
145.497151,1.0
145.617696,1.0
145.73824,1.0
145.858785,1.0
145.979329,1.0
146.099873,1.0
146.220418,1.0
146.340962,1.0
146.461507,1.0
146.582051,1.0
146.702596,1.0
146.82314,1.0
146.943685,1.0
147.064229,1.0
147.184773,1.0
147.305318,1.0
147.425862,1.0
147.546407,1.0
147.666951,1.0
147.787496,1.0
147.90804,1.0
148.028584,1.0
148.149129,1.0
148.269673,1.0
148.390218,1.0
148.510762,1.0
148.631307,1.0
148.751851,1.0
148.872395,1.0
148.99294,1.0
149.113484,1.0
149.234029,1.0
149.354573,1.0
149.475118,1.0
149.595662,1.0
149.716206,1.0
149.836751,1.0
149.957295,1.0
150.07784,1.0
150.198384,1.0
150.318929,1.0
150.439473,1.0
150.560018,1.0
150.680562,1.0
150.801106,1.0
150.921651,1.0
151.042195,1.0
151.16274,1.0
151.283284,1.0
151.403829,1.0
151.524373,1.0
151.644917,1.0
151.765462,1.0
151.886006,1.0
152.006551,1.0
152.127095,1.0
152.24764,1.0
152.368184,1.0
152.488728,1.0
152.609273,1.0
152.729817,1.0
152.850362,1.0
152.970906,1.0
153.091451,1.0
153.211995,1.0
153.332539,1.0
153.453084,1.0
153.573628,1.0
153.694173,1.0
153.814717,1.0
153.935262,1.0
154.055806,1.0
154.176351,1.0
154.296895,1.0
154.417439,1.0
154.537984,1.0
154.658528,1.0
154.779073,1.0
154.899617,1.0
155.020162,1.0
155.140706,1.0
155.26125,1.0
155.381795,1.0
155.502339,1.0
155.622884,1.0
155.743428,1.0
155.863973,1.0
155.984517,1.0
156.105061,1.0
156.225606,1.0
156.34615,1.0
156.466695,1.0
156.587239,1.0
156.707784,1.0
156.828328,1.0
156.948872,1.0
157.069417,1.0
157.189961,1.0
157.310506,1.0
157.43105,1.0
157.551595,1.0
157.672139,1.0
157.792683,1.0
157.913228,1.0
158.033772,1.0
158.154317,1.0
158.274861,1.0
158.395406,1.0
158.51595,1.0
158.636495,1.0
158.757039,1.0
158.877583,1.0
158.998128,1.0
159.118672,1.0
159.239217,1.0
159.359761,1.0
159.480306,1.0
159.60085,1.0
159.721394,1.0
159.841939,1.0
159.962483,1.0
160.083028,1.0
160.203572,1.0
160.324117,1.0
160.444661,1.0
160.565205,1.0
160.68575,1.0
160.806294,1.0
160.926839,1.0
161.047383,1.0
161.167928,1.0
161.288472,1.0
161.409016,1.0
161.529561,1.0
161.650105,1.0
161.77065,1.0
161.891194,1.0
162.011739,1.0
162.132283,1.0
162.252828,1.0
162.373372,1.0
162.493916,1.0
162.614461,1.0
162.735005,1.0
162.85555,1.0
162.976094,1.0
163.096639,1.0
163.217183,1.0
163.337727,1.0
163.458272,1.0
163.578816,1.0
163.699361,1.0
163.819905,1.0
163.94045,1.0
164.060994,1.0
164.181538,1.0
164.302083,1.0
164.422627,1.0
164.543172,1.0
164.663716,1.0
164.784261,1.0
164.904805,1.0
165.025349,1.0
165.145894,1.0
165.266438,1.0
165.386983,1.0
165.507527,1.0
165.628072,1.0
165.748616,1.0
165.869161,1.0
165.989705,1.0
166.110249,1.0
166.230794,1.0
166.351338,1.0
166.471883,1.0
166.592427,1.0
166.712972,1.0
166.833516,1.0
166.95406,1.0
167.074605,1.0
167.195149,1.0
167.315694,1.0
167.436238,1.0
167.556783,1.0
167.677327,1.0
167.797871,1.0
167.918416,1.0
168.03896,1.0
168.159505,1.0
168.280049,1.0
168.400594,1.0
168.521138,1.0
168.641682,1.0
168.762227,1.0
168.882771,1.0
169.003316,1.0
169.12386,1.0
169.244405,1.0
169.364949,1.0
169.485494,1.0
169.606038,1.0
169.726582,1.0
169.847127,1.0
169.967671,1.0
170.088216,1.0
170.20876,1.0
170.329305,1.0
170.449849,1.0
170.570393,1.0
170.690938,1.0
170.811482,1.0
170.932027,1.0
171.052571,1.0
171.173116,1.0
171.29366,1.0
171.414204,1.0
171.534749,1.0
171.655293,1.0
171.775838,1.0
171.896382,1.0
172.016927,1.0
172.137471,1.0
172.258015,1.0
172.37856,1.0
172.499104,1.0
172.619649,1.0
172.740193,1.0
172.860738,1.0
172.981282,1.0
173.101827,1.0
173.222371,1.0
173.342915,1.0
173.46346,1.0
173.584004,1.0
173.704549,1.0
173.825093,1.0
173.945638,1.0
174.066182,1.0
174.186726,1.0
174.307271,1.0
174.427815,1.0
174.54836,1.0
174.668904,1.0
174.789449,1.0
174.909993,1.0
175.030537,1.0
175.151082,1.0
175.271626,1.0
175.392171,1.0
175.512715,1.0
175.63326,1.0
175.753804,1.0
175.874348,1.0
175.994893,1.0
176.115437,1.0
176.235982,1.0
176.356526,1.0
176.477071,1.0
176.597615,1.0
176.71816,1.0
176.838704,1.0
176.959248,1.0
177.079793,1.0
177.200337,1.0
177.320882,1.0
177.441426,1.0
177.561971,1.0
177.682515,1.0
177.803059,1.0
177.923604,1.0
178.044148,1.0
178.164693,1.0
178.285237,1.0
178.405782,1.0
178.526326,1.0
178.64687,1.0
178.767415,1.0
178.887959,1.0
179.008504,1.0
179.129048,1.0
179.249593,1.0
179.370137,1.0
179.490681,1.0
179.611226,1.0
179.73177,1.0
179.852315,1.0
179.972859,1.0
180.093404,1.0
180.213948,1.0
180.334493,1.0
180.455037,1.0
180.575581,1.0
180.696126,1.0
180.81667,1.0
180.937215,1.0
181.057759,1.0
181.178304,1.0
181.298848,1.0
181.419392,1.0
181.539937,1.0
181.660481,1.0
181.781026,1.0
181.90157,1.0
182.022115,1.0
182.142659,1.0
182.263203,1.0
182.383748,1.0
182.504292,1.0
182.624837,1.0
182.745381,1.0
182.865926,1.0
182.98647,1.0
183.107014,1.0
183.227559,1.0
183.348103,1.0
183.468648,1.0
183.589192,1.0
183.709737,1.0
183.830281,1.0
183.950826,1.0
184.07137,1.0
184.191914,1.0
184.312459,1.0
184.433003,1.0
184.553548,1.0
184.674092,1.0
184.794637,1.0
184.915181,1.0
185.035725,1.0
185.15627,1.0
185.276814,1.0
185.397359,1.0
185.517903,1.0
185.638448,1.0
185.758992,1.0
185.879536,1.0
186.000081,1.0
186.120625,1.0
186.24117,1.0
186.361714,1.0
186.482259,1.0
186.602803,1.0
186.723347,1.0
186.843892,1.0
186.964436,1.0
187.084981,1.0
187.205525,1.0
187.32607,1.0
187.446614,1.0
187.567158,1.0
187.687703,1.0
187.808247,1.0
187.928792,1.0
188.049336,1.0
188.169881,1.0
188.290425,1.0
188.41097,1.0
188.531514,1.0
188.652058,1.0
188.772603,1.0
188.893147,1.0
189.013692,1.0
189.134236,1.0
189.254781,1.0
189.375325,1.0
189.495869,1.0
189.616414,1.0
189.736958,1.0
189.857503,1.0
189.978047,1.0
190.098592,1.0
190.219136,1.0
190.33968,1.0
190.460225,1.0
190.580769,1.0
190.701314,1.0
190.821858,1.0
190.942403,1.0
191.062947,1.0
191.183491,1.0
191.304036,1.0
191.42458,1.0
191.545125,1.0
191.665669,1.0
191.786214,1.0
191.906758,1.0
192.027303,1.0
192.147847,1.0
192.268391,1.0
192.388936,1.0
192.50948,1.0
192.630025,1.0
192.750569,1.0
192.871114,1.0
192.991658,1.0
193.112202,1.0
193.232747,1.0
193.353291,1.0
193.473836,1.0
193.59438,1.0
193.714925,1.0
193.835469,1.0
193.956013,1.0
194.076558,1.0
194.197102,1.0
194.317647,1.0
194.438191,1.0
194.558736,1.0
194.67928,1.0
194.799824,1.0
194.920369,1.0
195.040913,1.0
195.161458,1.0
195.282002,1.0
195.402547,1.0
195.523091,1.0
195.643636,1.0
195.76418,1.0
195.884724,1.0
196.005269,1.0
196.125813,1.0
196.246358,1.0
196.366902,1.0
196.487447,1.0
196.607991,1.0
