nu,[0]Chloroform-PNNL(x-sec)-X=0.01-T=278.13K-P=1.0atm-L=15cm
614.821896,0.9939855595965026
614.954299,0.9935404531533886
615.086702,0.9940967928040034
615.219104,0.9933283549089336
615.351507,0.9936778693001671
615.48391,0.9933343148969429
615.616312,0.9934172617752208
615.748715,0.9924476633025985
615.881118,0.9924536180064424
616.01352,0.9913005610197374
616.145923,0.9914226967722629
616.278326,0.9917749126639956
616.410728,0.9908826177026974
616.543131,0.989820168829899
616.675534,0.9897390069037394
616.807936,0.9891512765068475
616.940339,0.9883464349827117
617.072741,0.9892264548606032
617.205144,0.9893293397618309
617.337547,0.9902378620653206
617.469949,0.990685055406343
617.602352,0.991969319598135
617.734755,0.993822459948865
617.867157,0.9945501048564735
617.99956,0.9949651177258846
618.131963,0.9946739340527356
618.264365,0.9947338152259709
618.396768,0.994702282663822
618.529171,0.994711135553533
618.661573,0.9956111592338888
618.793976,0.9957490609289146
618.926379,0.9956875255384123
619.058781,0.9956147434405136
619.191184,0.9953863756131596
619.323586,0.995001733115936
619.455989,0.995367463451689
619.588392,0.9950671068773063
619.720794,0.9951876168006777
619.853197,0.9948178737847816
619.9856,0.9943054756213084
620.118002,0.9943369956044747
620.250405,0.9938021861774752
620.382808,0.9937203996231156
620.51521,0.9932709421892634
620.647613,0.9925678559921448
620.780016,0.991460173258502
620.912418,0.9898686712064702
621.044821,0.9890642350243963
621.177224,0.9873072412448559
621.309626,0.9861862970356604
621.442029,0.9841538918516443
621.574431,0.9826148955895838
621.706834,0.9812833727676642
621.839237,0.9796224859025489
621.971639,0.9773328492052339
622.104042,0.978743179777748
622.236445,0.979742986878973
622.368847,0.9803378714011957
622.50125,0.9829922921649953
622.633653,0.9867268752313334
622.766055,0.9923377061932409
622.898458,0.9946933303835633
623.030861,0.996763050254762
623.163263,0.9965979003003863
623.295666,0.9965565423457073
623.428069,0.9968130890158471
623.560471,0.9967243765986858
623.692874,0.996449517920374
623.825277,0.9966503227286398
623.957679,0.9965017332431425
624.090082,0.9964943591576007
624.222484,0.9959741256480399
624.354887,0.9959925513398015
624.48729,0.9958000445860047
624.619692,0.9959967345173018
624.752095,0.9958148821172084
624.884498,0.9958825002433135
625.0169,0.9953220757302036
