nu,[0]HFC-43-10-mee-PNNL(x-sec)-X=0.01-T=278.08K-P=1.0atm-L=15cm
614.982758,0.8537217141065162
615.223812,0.8578894791248323
615.464866,0.8531584436748951
615.70592,0.8576750335618634
615.946974,0.8595296138600182
616.188028,0.8621465596283236
616.429082,0.8615260375201568
616.670136,0.8620775906623488
616.91119,0.8619396692818475
617.152244,0.8634148470338335
617.393298,0.8645898900739535
617.634352,0.8645812442182821
617.875406,0.8678381889154594
618.11646,0.868732522752902
618.357514,0.8677427319649071
618.598568,0.8672482595457145
618.839622,0.8689236649327765
619.080676,0.8702367307820478
619.32173,0.8684545728199822
619.562784,0.8719615064734465
619.803838,0.8706110130412027
620.044892,0.8688628424050445
620.285946,0.8716999572558487
620.527,0.8706197191948638
620.768054,0.8668580856246353
621.009108,0.8667974076823944
621.250162,0.8656626465091792
621.491216,0.8637343696352721
621.73227,0.8603809695292615
621.973324,0.8604411983051111
622.214378,0.8558330131212406
622.455432,0.8530048889753712
622.696486,0.8495317191128511
622.93754,0.8424423890864431
623.178594,0.8397256900006379
623.419648,0.8353620961880973
623.660702,0.8265788202206108
623.901756,0.8210099912446852
624.14281,0.812938352087535
624.383864,0.8031048505681666
624.624918,0.7947719983416728
