nu,[0]trans-1-2-Dichloroethene-PNNL(x-sec)-X=0.01-T=278.23K-P=1.0atm-L=15cm
605.799716,0.9986508109749898
605.918918,0.9988708379837327
606.038121,0.9985217936249121
606.157323,0.998559538462084
606.276526,0.9985923916113307
606.395728,0.9985280843320277
606.51493,0.9990778054829691
606.634133,0.9986363306432133
606.753335,0.9987401942224127
606.872537,0.9987783468265421
606.99174,0.9987435899448458
607.110942,0.9991825542909325
607.230145,0.9989333692553989
607.349347,0.9983939910148696
607.468549,0.99901651393974
607.587752,0.9989373649968674
607.706954,0.9989639370841835
607.826157,0.9983738236599421
607.945359,0.9984962317941881
608.064561,0.9979372304393713
608.183764,0.9990308699101927
608.302966,0.9990362247300064
608.422168,0.9987834406091001
608.541371,0.99835535391505
608.660573,0.9986415235656342
608.779776,0.9986603980687931
608.898978,0.9984038751643072
609.01818,0.9987817426786942
609.137383,0.9987253131043834
609.256585,0.9988242916872198
609.375788,0.9986295399392533
609.49499,0.9989228805100877
609.614192,0.9988969088528274
609.733395,0.9989449569496908
609.852597,0.9987921300628324
609.971799,0.9986943530995597
610.091002,0.9988919143807694
610.210204,0.9985937896416577
610.329407,0.9988508607667459
610.448609,0.9986397260125096
610.567811,0.9986970495779534
610.687014,0.9990742487723125
610.806216,0.9990145558692917
610.925419,0.9984959322453635
611.044621,0.9987253131043834
611.163823,0.9987557746909699
611.283026,0.9991231946186786
611.402228,0.9987667610649165
611.52143,0.9988179991140038
611.640633,0.998919783853958
611.759835,0.9984704709237244
611.879038,0.9985077145668796
611.99824,0.9988706382095851
612.117442,0.9990103400367613
612.236645,0.9983532573710082
612.355847,0.9990228677049736
612.47505,0.9987991216322133
612.594252,0.9990385424967364
612.713454,0.9990923321798697
612.832657,0.9987306063625699
612.951859,0.99900039993333
613.071061,0.9993822209041341
613.190264,0.9987890338120284
613.309466,0.9991272210932662
613.428669,0.9985673272568603
613.547871,0.9986924555820914
613.667073,0.9987702567546977
613.786276,0.9986431213933502
613.905478,0.999296097855432
614.02468,0.9986683873839348
614.143883,0.9991445760838243
614.263085,0.9984333285130592
614.382288,0.9989434585333791
614.50149,0.9989224809410154
614.620692,0.9986765764982868
614.739895,0.9985448597447575
614.859097,0.9988462660633541
614.9783,0.998706437374342
615.097502,0.9990430681515845
615.216704,0.9987938280108968
615.335907,0.9986184552128804
615.455109,0.9988887179317577
615.574311,0.9984706706178387
615.693514,0.9987414925855091
615.812716,0.99875207930144
615.931919,0.9987558745665523
616.051121,0.9989194841780678
616.170323,0.998652808278609
616.289526,0.9986940534912987
616.408728,0.9986376288712869
616.527931,0.9987667610649165
616.647133,0.9985117086057259
616.766335,0.9988039158795033
616.885538,0.9984765616121737
617.00474,0.9986198532796963
617.123942,0.9987717549112064
617.243145,0.9985330769849309
