nu,[0]HFC-143-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
473.561118,1.0
473.681647,1.0
473.802176,1.0
473.922705,1.0
474.043234,1.0
474.163763,1.0
474.284292,1.0
474.404821,1.0
474.52535,1.0
474.645879,1.0
474.766408,1.0
474.886937,1.0
475.007466,1.0
475.127995,1.0
475.248524,1.0
475.369053,1.0
475.489582,1.0
475.610111,1.0
475.73064,1.0
475.851169,1.0
475.971698,1.0
476.092227,1.0
476.212756,1.0
476.333285,1.0
476.453814,1.0
476.574343,1.0
476.694872,1.0
476.815401,1.0
476.93593,1.0
477.056459,1.0
477.176988,1.0
477.297517,1.0
477.418046,1.0
477.538575,1.0
477.659104,1.0
477.779633,1.0
477.900162,1.0
478.020691,1.0
478.14122,1.0
478.261749,1.0
478.382278,1.0
478.502807,1.0
478.623336,1.0
478.743865,1.0
478.864394,1.0
478.984923,1.0
479.105452,1.0
479.225981,1.0
479.34651,1.0
479.467039,1.0
479.587568,1.0
479.708097,1.0
479.828626,1.0
479.949155,1.0
480.069684,1.0
480.190213,1.0
480.310742,1.0
480.431271,1.0
480.5518,1.0
480.672329,1.0
480.792858,1.0
480.913387,1.0
481.033916,1.0
481.154445,1.0
481.274974,1.0
481.395503,1.0
481.516032,1.0
481.636561,1.0
481.75709,1.0
481.877619,1.0
481.998148,1.0
482.118677,1.0
482.239206,1.0
482.359735,1.0
482.480264,1.0
482.600793,1.0
482.721322,1.0
482.841851,1.0
482.96238,1.0
483.082909,1.0
483.203438,1.0
483.323967,1.0
483.444496,1.0
483.565025,1.0
483.685554,1.0
483.806083,1.0
483.926612,1.0
484.047141,1.0
484.16767,1.0
484.288199,1.0
484.408728,1.0
484.529257,1.0
484.649786,1.0
484.770315,1.0
484.890844,1.0
485.011373,1.0
485.131902,1.0
485.252431,1.0
485.37296,1.0
485.493489,1.0
485.614018,1.0
485.734547,1.0
485.855076,1.0
485.975605,1.0
486.096134,1.0
486.216663,1.0
486.337192,1.0
486.45772,1.0
486.578249,1.0
486.698778,1.0
486.819307,1.0
486.939836,1.0
487.060365,1.0
487.180894,1.0
487.301423,1.0
487.421952,1.0
487.542481,1.0
487.66301,1.0
487.783539,1.0
487.904068,1.0
488.024597,1.0
488.145126,1.0
488.265655,1.0
488.386184,1.0
488.506713,1.0
488.627242,1.0
488.747771,1.0
488.8683,1.0
488.988829,1.0
489.109358,1.0
489.229887,1.0
489.350416,1.0
489.470945,1.0
489.591474,1.0
489.712003,1.0
489.832532,1.0
489.953061,1.0
490.07359,1.0
490.194119,1.0
490.314648,1.0
490.435177,1.0
490.555706,1.0
490.676235,1.0
490.796764,1.0
490.917293,1.0
491.037822,1.0
491.158351,1.0
491.27888,1.0
491.399409,1.0
491.519938,1.0
491.640467,1.0
491.760996,1.0
491.881525,1.0
492.002054,1.0
492.122583,1.0
492.243112,1.0
492.363641,1.0
492.48417,1.0
492.604699,1.0
492.725228,1.0
492.845757,1.0
492.966286,1.0
493.086815,1.0
493.207344,1.0
493.327873,1.0
493.448402,1.0
493.568931,1.0
493.68946,1.0
493.809989,1.0
493.930518,1.0
494.051047,1.0
494.171576,1.0
494.292105,1.0
494.412634,1.0
494.533163,1.0
494.653692,1.0
494.774221,1.0
494.89475,1.0
495.015279,1.0
495.135808,1.0
495.256337,1.0
495.376866,1.0
495.497395,1.0
495.617924,1.0
495.738453,1.0
495.858982,1.0
495.979511,1.0
496.10004,1.0
496.220569,1.0
496.341098,1.0
496.461627,1.0
496.582156,1.0
496.702685,1.0
496.823214,1.0
496.943743,1.0
497.064272,1.0
497.184801,1.0
497.30533,1.0
497.425859,1.0
497.546388,1.0
497.666917,1.0
497.787446,1.0
497.907975,1.0
498.028504,1.0
498.149033,1.0
498.269562,1.0
498.390091,1.0
498.51062,1.0
498.631149,1.0
498.751678,1.0
498.872207,1.0
498.992736,1.0
499.113265,1.0
499.233794,1.0
499.354323,1.0
499.474852,1.0
499.595381,1.0
499.71591,1.0
499.836439,1.0
499.956968,1.0
500.077497,1.0
500.198026,1.0
500.318555,1.0
500.439084,1.0
500.559613,1.0
500.680142,1.0
500.800671,1.0
500.9212,1.0
501.041729,1.0
501.162258,1.0
501.282787,1.0
501.403316,1.0
501.523845,1.0
501.644374,1.0
501.764903,1.0
501.885432,1.0
502.005961,1.0
502.12649,1.0
502.247019,1.0
502.367548,1.0
502.488077,1.0
502.608606,1.0
502.729135,1.0
502.849664,1.0
502.970193,1.0
503.090722,1.0
503.211251,1.0
503.33178,1.0
503.452309,1.0
503.572838,1.0
503.693367,1.0
503.813896,1.0
503.934425,1.0
504.054954,1.0
504.175483,1.0
504.296012,1.0
504.416541,1.0
504.537069,1.0
504.657598,1.0
504.778127,1.0
504.898656,1.0
505.019185,1.0
505.139714,1.0
505.260243,1.0
505.380772,1.0
505.501301,1.0
505.62183,1.0
505.742359,1.0
505.862888,1.0
505.983417,1.0
506.103946,1.0
506.224475,1.0
506.345004,1.0
506.465533,1.0
506.586062,1.0
506.706591,1.0
506.82712,1.0
506.947649,1.0
507.068178,1.0
507.188707,1.0
507.309236,1.0
507.429765,1.0
507.550294,1.0
507.670823,1.0
507.791352,1.0
507.911881,1.0
508.03241,1.0
508.152939,1.0
508.273468,1.0
508.393997,1.0
508.514526,1.0
508.635055,1.0
508.755584,1.0
508.876113,1.0
508.996642,1.0
509.117171,1.0
509.2377,1.0
509.358229,1.0
509.478758,1.0
509.599287,1.0
509.719816,1.0
509.840345,1.0
509.960874,1.0
510.081403,1.0
510.201932,1.0
510.322461,1.0
510.44299,1.0
510.563519,1.0
510.684048,1.0
510.804577,1.0
510.925106,1.0
511.045635,1.0
511.166164,1.0
511.286693,1.0
511.407222,1.0
511.527751,1.0
511.64828,1.0
511.768809,1.0
511.889338,1.0
512.009867,1.0
512.130396,1.0
512.250925,1.0
512.371454,1.0
512.491983,1.0
512.612512,1.0
512.733041,1.0
512.85357,1.0
512.974099,1.0
513.094628,1.0
513.215157,1.0
513.335686,1.0
513.456215,1.0
513.576744,1.0
513.697273,1.0
513.817802,1.0
513.938331,1.0
514.05886,1.0
514.179389,1.0
514.299918,1.0
514.420447,1.0
514.540976,1.0
514.661505,1.0
514.782034,1.0
514.902563,1.0
515.023092,1.0
515.143621,1.0
515.26415,1.0
515.384679,1.0
515.505208,1.0
515.625737,1.0
515.746266,1.0
515.866795,1.0
515.987324,1.0
516.107853,1.0
516.228382,1.0
516.348911,1.0
516.46944,1.0
516.589969,1.0
516.710498,1.0
516.831027,1.0
516.951556,1.0
517.072085,1.0
517.192614,1.0
517.313143,1.0
517.433672,1.0
517.554201,1.0
517.67473,1.0
517.795259,1.0
517.915788,1.0
518.036317,1.0
518.156846,1.0
518.277375,1.0
518.397904,1.0
