nu,[0]Pentafluoropropionaldehyde-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
654.296839,0.953535140880912
654.357104,1.0
654.417369,1.0
654.477634,1.0
654.537899,1.0
654.598164,1.0
654.658429,1.0
654.718694,0.95001357976523
654.778958,0.8982651383244908
654.839223,0.9161061836601181
654.899488,0.9655310675029785
654.959753,0.967995345582172
655.020018,0.9431395708845407
655.080283,0.9444656133082995
655.140548,0.9694784815071078
655.200813,0.9952908231076945
655.261078,1.0
655.321343,1.0
655.381608,1.0
655.441873,0.9636809537417762
655.502138,0.9276321637896794
655.562403,1.0
655.622668,1.0
655.682933,1.0
655.743198,0.943624469232175
655.803463,0.8846174387763713
655.863728,0.9341371593336205
655.923993,0.9966889935113701
655.984258,1.0
656.044523,1.0
656.104788,1.0
656.165053,0.9638129870765157
656.225318,0.9521963647184599
656.285583,1.0
656.345848,1.0
656.406113,1.0
656.466378,0.9829274168146225
656.526643,0.9652665482312778
656.586908,1.0
656.647173,0.9975791350314314
656.707438,0.9395286177266833
656.767703,0.922656748895409
656.827967,0.9834298210779716
656.888232,1.0
656.948497,1.0
657.008762,0.9601228826034272
657.069027,0.984558462234714
657.129292,1.0
657.189557,1.0
657.249822,0.9971974345395026
657.310087,0.9697247603174954
657.370352,0.980923307845813
657.430617,1.0
657.490882,1.0
657.551147,1.0
657.611412,1.0
657.671677,0.9794226632980234
657.731942,0.9520659227519722
657.792207,0.9409775474402156
657.852472,0.9484530405548041
657.912737,0.9628236592455853
657.973002,0.9787979909305136
658.033267,0.9941493819153124
658.093532,1.0
658.153797,1.0
658.214062,0.9840564654390379
658.274327,0.9739386159151482
658.334592,0.9765512955889991
658.394857,0.9766782555096417
658.455122,0.9606155520010986
658.515387,0.944336230382209
658.575652,0.9453065618707445
658.635917,0.9503718024055263
658.696182,0.9365400428783238
658.756447,0.922087645267864
658.816712,0.9489074583856117
658.876976,1.0
658.937241,1.0
658.997506,1.0
659.057771,0.95001357976523
659.118036,0.9272509853079056
659.178301,0.9469916529856539
659.238566,0.956085437647334
659.298831,0.9492975395071876
659.359096,0.970837672750847
659.419361,1.0
659.479626,1.0
659.539891,1.0
659.600156,0.9795460783285826
659.660421,0.966884724543894
659.720686,0.9715825908854326
659.780951,0.9763032830588442
659.841216,0.9866953004765248
659.901481,0.9984703710766824
659.961746,0.9913643036951161
660.022011,0.977300597753362
660.082276,0.988837765246355
660.142541,1.0
660.202806,1.0
660.263071,0.9926283052152349
660.323336,0.9759294304987679
660.383601,1.0
660.443866,1.0
660.504131,1.0
660.564396,1.0
660.624661,0.9961811105763387
660.684926,0.9984703710766824
660.745191,1.0
660.805456,1.0
660.865721,1.0
660.925985,1.0
660.98625,0.9969429822237046
661.046515,0.9856893843744637
661.10678,0.9856893843744637
661.167045,0.9811715128393057
661.22731,0.9684891491176173
661.287575,0.9724486567489576
661.34784,1.0
661.408105,1.0
661.46837,1.0
661.528635,0.9733184145719096
661.5889,0.96922935755116
661.649165,0.9974519517998182
661.70943,1.0
661.769695,1.0
661.82996,1.0
661.890225,1.0
661.95049,1.0
662.010755,1.0
662.07102,0.9931350720181035
662.131285,0.9922476060201283
662.19155,1.0
662.251815,1.0
662.31208,1.0
662.372345,1.0
662.43261,0.9570687988382875
662.492875,0.9462466637464717
662.55314,0.9850617001752592
662.613405,1.0
662.67367,1.0
662.733935,0.9741889503060297
662.7942,0.9682402793874242
662.854465,0.9983430742197172
662.91473,1.0
662.974995,0.9870713030099406
663.035259,0.9468619240158322
663.095524,0.944336230382209
663.155789,0.9723251636115308
663.216054,0.9950386483650082
663.276319,1.0
663.336584,1.0
663.396849,1.0
663.457114,1.0
663.517379,0.9954170339856651
663.577644,0.9614718418784225
663.637909,0.9794226632980234
663.698174,1.0
663.758439,1.0
663.818704,0.9965633189532357
663.878969,0.9954170339856651
663.939234,1.0
663.999499,0.9992350527214566
664.059764,0.9648042962728574
664.120029,0.9626917614394748
664.180294,1.0
664.240559,1.0
664.300824,0.9821738005347144
664.361089,0.9640443299534489
664.421354,1.0
664.481619,1.0
664.541884,1.0
664.602149,0.9735685895505624
664.662414,0.9591363834275636
664.722679,0.979797854022504
664.782944,0.9848085718466976
664.843209,0.9715825908854326
664.903474,0.9795460783285826
664.963739,1.0
665.024004,1.0
665.084268,1.0
665.144533,1.0
665.204798,1.0
