nu,[0]HFC-329p-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
774.560506,1.0
774.80156,1.0
775.042614,1.0
775.283668,1.0
775.524722,1.0
775.765776,1.0
776.00683,1.0
776.247884,1.0
776.488938,1.0
776.729992,1.0
776.971046,1.0
777.2121,1.0
777.453154,1.0
777.694208,1.0
777.935262,1.0
778.176316,1.0
778.41737,1.0
778.658424,1.0
778.899478,1.0
779.140532,1.0
779.381586,1.0
779.62264,1.0
779.863694,1.0
780.104748,1.0
780.345802,1.0
780.586856,1.0
780.82791,1.0
781.068964,1.0
781.310018,1.0
781.551072,1.0
781.792126,1.0
782.03318,1.0
782.274234,1.0
782.515288,1.0
782.756342,1.0
782.997396,1.0
783.23845,1.0
783.479504,1.0
783.720558,1.0
783.961612,1.0
784.202666,1.0
784.44372,1.0
784.684774,1.0
784.925828,1.0
785.166882,1.0
785.407936,1.0
785.64899,1.0
785.890044,1.0
786.131098,1.0
786.372152,1.0
786.613206,1.0
786.85426,1.0
787.095314,1.0
787.336368,1.0
787.577422,1.0
787.818476,1.0
788.05953,1.0
788.300584,1.0
788.541638,1.0
788.782692,1.0
789.023746,1.0
789.2648,1.0
789.505854,1.0
789.746908,1.0
789.987962,1.0
790.229016,1.0
790.47007,1.0
790.711124,1.0
790.952178,1.0
791.193232,1.0
791.434286,1.0
791.67534,1.0
791.916394,1.0
792.157448,1.0
792.398502,1.0
792.639556,1.0
792.88061,1.0
793.121664,1.0
793.362718,1.0
793.603772,1.0
793.844826,1.0
794.08588,1.0
794.326934,1.0
794.567988,1.0
794.809042,1.0
795.050096,1.0
795.29115,1.0
795.532204,1.0
795.773258,1.0
796.014312,1.0
796.255366,1.0
796.49642,1.0
796.737474,1.0
796.978528,1.0
797.219582,1.0
797.460636,1.0
797.70169,1.0
797.942744,1.0
798.183798,1.0
798.424852,1.0
798.665906,1.0
798.90696,1.0
799.148014,1.0
799.389068,1.0
799.630122,1.0
799.871176,1.0
800.11223,1.0
800.353284,1.0
800.594338,1.0
800.835392,1.0
801.076446,1.0
801.3175,1.0
801.558554,1.0
801.799608,1.0
802.040662,1.0
802.281716,0.9207359344145837
802.52277,0.9190782622719358
802.763824,0.9155557692598332
803.004878,0.9161831398116587
803.245932,0.8961566936422536
803.486986,0.9114477587501282
803.72804,0.8945271717745267
803.969094,0.8973583485407086
804.210148,0.8817030126763156
804.451202,0.8741791038563111
804.692256,0.8692626112523364
804.93331,0.8550631099178415
805.174364,0.845100266571372
805.415418,0.8405322137324888
805.656472,0.8380646780788917
805.897526,0.8227030150424514
806.13858,0.8063478934582197
806.379634,0.8023663338754126
806.620688,0.795694468789169
806.861742,0.7789721380920417
807.102796,0.7575013192620981
807.34385,0.7483309143302056
807.584904,0.738274184253987
807.825958,0.7239014606022272
808.067012,0.705301435123333
808.308066,0.6893887110980558
808.54912,0.6739158685303216
808.790174,0.6463979132788907
809.031228,0.6349303316788687
809.272282,0.6156910398231022
809.513336,0.5957107789003212
809.75439,0.5762405983685199
809.995444,0.5544159841958323
810.236498,0.539042964363703
810.477552,0.5148961753009834
810.718606,0.4988898245968145
810.95966,0.47404169358766723
811.200714,0.4517347986468197
811.441768,0.43782324512360093
811.682822,0.4144802306480726
811.923876,0.39795752519831395
812.16493,0.3806176313684811
812.405984,0.36178686907666513
812.647038,0.3486453718118346
812.888092,0.33574611995399856
813.129146,0.3231301809371299
813.3702,0.3122035187950614
813.611254,0.2969474772780094
813.852308,0.2922341250107851
814.093362,0.28260644582109146
814.334416,0.27496815170613
814.57547,0.2674560567425849
814.816524,0.2630792398443257
815.057578,0.2551254229598748
815.298632,0.24999859028394725
815.539686,0.24331460554094925
815.78074,0.23733087842657952
816.021794,0.2308932030093909
816.262848,0.22503484997364245
816.503902,0.218231249695759
816.744956,0.21472438574348035
816.98601,0.20879549476550377
817.227064,0.2035588757944563
817.468118,0.20278681990167408
817.709172,0.20595450172490412
817.950226,0.2056663671637441
818.19128,0.20735976481620097
818.432334,0.21233288999837585
818.673388,0.21180272076105636
818.914442,0.21356799911438223
819.155496,0.21556344595177754
819.39655,0.21749052339507077
819.637604,0.22031432551155128
819.878658,0.2232864059401808
820.119712,0.2245852300434986
820.360766,0.22706930493819327
820.60182,0.22877872704522242
820.842874,0.23609996101769037
821.083928,0.24127932300848884
821.324982,0.24795698386970572
821.566036,0.2536246147023633
821.80709,0.26166244074954237
822.048144,0.2690118091925064
822.289198,0.2773430753450219
822.530252,0.2860467557158447
822.771306,0.29499407723894044
823.01236,0.30672613436466517
823.253414,0.3214864121875292
823.494468,0.3360820340029842
823.735522,0.35349002919430833
823.976576,0.36578849321966617
824.21763,0.3898278685421779
824.458684,0.4006167677645292
824.699738,0.42266727220180034
824.940792,0.44474241816062277
825.181846,0.464107069566161
825.4229,0.4862122607086646
825.663954,0.5085559703665467
825.905008,0.5271448028322505
826.146062,0.5532916613217337
826.387116,0.5746466205894657
826.62817,0.5934869816801673
826.869224,0.6099062635098272
827.110278,0.6352288190738009
827.351332,0.6491834088294406
827.592386,0.6748600114921273
827.83344,0.6867671373779605
828.074494,0.7036107413231302
828.315548,0.7419377011900204
828.556602,0.721913466330545
828.797656,0.7379789336343461
829.03871,0.752036815085422
829.279764,0.7626546281831721
829.520818,0.7776878938570466
829.761872,0.7996589137844211
830.002926,0.8005150067502288
830.24398,0.812848933786902
830.485034,0.8247458505888129
830.726088,0.836390223735229
830.967142,0.8469276560172788
831.208196,0.8504582135344132
831.44925,0.8542341008356272
831.690304,0.8690366323519408
831.931358,0.8858390535622147
832.172412,0.8776477164276918
832.413466,0.8912680990235691
