nu,[0]Geraniol-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
658.411168,0.9950951681653825
658.529171,0.9945983417062932
658.647173,0.9934805444703283
658.765175,0.997224159788865
658.883178,0.994583721218131
659.00118,0.9968981207988942
659.119182,0.9960023121146323
659.237185,0.9931656610493903
659.355187,0.9984796568943124
659.473189,0.9956543696958597
659.591192,0.9971736018056194
659.709194,0.9959373748808593
659.827197,0.9943495243295501
659.945199,0.9954802449742508
660.063201,0.9968975226602012
660.181204,0.9958928574751735
660.299206,0.9989543470764196
660.417208,0.9952886334702922
660.535211,0.9988247910994905
660.653213,0.996406970434354
660.771215,0.9943497231994749
660.889218,0.9987275103024891
661.00722,0.9959804003047966
661.125223,0.9934645495623217
661.243225,0.9957004695603803
661.361227,0.9990556162113221
661.47923,0.9958523254607063
661.597232,0.996150229440571
661.715234,0.9953612921925465
661.833237,0.995102929937965
661.951239,0.9959028164535431
662.069241,0.9951012382644221
662.187244,0.9947546053799654
662.305246,0.9999692664722846
662.423248,0.99926438070064
662.541251,0.9989511504276236
662.659253,0.9969769785590327
662.777256,0.9945348883562758
662.895258,0.9973007495453458
663.01326,0.9941412299238039
663.131263,0.9969724921727235
663.249265,0.9987231159111115
663.367267,0.9938759290355157
663.48527,0.9954546614607045
663.603272,0.9949261158577114
663.721274,0.9989903100802445
663.839277,0.9963003605922458
663.957279,0.9968220603740193
664.075282,0.9995499812888092
664.193284,0.9946836819050539
664.311286,0.9959285110776668
664.429289,0.9955377853953125
664.547291,0.9946924351599689
664.665293,0.9946826872218693
664.783296,0.9999819941621071
664.901298,0.9987127292447168
665.0193,0.9956818501356917
665.137303,0.9942220568913684
665.255305,0.99319903197623
665.373307,0.9923749195549693
665.49131,0.9958377861228921
665.609312,0.9946706516341693
665.727315,0.9980073878926767
665.845317,0.9971084884953942
665.963319,0.996920650951014
666.081322,0.997393103870693
666.199324,0.9999514801771247
666.317326,1.0
666.435329,0.9930626751102527
666.553331,0.9948956715843659
666.671333,0.9986306384323514
666.789336,0.993195655105262
666.907338,0.9978799504862944
667.025341,0.9993303043463024
667.143343,0.9986040752106615
667.261345,0.9951344752008339
667.379348,0.9997306962687615
667.49735,0.9932413431562139
667.615352,0.9940463933742445
667.733355,0.9952049332158623
667.851357,0.9969685042907306
667.969359,0.9957840123343468
668.087362,0.9965105024969797
668.205364,0.9967688314972191
668.323366,0.99893896329793
668.441369,0.9920409423685609
668.559371,0.9970972212331344
668.677374,0.9969251371040371
668.795376,0.9939020683161794
668.913378,0.9950263099622667
669.031381,0.993930096749705
669.149383,0.994782757333646
669.267385,0.997678598629372
669.385388,0.9962811321808411
669.50339,0.9938650958469302
669.621392,0.9997513809108493
669.739395,0.9948434409326743
669.857397,0.9989762244161765
669.9754,0.9967587641828609
670.093402,1.0
670.211404,0.9988458665249277
670.329407,0.9969952234046802
670.447409,0.9926839932251916
670.565411,0.9947982760657061
670.683414,0.9991746108212012
670.801416,0.9968266457660434
670.919418,0.9985968852872038
671.037421,0.9963263643710051
671.155423,0.9959891649708837
671.273425,0.9996837000333851
671.391428,0.9986961507510131
671.50943,0.9960103797660345
671.627433,0.9993322130690065
671.745435,0.9968368134496853
671.863437,0.9989436583220908
671.98144,0.9976626358994961
672.099442,0.995710725328034
672.217444,0.9972020216582519
672.335447,0.9968910428473633
672.453449,0.9968974229704538
672.571451,0.9997040338066375
672.689454,0.996809799538081
672.807456,0.997665828425039
672.925459,0.9994603256766019
673.043461,0.9952349888586833
673.161463,0.9986739799425634
673.279466,0.996039264485874
673.397468,0.9972541766878267
673.51547,0.9961386741649302
673.633473,0.9976156470959402
673.751475,0.9989401620254053
673.869477,0.9983014441815146
673.98748,0.9962745567470678
674.105482,0.9978791521826533
674.223484,0.9971928474418541
674.341487,0.9978305566512529
674.459489,0.9958444582584107
674.577492,0.9950961632610482
674.695494,0.9985638322773311
674.813496,0.998977722881637
674.931499,0.999067814754868
675.049501,0.9983828090647893
675.167503,0.9977877506385681
675.285506,0.9971588437455227
675.403508,0.9970248346025393
675.52151,0.999333602141748
675.639513,0.9967598606181045
675.757515,0.9949071129503768
675.875518,0.9952020471257409
675.99352,1.0
676.111522,1.0
676.229525,0.9994932184571678
676.347527,0.9966691595977474
676.465529,0.9960447427168938
676.583532,0.9995443738291432
676.701534,0.9994631741425892
676.819536,0.9956160377405213
676.937539,0.9959285110776668
677.055541,0.99957996823805
677.173543,0.9967171005372943
677.291546,0.9956878242447148
677.409548,0.9983771182989963
677.527551,0.9983923935857619
677.645553,0.9957114223257856
677.763555,0.9998226257326758
677.881558,0.9987851385423923
677.99956,0.9947165070081679
678.117562,0.9968408008049139
678.235565,0.9952341926710108
678.353567,0.9999117688925931
678.471569,0.9992062351980868
678.589572,0.9997220186439788
678.707574,0.997596393299751
678.825577,0.996183401795528
678.943579,0.9971682170827084
679.061581,0.9992261795535854
679.179584,0.9972673405298401
679.297586,0.9982293694191748
