nu,[0]HFE-449s1-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
819.32173,0.9999998746200078
819.562784,0.9999751553086345
819.803838,0.9999937991192256
820.044892,0.9999991603203525
820.285946,0.9999752613060066
820.527,0.9999879310728301
820.768054,0.9999788472237231
821.009108,0.9999832361405151
821.250162,0.9999854821053856
821.491216,0.999997186103959
821.73227,0.9999832931395611
821.973324,0.9999626146988478
822.214378,0.9999758442917538
822.455432,0.9999879140730354
822.696486,0.9999971105041746
822.93754,0.9999848201152156
823.178594,0.9999849961125594
823.419648,0.9999896710533439
823.660702,0.999999494090128
823.901756,0.999990091249092
824.14281,1.0
824.383864,0.9999844791204501
824.624918,0.9999927896259949
824.865972,1.0
825.107026,0.999995277511151
825.34808,0.9999880540713532
825.589134,0.999990764342649
825.830188,0.9999972040039088
826.071242,0.9999942477165444
826.312296,0.9999826941497479
826.55335,0.9999995124701189
826.794404,0.9999750743106501
827.035458,0.9999881170706025
827.276512,0.9999976863026766
827.517566,1.0
827.75862,0.9999622757115789
827.999674,0.9999801251975065
828.240728,0.9999901041489643
828.481782,0.9999987196008198
828.722836,0.9999921972304417
828.96389,0.9999805171897924
829.204944,0.9999909440410054
829.445998,0.999999566440094
829.687052,0.9999901696483182
829.928106,0.9999952221114141
830.16916,0.9999938689187952
830.410214,0.9999939085185532
830.651268,0.9999868420865661
830.892322,0.9999864950911921
831.133376,1.0
831.37443,0.9999897360526747
831.615484,0.9999803291934729
831.856538,0.9999954293104456
832.097592,0.9999969009048022
832.338646,0.9999994429901551
832.5797,0.9999809011823847
832.820754,0.9999873260803148
833.061808,0.9999938192191011
833.302862,1.0
833.543916,0.9999911874388309
833.78497,0.9999937255196847
834.026024,0.9999840671269296
834.267078,1.0
834.508132,0.9999964155064243
834.749186,1.0
834.99024,0.9999763032807717
835.231294,1.0
835.472348,1.0
835.713402,1.0
835.954456,0.9999876800758909
836.19551,0.999999208800313
836.436564,0.9999969851045448
836.677618,0.9999894930551984
836.918672,0.9999927238264715
837.159726,0.999990079049213
837.40078,0.9999910823397625
837.641834,0.9999968565049407
837.882888,0.9999924277286698
838.123942,0.9999920280317763
838.364996,0.9999764592770871
838.60605,0.999999478310136
838.847104,1.0
839.088158,0.9999917281342121
839.329212,0.9999756422966537
839.570266,0.9999993449902145
839.81132,0.9999921200310471
840.052374,0.9999969928045216
840.293428,1.0
840.534482,0.9999948462132808
840.775536,1.0
841.01659,0.9999873000806446
841.257644,0.9999910548400082
841.498698,0.9999922748298393
841.739752,0.9999999288410025
841.980806,0.9999790822187798
842.22186,0.9999938577188638
842.462914,0.9999916391349523
842.703968,0.9999961011076007
842.945022,0.9999910387401524
843.186076,0.9999741253347549
843.42713,0.9999932782225912
843.668184,1.0
843.909238,0.9999863470932018
844.150292,0.9999963367067098
844.391346,0.9999892970572769
844.6324,0.999998996000504
844.873454,0.999993980718116
845.114508,0.9999789602213393
845.355562,0.9999972681037317
845.596616,0.9999922418300947
845.83767,0.99999241582876
846.078724,1.0
846.319778,0.9999909431410136
846.560832,0.9999868650862638
846.801886,0.9999820111618011
847.04294,0.9999993234002289
847.283994,0.9999929614247709
847.525048,0.9999970017044949
847.766102,0.9999989058005987
848.007156,0.9999815421703478
848.24821,0.9999873360801881
848.489264,0.9999848801143066
848.730318,1.0
848.971372,0.9999913373375211
849.212426,0.999990456345541
849.45348,0.9999999303600025
849.694534,0.9999832471403307
849.935588,0.9999939362183848
850.176642,0.9999906241439536
850.417696,0.9999881900697378
850.65875,0.9999999630490006
850.899804,0.9999988928006129
851.140858,0.999999192490326
851.381912,0.9999935004211223
851.622966,0.99999066514357
851.86402,0.999993665020066
