nu,[0]Ethane-1-1-2-2-tetrafluoro-1-2-dimethoxy--HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
280.454154,0.9134423628587628
280.729649,0.9130359714360885
281.005145,0.9126918217511489
281.28064,0.9136616153350937
281.556135,0.9151649104006644
281.831631,0.9106314673114636
282.107126,0.9071440692232423
282.382621,0.9063361638328642
282.658116,0.9064920670603367
282.933612,0.9068021403667844
283.209107,0.9071440692232423
283.484602,0.9085748554397307
283.760097,0.9070823855238047
284.035593,0.9048781366359329
284.311088,0.9061195753730601
284.586583,0.9052818022956233
284.862078,0.9064295212655642
285.137574,0.9064920670603367
285.413069,0.9073309601506069
285.688564,0.9035444252383552
285.964059,0.9025239966885485
286.239555,0.9049098079249595
286.51505,0.9017211076701064
286.790545,0.9005766487486053
287.066041,0.8970353576770776
287.341536,0.8962732015852793
287.617031,0.8935169269662366
287.892526,0.8914374560507916
288.168022,0.8898165153842195
288.443517,0.8882074041763178
288.719012,0.8878699494831833
288.994507,0.8875059974191667
289.270003,0.8871688092099647
289.545498,0.8874704978892652
289.820993,0.8872930215379141
290.096488,0.8882606982193737
290.371984,0.8887493759774592
290.647479,0.8902704375473782
290.922974,0.8907334985603319
291.198469,0.8913394033236249
291.473965,0.8937850222566093
291.74946,0.8966138501210044
292.024955,0.8986424889206652
292.30045,0.9011982610678295
292.575946,0.9038607211357418
292.851441,0.9039149544059918
293.126936,0.9011081457475638
293.402432,0.9029302238813217
293.677927,0.9027767387898643
293.953422,0.9044484215864346
294.228917,0.9027135466299004
294.504413,0.9023074169199551
294.779908,0.9021901245799229
295.055403,0.9036076755618574
295.330898,0.904168086029999
295.606394,0.9031469531415242
295.881889,0.9022803481034818
296.157384,0.9027135466299004
296.432879,0.9027135466299004
296.708375,0.904692655630375
296.98387,0.9053750511234919
297.259365,0.9055914616207347
297.53486,0.9050021134328686
297.810356,0.9069572167914436
298.085851,0.9078591804666164
298.361346,0.9103501256575884
298.636842,0.9127858338503293
298.912337,0.9139119929178579
299.187832,0.9129108940759966
299.463327,0.9126607907567392
299.738823,0.9198800480444282
300.014318,0.9169851508876696
300.289813,0.9142876879469871
300.565308,0.9115361734707715
300.840804,0.9084185940034638
301.116299,0.9059954454943248
301.391794,0.9047197968171597
301.667289,0.9038607211357418
301.942785,0.9027406284425245
302.21828,0.9011351793974389
302.493775,0.900891905742423
302.76927,0.9009549703830616
303.044766,0.9010721021426108
303.320261,0.902993431209224
303.595756,0.9034269720976937
303.871252,0.904168086029999
304.146747,0.9056847423451565
304.422242,0.9084503892106668
304.697737,0.9107562323686965
304.973233,0.9152902965821466
305.248728,0.919029552414858
305.524223,0.920352067571732
305.799718,0.921772345212565
306.075214,0.9249348281554666
306.350709,0.9273464970781641
306.626204,0.9197540331100663
306.901699,0.9203842804578193
307.177195,0.9195333186289171
307.45269,0.9188402518256906
307.728185,0.9171419687560171
308.00368,0.9163572311463759
308.279176,0.916828359832885
308.554671,0.9164827806869902
308.830166,0.9152902965821466
309.105661,0.9143818644288512
309.381157,0.913255126366773
309.656652,0.9124737144706087
309.932147,0.9126297608173655
310.207643,0.9119108918374176
310.483138,0.9115051817677355
310.758633,0.9107871986070202
311.034128,0.9098204560332674
311.309624,0.9093529284837397
311.585119,0.9093220110097714
311.860614,0.9099141723665471
312.136109,0.9090101670442924
312.411605,0.9077039498193552
312.6871,0.9070823855238047
312.962595,0.9063361638328642
313.23809,0.9062745350691253
313.513586,0.9053750511234919
313.789081,0.9040143905198624
314.064576,0.9033276005962958
314.340071,0.9024337488013493
314.615567,0.9016579894017346
314.891062,0.9026142536009878
315.166557,0.9022442576113723
315.442053,0.9022803481034818
315.717548,0.9016940564426467
315.993043,0.9014145746070722
316.268538,0.9007657897039477
316.544034,0.9010721021426108
316.819529,0.9007027383054931
317.095024,0.9005766487486053
317.370519,0.9000904686387249
317.646015,0.8985166877785018
317.92151,0.8986424889206652
318.197005,0.8984807478297944
318.4725,0.8990110078823476
318.747996,0.8982112440330362
319.023491,0.8977173636783655
319.298986,0.8967035159892351
319.574481,0.8960581218275021
319.849977,0.8955922927302138
320.125472,0.8956908133009462
320.400967,0.8972506719996054
320.676462,0.8981483714465202
320.951958,0.894366171374078
321.227453,0.8921687345479612
321.502948,0.8908849361269155
321.778444,0.8890516021408278
322.053939,0.8870800967647398
322.329434,0.8847147520467684
322.604929,0.8829559203082044
322.880425,0.8806896370144258
323.15592,0.8790354958767078
323.431415,0.8772002302109981
323.70691,0.8756927426260043
323.982406,0.873567392607527
324.257901,0.8751849880983282
324.533396,0.873087062644441
324.808891,0.8712990674872269
325.084387,0.8695669064148218
325.359882,0.8676386090845691
325.635377,0.865974341163594
325.910872,0.8637516444954129
326.186368,0.8626553761846285
326.461863,0.8618017699670018
326.737358,0.8613882043810988
327.012854,0.860733798051673
327.288349,0.8579666926525101
327.563844,0.8538327051436112
327.839339,0.8533717599492371
328.114835,0.8518455908277915
328.39033,0.8510367217901317
328.665825,0.8502201185694742
328.94132,0.8503646682760079
329.216816,0.8497186366512313
329.492311,0.8494042989117382
329.767806,0.8493108695775654
330.043301,0.8501265995000746
330.318797,0.8510622532747557
330.594292,0.8526125969605233
330.869787,0.8539522500902823
331.145282,0.8502456255556341
