nu,[0]HCFO-1233zd-HITRAN(x-sec)-X=0.01-T=295.0K-P=0.9211atm-L=15cm
690.44152,0.9953253602984731
690.560522,0.9908212839669603
690.679524,0.9975566897534035
690.798526,1.0
690.917528,0.9886775865032136
691.03653,0.9994842130638388
691.155532,1.0
691.274534,0.9895964947478667
691.393536,0.982280863313788
691.512538,0.9824174098435526
691.63154,0.993721790832649
691.750542,1.0
691.869544,0.9960784095981647
691.988546,0.9884937095732086
692.107548,0.9949037302719433
692.22655,0.9912809334629427
692.345552,0.9921096931880554
692.464554,0.9952681307356216
692.583556,0.9980318393732095
692.702558,0.998794527166821
692.82156,0.991173980020464
692.940562,1.0
693.059564,0.9988712375321478
693.178566,1.0
693.297568,0.9929071736714109
693.41657,0.9941394404712006
693.535572,0.9903815560038494
693.654574,1.0
693.773576,1.0
693.892578,0.9956579540580426
694.01158,0.9957558320455507
694.130582,0.9986085689391109
694.249584,0.984663815626479
694.368586,0.9981661834999461
694.487588,0.9904989231721032
694.60659,0.999474658040435
694.725592,1.0
694.844594,1.0
694.963596,0.9878267014598104
695.082598,0.9971281317261028
695.2016,1.0
695.320602,0.9918836171513207
695.439604,0.9991447659213119
695.558606,0.9990410600770356
695.677608,0.9910757595459488
695.79661,0.9950211358389076
695.915612,1.0
696.034614,0.9975583856012176
696.153616,0.9914952715698718
696.272618,0.9986401254684799
696.39162,0.992226669816519
696.510622,0.9912534753613822
696.629624,1.0
696.748626,0.9961890800571013
696.867628,0.9948475197991438
696.98663,1.0
697.105632,0.9990199106016617
697.224634,0.9970976200721027
697.343636,1.0
697.462638,1.0
697.58164,1.0
697.700642,0.9930923681281469
697.819644,0.9889485212782846
697.938646,0.9947969828287879
698.057648,0.9937228839272201
698.17665,0.9921520571764192
698.295652,0.9997411834987708
698.414654,0.9929071736714109
698.533656,0.9972716287886242
698.652658,1.0
698.77166,1.0
698.890662,0.9943750794407071
699.009664,0.9985777124110665
699.128666,0.9849513794429159
699.247668,0.9987266114481343
699.36667,1.0
699.485672,0.9983466682612536
699.604674,0.9925570370614778
699.723676,0.992304562667354
699.842678,0.9921697176402147
699.96168,0.997747540602455
700.080682,1.0
700.199684,0.9961071966801734
700.318686,0.9938421378283823
700.437688,0.9938062607747914
700.55669,0.9994439546505465
700.675692,1.0
700.794694,1.0
700.913696,0.9939473912838505
701.032698,0.993692575841461
701.1517,0.9958878780233348
701.270702,0.9931905898203374
701.389704,1.0
701.508706,0.9889406097217607
701.627708,0.9982396512346311
701.74671,0.9954541637334982
701.865712,0.9900478536514806
701.984714,1.0
702.103716,1.0
702.222718,1.0
702.34172,0.9925837372048901
702.460722,0.9949004470950507
702.579724,0.996904800038679
702.698726,0.9943243676048185
702.817728,0.9987589707145625
702.93673,1.0
703.055732,1.0
703.174734,0.9997073228383192
703.293736,0.9930914743454178
703.412738,0.9999928197257782
703.53174,0.9818752650790402
703.650742,0.9994309619635886
703.769744,0.9947509247947346
703.888746,0.99672866252272
704.007748,0.9909740803892494
704.12675,0.9987077356935544
704.245752,1.0
704.364754,0.9965996941782214
704.483756,1.0
704.602758,1.0
704.72176,1.0
704.840762,1.0
704.959764,0.9990452560582995
705.078766,0.9994959570723382
705.197768,1.0
705.31677,0.9974277140118798
705.435772,1.0
705.554774,0.9969064947782795
705.673776,0.9972659443565407
705.792778,0.9992976467655841
705.91178,0.9957402983757337
706.030782,0.9992074542304374
706.149784,1.0
706.268786,0.9972119937283287
706.387788,0.9914952715698718
706.50679,0.9867574642385928
706.625792,0.9894233305135983
706.744794,0.9934498463957919
706.863796,0.9790485952921815
706.982798,1.0
707.1018,1.0
707.220802,1.0
707.339804,0.9995331390135211
707.458806,0.9969608276628026
707.577808,0.9960614764091341
707.69681,1.0
707.815812,1.0
707.934814,0.999893895629467
708.053816,0.991562596384463
708.172818,0.9999617657309483
708.29182,1.0
708.410822,1.0
708.529824,0.9961207438301687
708.648826,0.9979248560944349
