nu,[0]Acrolein-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
578.621448,0.8876835163699538
578.74065,0.8846174387763713
578.859852,0.884944807788251
578.979054,0.8857150447755335
579.098256,0.8772440913190273
579.217458,0.8728077194816846
579.33666,0.8681767118168113
579.455862,0.86205172872256
579.575064,0.8705587779474887
579.694266,0.8636393640800135
579.813468,0.8669621148365382
579.93267,0.8685674792532079
580.051872,0.8672482595457145
580.171074,0.8374698633416746
580.290276,0.8587392102566743
580.409478,0.8798973729134361
580.52868,0.8915444349641242
580.647882,0.8951267058010869
580.767084,0.8978520313827426
580.886286,0.8999554651939405
581.005488,0.8987503324898205
581.12469,0.8990739408555276
581.243892,0.8965959180233235
581.363094,0.8967573198142931
581.482296,0.8948850542149528
581.601498,0.8934097113680652
581.7207,0.884086827512403
581.839902,0.8780164058879583
581.959104,0.88097150279439
582.078306,0.8832915073154146
582.197508,0.8844936010037889
582.31671,0.8859985189433096
582.435912,0.88188818975189
582.555114,0.8779812859341265
582.674316,0.8779286086373052
582.793518,0.8772002302109981
582.91272,0.8732442324605761
583.031922,0.852646702146501
583.151124,0.8655760845726973
583.270326,0.8857859048134793
583.389528,0.8968021588012491
583.50873,0.8997754920988111
583.627932,0.9028309070192223
583.747134,0.9033276005962958
583.866336,0.9026864656297185
583.985538,0.902993431209224
584.10474,0.9022081685628537
584.223942,0.9031288903830895
584.343144,0.9011532022812552
584.462346,0.9025781497529256
584.581548,0.8991368782341701
584.70075,0.8999284669349606
584.819952,0.8932578446261714
584.939154,0.8952430798369895
585.058356,0.8896385698762865
585.177558,0.8867164684739597
585.29676,0.8758591400543583
585.415962,0.8626553761846285
585.535164,0.84237499639106
585.654366,0.8312788340788669
585.773568,0.849064605135458
585.89277,0.8609231803185299
586.011972,0.8739168894592804
586.131174,0.8783149822210605
586.250376,0.8816412956255502
586.369578,0.8886516189228382
586.48878,0.8924542742269286
586.607982,0.8915622660311335
586.727184,0.8949297995862885
586.846386,0.8970353576770776
586.965588,0.8964883329683931
587.08479,0.895511693050908
587.203992,0.8865923368577893
587.323194,0.8794663288151371
587.442396,0.8795542798454968
587.561598,0.8893806120967083
587.6808,0.8888649209065939
587.800002,0.8892383225822376
587.919204,0.885750474085906
588.038406,0.8825939825831818
588.157608,0.8781129930048
588.27681,0.8727640801867019
588.396012,0.8704891360309667
588.515214,0.86283655283651
588.634416,0.8492004663408862
588.753618,0.8329097383577481
588.87282,0.8103330037984849
588.992022,0.7468805596553192
589.111224,0.756918267749906
589.230426,0.8197220168828657
589.349628,0.8502711333070152
