nu,[0]Cineole-HITRAN(x-sec)-X=0.01-T=323.1K-P=1.0atm-L=15cm
555.121102,0.9156958600091989
555.256705,0.9128351256162228
555.392308,0.9388674223478853
555.527911,0.909323829655612
555.663513,0.943853797840496
555.799116,0.9149681710951614
555.934719,0.9281007363370032
556.070321,0.9163178286325967
556.205924,0.917341927499917
556.341527,0.9519735768363146
556.47713,0.931029794064148
556.612732,0.9159641982058078
556.748335,0.9569778816210341
556.883938,0.9204128128127628
557.01954,0.9328265510242403
557.155143,0.9583166722961775
557.290746,0.9053397421850269
557.426349,0.9366730410070562
557.561951,0.9440897907878453
557.697554,0.917939311522121
557.833157,0.9412843561277799
557.968759,0.9137703475367562
558.104362,0.9534102359589076
558.239965,0.9416684785007157
558.375568,0.9273177497823399
558.51117,0.9619161444953721
558.646773,0.9116482993157066
558.782376,0.9416279876267002
558.917978,0.9539452491584514
559.053581,0.925641748373315
559.189184,0.953527512630298
559.324786,0.9346417296213773
559.460389,0.9295190287520593
559.595992,0.9416336374115752
559.731595,0.9101007238927604
559.867197,0.9621999516174905
560.0028,0.9242866760447863
560.138403,0.9123441524022783
560.274005,0.9666246675322279
560.409608,0.9074843120407421
560.545211,0.9353813237004035
560.680814,0.9523525377281105
560.816416,0.9127666655490863
560.952019,0.9431933313722405
561.087622,0.9288277237920014
561.223224,0.9357929820410252
561.358827,0.9432782225921116
561.49443,0.9167788524381658
561.630033,0.9484065674944161
561.765635,0.9251355607918798
561.901238,0.9235290716306904
562.036841,0.9588227971043408
562.172443,0.910085252311963
562.308046,0.9334256179499049
562.443649,0.9597216351050684
562.579252,0.9158625318223955
562.714854,0.9498919858091992
562.850457,0.9395793536418979
562.98606,0.934176393918233
563.121662,0.9406708387559819
563.257265,0.9205214279328408
563.392868,0.9411328215453046
563.528471,0.9228311475010994
563.664073,0.9217419272270726
563.799676,0.9440104905760747
563.935279,0.9202471534162494
564.070881,0.9321113473752662
564.206484,0.9479959963457595
564.342087,0.9136296377381682
564.47769,0.929413999036101
564.613292,0.9339858413708944
564.748895,0.9329832790495979
564.884498,0.9354009669144543
565.0201,0.9101334881085729
565.155703,0.9455145521924526
565.291306,0.9134350553490901
565.426909,0.9209744359062071
565.562511,0.9395765349080651
565.698114,0.9043218076705933
565.833717,0.916325159204548
565.969319,0.9379609143317619
566.104922,0.9024517976568133
566.240525,0.9281675619957144
566.376128,0.916822858879229
566.51173,0.9185324918939958
566.647333,0.9182689108945049
566.782936,0.9007387671355971
566.918538,0.9379449691317527
567.054141,0.9168787867794042
567.189744,0.9180054055319065
567.325347,0.9485137434918728
567.460949,0.9007387671355971
567.596552,0.9280719656601246
567.732155,0.9337915925184702
567.867757,0.8955475142350491
568.00336,0.9361898423938599
568.138963,0.9140691993000011
568.274565,0.9160328980968868
568.410168,0.9236362072167434
568.545771,0.8976724789323096
568.681374,0.932634408546084
568.816976,0.9153918994439217
568.952579,0.9089110903358633
569.088182,0.9520392652793415
569.223784,0.8999194676952875
569.359387,0.9179347218370376
569.49499,0.9284089169366159
569.630593,0.8907424059398543
569.766195,0.9216396195513314
569.901798,0.9092119897028624
570.037401,0.9065165426765666
570.173003,0.9215631266374085
570.308606,0.9075360401207647
570.444209,0.920863925604649
570.579812,0.9062799727326487
570.715414,0.9020818682604823
570.851017,0.9350792443212943
570.98662,0.8977263408968883
571.122222,0.9113739344715931
571.257825,0.9119291302376378
571.393428,0.8947418840601962
571.529031,0.9162619349498248
571.664633,0.9042132955645295
571.800236,0.9037974530996694
571.935839,0.9043489377317724
572.071441,0.8947776744513617
572.207044,0.9172557014114217
572.342647,0.8828234868529156
572.47825,0.897789183940232
