nu,[0]Methylpivalate-PNNL(x-sec)-X=0.01-T=278.12K-P=1.0atm-L=15cm
560.234205,0.988986102036123
560.353207,0.9835793137719324
560.472209,1.001516749102133
560.591212,0.9928780819174186
560.710214,0.999158873945009
560.829217,0.9941325809327267
560.948219,0.9969893411502146
561.067221,0.990095476098552
561.186224,0.9816121577659538
561.305226,0.9946951208331695
561.424228,0.9967698282665489
561.543231,0.9950892971212099
561.662233,0.998192635254293
561.781236,0.9964164363455361
561.900238,0.9950571562559907
562.01924,0.9876123663217972
562.138243,0.9927722467550006
562.257245,0.9895054560581938
562.376248,0.9952680312088135
562.49525,0.9855435131403139
562.614252,0.992687963969106
562.733255,0.9937021153359785
562.852257,0.9909098673493651
562.971259,1.0002582133313247
563.090262,1.0011800957656818
563.209264,0.9965978006406013
563.328267,1.0024877894252802
563.447269,0.9861961589479402
563.566271,0.9936161638204586
563.685274,0.9878523852879367
563.804276,0.9908835094974546
563.923278,0.9971137731843877
564.042281,0.9895727447169943
564.161283,0.9981415290996968
564.280286,0.9955334050386935
564.399288,0.9916194145490608
564.51829,0.9999374569558978
564.637293,0.9944511520440243
564.756295,0.9942021726490737
564.875298,0.9987074360812787
564.9943,0.9867998957218254
565.113302,0.9943270522842353
565.232305,0.9914755410102873
565.351307,0.9937261632181479
565.470309,0.9917959385150174
565.589312,0.992756163974874
565.708314,0.9896578516325849
565.827317,0.9915289829821959
565.946319,0.9943496237645075
566.065321,0.9913875018912404
566.184324,0.9946057017612541
566.303326,0.9867209548878431
566.422328,1.0036135130530064
566.541331,0.9904781229131201
566.660333,0.9899795427063334
566.779336,1.0005934160016507
566.898338,0.9902310294476449
567.01734,0.9914748469776515
567.136343,0.98897027838508
567.255345,0.9964914693281494
567.374347,0.9957652917708888
567.49335,0.9948665215682383
567.612352,0.9897122843113096
567.731355,0.9985660291201787
567.850357,0.9904227567335484
567.969359,0.9958512300237509
568.088362,0.999484133105105
568.207364,0.9928809612680313
568.326367,0.9865838102068898
568.445369,0.9904637610844613
568.564371,0.9930468855392459
568.683374,0.9989011042286549
568.802376,0.9926059713296248
568.921378,0.9940422183881599
569.040381,0.9902653910605372
569.159383,0.9875758253402556
569.278386,0.9911043029388467
569.397388,0.9892452503418021
569.51639,0.9918043688163235
569.635393,0.9870555099954369
569.754395,0.9908779605653385
569.873397,0.9915607124173197
569.9924,0.9887121908243133
570.111402,0.9916114816254761
570.230405,0.9906698980409494
570.349407,0.9956471014454902
570.468409,0.9960523126857043
570.587412,0.9889059974061394
570.706414,0.9890118160090562
570.825417,0.9928808619799401
570.944419,0.9952828608129588
571.063421,0.9880519516252864
571.182424,0.9821826401386973
571.301426,0.9865976224769184
571.420428,0.9866361005345122
571.539431,0.988477893800382
571.658433,0.994726752640955
571.777436,0.9854025904941441
571.896438,0.9972643487323063
572.01544,0.990046863604122
572.134443,0.993484915794341
572.253445,0.9870989413933604
572.372447,0.9890711584982735
572.49145,0.9911236296611889
572.610452,0.9865413880151346
572.729455,0.9882476052807808
572.848457,0.9922999980768643
572.967459,0.9941817917134397
573.086462,0.988920831107353
573.205464,0.98993697450122
573.324466,0.9889129197723495
573.443469,0.9868443027162828
573.562471,0.9826925252326659
573.681474,0.9865334957155997
573.800476,0.9797537641111034
573.919478,0.9829146388412608
574.038481,0.9854114591573675
574.157483,0.9866321539980032
574.276486,0.98897027838508
574.395488,0.9869183188145555
574.51449,0.9831161569971286
574.633493,0.9780993785992707
574.752495,0.9852971580576972
574.871497,0.9805898506120875
574.9905,0.9862030623452147
575.109502,0.9789007701153741
575.228505,0.9795921180761896
575.347507,0.9775811232784045
575.466509,0.9803613997924489
575.585512,0.9786981586269727
575.704514,0.9856696707839128
575.823516,0.9728912215636386
575.942519,0.9808105081515175
576.061521,0.9838390129895567
576.180524,0.978662926127451
576.299526,0.9800937976596586
576.418528,0.974303911384736
576.537531,0.9798791806193948
576.656533,0.9708570896984708
