nu,[0]Octane-PNNL(x-sec)-X=0.01-T=278.11K-P=1.0atm-L=15cm
620.532411,0.9983030414651031
620.650413,1.0001844370064137
620.768415,0.9964557955721114
620.886418,0.9982580190131969
621.00442,0.9948166800040493
621.122422,0.9987551754376849
621.240425,0.9909141282709557
621.358427,0.997550704431221
621.47643,0.9970236381734557
621.594432,0.9930601924566682
621.712434,0.9951808495478921
621.830437,0.9999877800746639
621.948439,0.9992260196774094
622.066441,1.000053502431204
622.184444,0.9926560991968949
622.302446,0.9991336055366073
622.420448,0.9919553329293349
622.538451,0.9963168993155027
622.656453,0.9952495193955934
622.774455,1.0008239392516094
622.892458,0.9942435323197311
623.01046,0.9944463786899507
623.128463,1.0034483318635425
623.246465,0.9972504868541991
623.364467,0.9988835237239294
623.48247,0.9955818886960863
623.600472,0.9975259654805153
623.718474,0.9988037161187401
623.836477,0.9954174321525583
623.954479,0.9991845726417307
624.072481,0.9964712407566426
624.190484,1.0041062074625307
624.308486,0.997508109925541
624.426489,0.9959011234201942
624.544491,0.9964298880582256
624.662493,0.9924812086005305
624.780496,0.9954167353605996
624.898498,0.9921820206209917
625.0165,1.0007844675338329
625.134503,1.001353915717442
625.252505,1.001499523162192
625.370507,0.9940548428044983
625.48851,0.9908096914257544
625.606512,0.9994326909806485
625.724514,0.9965439858123801
625.842517,0.9991699047198671
625.960519,0.9928744082753117
626.078522,1.0008167433533555
626.196524,0.9978116978319486
626.314526,0.9966443428446432
626.432529,0.9983632409534997
626.550531,0.9960144634169629
626.668533,1.002515759224782
626.786536,0.9954480914816198
626.904538,1.001955309128675
627.02254,1.0001686442188378
627.140543,1.0008679264303508
627.258545,0.9994582767850344
627.376548,0.9974065687684831
627.49455,0.9978846405330833
627.612552,0.9991328362040273
627.730555,0.9962044214870629
627.848557,0.996132896577375
627.966559,0.9955760147802711
628.084562,0.9927750265211832
628.202564,1.0040866275823896
628.320566,1.0025261854428942
628.438569,0.9938523744551204
628.556571,1.0022258735866978
628.674573,0.9931396404499422
628.792576,0.9974151465018587
628.910578,1.0002313267519076
629.028581,0.9960207383278484
629.146583,0.9979746537871962
629.264585,1.0008347081751325
629.382588,0.9993111173886543
629.50059,0.9956291799589579
629.618592,1.0016061885412395
629.736595,0.9991932755772597
629.854597,0.9985275850681102
629.972599,0.9963892345481301
630.090602,0.996100921224602
630.208604,0.99382504389062
630.326607,0.9977835599388158
630.444609,0.9991457950409507
630.562611,1.0009185115736283
630.680614,1.0008521628846476
630.798616,0.9978930227992693
630.916618,1.0017719680833217
631.034621,0.9999206871454308
631.152623,0.9966841097472672
631.270625,0.9956582527554736
631.388628,1.0008993041316872
631.50663,0.9975649695082894
631.624632,1.0021330717675943
631.742635,0.9961022161566414
631.860637,0.9978455242218591
631.97864,0.9967783008460975
632.096642,0.9933345135638257
632.214644,0.998509911286268
632.332647,0.9975460159539281
632.450649,0.9998779374502393
632.568651,0.9968401030165975
