nu,[0]1-1-2-2-Tetrafluoro-3-methoxy-propane-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.0atm-L=15cm
866.84582,0.9999976426027787
867.327937,0.9999976669027216
867.810054,0.9999976426027787
868.29217,0.999997496803133
868.774287,0.9999974239033181
869.256404,0.9999976183028363
869.73852,0.9999979585020838
870.220637,0.9999981773016611
870.702754,0.9999981043017968
871.18487,0.9999980071019858
871.666987,0.9999980071019858
872.149104,0.9999980557018902
872.63122,0.9999980800018432
873.113337,0.9999981530017057
873.595454,0.9999982016016171
874.077571,0.9999981530017057
874.559687,0.9999981286017511
875.041804,0.9999981043017968
875.523921,0.9999979099021843
876.006037,0.9999976912026652
876.488154,0.9999976669027216
876.970271,0.9999977641024996
877.452387,0.9999979099021843
877.934504,0.9999980800018432
878.416621,0.9999982016016171
878.898737,0.9999982259015737
879.380854,0.9999981773016611
879.862971,0.9999982259015737
880.345088,0.9999983717013257
880.827204,0.9999984446012097
881.309321,0.9999983960012864
881.791438,0.9999984689011722
882.273554,0.9999985418010632
882.755671,0.9999983960012864
883.237788,0.9999980314019377
883.719904,0.9999978370023392
884.202021,0.9999979099021843
884.684138,0.9999980800018432
885.166254,0.9999980557018902
885.648371,0.9999979828020346
886.130488,0.9999980800018432
886.612604,0.9999982502015309
887.094721,0.9999983474013655
887.576838,0.9999982988014471
888.058955,0.9999982259015737
888.541071,0.9999982259015737
889.023188,0.9999982988014471
889.505305,0.9999984203012477
889.987421,0.9999984446012097
890.469538,0.9999984446012097
890.951655,0.9999983960012864
891.433771,0.999998323101406
891.915888,0.9999982502015309
892.398005,0.9999982259015737
892.880121,0.9999982502015309
893.362238,0.9999982016016171
893.844355,0.9999981043017968
894.326472,0.9999980314019377
894.808588,0.9999980557018902
895.290705,0.9999980800018432
895.772822,0.9999980314019377
896.254938,0.9999979099021843
896.737055,0.9999977641024996
897.219172,0.9999977641024996
897.701288,0.9999980557018902
898.183405,0.9999982988014471
898.665522,0.9999980071019858
899.147638,0.9999974482032559
899.629755,0.9999973509035088
900.111872,0.9999977884024456
900.593988,0.9999981286017511
901.076105,0.9999983474013655
901.558222,0.999998323101406
902.040339,0.9999982259015737
902.522455,0.9999981286017511
903.004572,0.9999980314019377
903.486689,0.9999978613022871
903.968805,0.9999978370023392
904.450922,0.9999978613022871
904.933039,0.9999978613022871
905.415155,0.9999979342021338
905.897272,0.9999980314019377
906.379389,0.9999979099021843
906.861505,0.9999977398025542
907.343622,0.9999977641024996
907.825739,0.9999978127023922
