nu,[0]HFC-236fa-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
475.128452,1.0
475.248982,1.0
475.369511,1.0
475.490041,1.0
475.61057,1.0
475.7311,1.0
475.851629,1.0
475.972158,1.0
476.092688,1.0
476.213217,1.0
476.333747,1.0
476.454276,1.0
476.574806,1.0
476.695335,1.0
476.815865,1.0
476.936394,1.0
477.056923,1.0
477.177453,1.0
477.297982,1.0
477.418512,1.0
477.539041,1.0
477.659571,1.0
477.7801,1.0
477.900629,1.0
478.021159,1.0
478.141688,1.0
478.262218,1.0
478.382747,1.0
478.503277,1.0
478.623806,1.0
478.744335,1.0
478.864865,1.0
478.985394,1.0
479.105924,1.0
479.226453,1.0
479.346983,1.0
479.467512,1.0
479.588042,1.0
479.708571,1.0
479.8291,1.0
479.94963,1.0
480.070159,1.0
480.190689,1.0
480.311218,1.0
480.431748,1.0
480.552277,1.0
480.672806,1.0
480.793336,1.0
480.913865,1.0
481.034395,1.0
481.154924,1.0
481.275454,1.0
481.395983,1.0
481.516512,1.0
481.637042,1.0
481.757571,1.0
481.878101,1.0
481.99863,1.0
482.11916,1.0
482.239689,1.0
482.360218,1.0
482.480748,1.0
482.601277,1.0
482.721807,1.0
482.842336,1.0
482.962866,1.0
483.083395,1.0
483.203925,1.0
483.324454,1.0
483.444983,1.0
483.565513,1.0
483.686042,1.0
483.806572,1.0
483.927101,1.0
484.047631,1.0
484.16816,1.0
484.288689,1.0
484.409219,1.0
484.529748,1.0
484.650278,1.0
484.770807,1.0
484.891337,1.0
485.011866,1.0
485.132395,1.0
485.252925,1.0
485.373454,1.0
485.493984,1.0
485.614513,1.0
485.735043,1.0
485.855572,1.0
485.976102,1.0
486.096631,1.0
486.21716,1.0
486.33769,1.0
486.458219,1.0
486.578749,1.0
486.699278,1.0
486.819808,1.0
486.940337,1.0
487.060866,1.0
487.181396,1.0
487.301925,1.0
487.422455,1.0
487.542984,1.0
487.663514,1.0
487.784043,1.0
487.904572,1.0
488.025102,1.0
488.145631,1.0
488.266161,1.0
488.38669,1.0
488.50722,1.0
488.627749,1.0
488.748278,1.0
488.868808,1.0
488.989337,1.0
489.109867,1.0
489.230396,1.0
489.350926,1.0
489.471455,1.0
489.591985,1.0
489.712514,1.0
489.833043,1.0
489.953573,1.0
490.074102,1.0
490.194632,1.0
490.315161,1.0
490.435691,1.0
490.55622,1.0
490.676749,1.0
490.797279,1.0
490.917808,1.0
491.038338,1.0
491.158867,1.0
491.279397,1.0
491.399926,1.0
491.520455,1.0
491.640985,1.0
491.761514,1.0
491.882044,1.0
492.002573,1.0
492.123103,1.0
492.243632,1.0
492.364162,1.0
492.484691,1.0
492.60522,1.0
492.72575,1.0
492.846279,1.0
492.966809,1.0
493.087338,1.0
493.207868,1.0
493.328397,1.0
493.448926,1.0
493.569456,1.0
493.689985,1.0
493.810515,1.0
493.931044,1.0
494.051574,1.0
494.172103,1.0
494.292632,1.0
494.413162,1.0
494.533691,1.0
494.654221,1.0
494.77475,1.0
494.89528,1.0
495.015809,1.0
495.136338,1.0
495.256868,1.0
495.377397,1.0
495.497927,1.0
495.618456,1.0
495.738986,1.0
495.859515,1.0
495.980045,1.0
496.100574,1.0
496.221103,1.0
496.341633,1.0
496.462162,1.0
496.582692,1.0
496.703221,1.0
496.823751,1.0
496.94428,1.0
497.064809,1.0
497.185339,1.0
497.305868,1.0
497.426398,1.0
497.546927,1.0
497.667457,1.0
497.787986,1.0
497.908515,1.0
498.029045,1.0
498.149574,1.0
498.270104,1.0
498.390633,1.0
498.511163,1.0
498.631692,1.0
498.752222,1.0
498.872751,1.0
498.99328,1.0
499.11381,1.0
499.234339,1.0
499.354869,1.0
499.475398,1.0
499.595928,1.0
499.716457,1.0
499.836986,1.0
499.957516,1.0
500.078045,1.0
500.198575,1.0
500.319104,1.0
500.439634,1.0
500.560163,1.0
500.680692,1.0
500.801222,1.0
500.921751,1.0
501.042281,1.0
501.16281,1.0
501.28334,1.0
501.403869,1.0
501.524398,1.0
501.644928,1.0
501.765457,1.0
501.885987,1.0
502.006516,1.0
502.127046,1.0
502.247575,1.0
502.368105,1.0
502.488634,1.0
502.609163,1.0
502.729693,1.0
502.850222,1.0
502.970752,1.0
503.091281,1.0
503.211811,1.0
503.33234,1.0
503.452869,1.0
503.573399,1.0
503.693928,1.0
503.814458,1.0
503.934987,1.0
504.055517,1.0
504.176046,1.0
504.296575,1.0
504.417105,1.0
504.537634,1.0
504.658164,1.0
504.778693,1.0
504.899223,1.0
505.019752,1.0
505.140282,1.0
505.260811,1.0
505.38134,1.0
505.50187,1.0
505.622399,1.0
505.742929,1.0
505.863458,1.0
505.983988,1.0
506.104517,1.0
506.225046,1.0
506.345576,1.0
506.466105,1.0
506.586635,1.0
506.707164,1.0
506.827694,1.0
506.948223,1.0
507.068752,1.0
507.189282,1.0
507.309811,1.0
507.430341,1.0
507.55087,1.0
507.6714,1.0
507.791929,1.0
507.912458,1.0
508.032988,1.0
508.153517,1.0
508.274047,1.0
508.394576,1.0
508.515106,1.0
508.635635,1.0
508.756165,1.0
508.876694,1.0
508.997223,1.0
509.117753,1.0
509.238282,1.0
509.358812,1.0
509.479341,1.0
509.599871,1.0
509.7204,1.0
509.840929,1.0
509.961459,1.0
510.081988,1.0
510.202518,1.0
510.323047,1.0
510.443577,1.0
510.564106,1.0
510.684635,1.0
510.805165,1.0
510.925694,1.0
511.046224,1.0
511.166753,1.0
511.287283,1.0
511.407812,1.0
