nu,[0](Perfluoro-n-octyl)ethylene-HITRAN(x-sec)-X=0.01-T=298.0K-P=0.9211atm-L=15cm
657.430592,0.27701046326177126
657.490857,0.2762359188328744
657.551122,0.2774817815563575
657.611387,0.277370811039318
657.671652,0.2742815898867231
657.731917,0.2710369826689952
657.792182,0.26874293184439435
657.852447,0.2652718844224401
657.912712,0.26009716662324356
657.972977,0.2565068266770852
658.033242,0.2565068266770852
658.093506,0.2561479683791593
658.153771,0.2530166454819673
658.214036,0.24927464460072968
658.274301,0.24758532720608456
658.334566,0.24723895026842727
658.394831,0.2467449665163038
658.455096,0.2462273457786197
658.515361,0.2458091148877772
658.575626,0.2443875485489328
658.635891,0.2441432831534371
658.696156,0.24790739743174087
658.756421,0.253548538729919
658.816686,0.2550233931980036
658.876951,0.25200660033705574
658.937216,0.24994859556552895
658.997481,0.2515785530597565
659.057746,0.25311787238419087
659.118011,0.25311787238419087
659.178276,0.2546666102538619
659.238541,0.2589552531420464
659.298806,0.26161011349429236
659.359071,0.2605397078599756
659.419336,0.2584120177072936
659.479601,0.25738043417896544
659.539866,0.25578961213133355
659.600131,0.2538783661716543
659.660396,0.2543357587605974
659.720661,0.2563273347279227
659.780926,0.25578961213133355
659.841191,0.25294075187293324
659.901456,0.25225873298270457
659.961721,0.253726084840919
660.021986,0.25268793754929003
660.082251,0.24850308973040316
660.142516,0.2466462882666629
660.202781,0.2494491979384908
660.263046,0.25200660033705574
660.323311,0.25079986713205676
660.383576,0.2488512377027422
660.44384,0.24927464460072968
660.504105,0.2506243686566969
660.56437,0.2514779417621336
660.624635,0.2525868825866103
660.6849,0.2534471395956059
660.745165,0.2525868825866103
660.80543,0.2514025096949808
660.865695,0.25225873298270457
660.92596,0.253802214085187
660.986225,0.25225873298270457
661.04649,0.24910021340754943
661.106755,0.24952404392420885
661.16702,0.2536246147023633
661.227285,0.2553551391973397
661.28755,0.25294075187293324
661.347815,0.2514025096949808
661.40808,0.2530166454819673
661.468345,0.2540561432426901
661.52861,0.2528648810285671
661.588875,0.25294075187293324
661.64914,0.2564042444642247
661.709405,0.25991516231554684
661.76967,0.26061788149779297
661.829935,0.26061788149779297
661.8902,0.2617933046831742
661.950465,0.26257986384604876
662.01073,0.2622387318069171
662.070995,0.26313186095423013
662.13126,0.26590930153963444
662.191525,0.2678307574513195
662.25179,0.267723646571943
662.312055,0.26836695498502333
662.37232,0.270766081159656
662.432585,0.2724228021164357
662.49285,0.2720416770432743
662.553115,0.27149813741000095
662.61338,0.27157959906986195
662.673645,0.2708473231696961
662.733909,0.2697391225084599
662.794174,0.2704684022238111
662.854439,0.27250454121732276
662.914704,0.27231385478650777
662.974969,0.26938868948002
663.035234,0.26708188024780705
663.095499,0.2663617318090205
663.155764,0.2641072522008084
663.216029,0.25947368190428316
663.276294,0.25589194844208374
663.336559,0.25553395037138726
663.396824,0.2565068266770852
663.457089,0.25684050239398876
663.517354,0.25694325914492644
663.577619,0.2570974713594514
663.637884,0.2565068266770852
663.698149,0.25553395037138726
663.758414,0.2554573016841538
663.818679,0.25553395037138726
663.878944,0.2543357587605974
663.939209,0.2530166454819673
663.999474,0.25459022172963724
664.059739,0.2585154031900946
664.120004,0.2610613087026713
664.180269,0.2603573938818105
664.240534,0.2589552531420464
664.300799,0.25859296944540816
664.361064,0.25833450572935945
664.421329,0.25684050239398876
664.481594,0.2550233931980036
664.541859,0.2544120709344793
664.602124,0.25589194844208374
664.662389,0.259136585278089
664.722654,0.26197662415078055
664.782919,0.2616886083019731
664.843184,0.258774047894083
664.903449,0.2566607769535559
664.963714,0.2577152463241397
665.023978,0.25921433791598497
665.084243,0.2584120177072936
665.144508,0.2566607769535559
665.204773,0.2570974713594514
665.265038,0.2590329513721408
665.325303,0.25885169175444794
665.385568,0.25563618439697783
665.445833,0.2519058178547611
665.506098,0.24959891236709109
665.566363,0.24825471085081083
665.626628,0.24741207812129426
665.686893,0.2474863128793876
665.747158,0.24790739743174087
665.807423,0.24832919843664528
665.867688,0.248751717113106
665.927953,0.24927464460072968
665.988218,0.24910021340754943
666.048483,0.24832919843664528
666.108748,0.2484285499850049
666.169013,0.2497736927717528
666.229278,0.25072463845678267
666.289543,0.2502987686632942
666.349808,0.24952404392420885
666.410073,0.2494491979384908
666.470338,0.248751717113106
666.530603,0.24689305791919167
666.590868,0.24497478306499698
666.651133,0.2441432831534371
666.711398,0.24389926190124483
666.771663,0.24424096000076556
666.831928,0.24615348865400877
666.892193,0.24934943821259073
666.952458,0.2514779417621336
667.012723,0.2513019688006222
667.072988,0.25105079244093276
667.133253,0.2524353759136054
667.193518,0.2538783661716543
667.253783,0.2539799378311006
667.314048,0.2541577860271889
667.374312,0.255201972068555
667.434577,0.2557128867570757
667.494842,0.253726084840919
667.555107,0.2503738695584642
667.615372,0.24741207812129426
667.675637,0.2451463254459712
667.735902,0.24324162210734937
667.796167,0.24200424782103958
