nu,[0]2-3-Butanedione-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
628.515214,0.9946110726465449
628.634416,0.9954282822617017
628.753618,0.9943600644903707
628.87282,0.9954222101676998
628.992022,0.9949896936678041
629.111224,0.9950674053974831
629.230426,0.9944418042471299
629.349628,0.9954792494945035
629.46883,0.9958888739117108
629.588032,0.9950723807469484
629.707234,0.9956866294200426
629.826436,0.9949916836491813
629.945638,0.9966046771891498
630.06484,0.9959960373198317
630.184042,0.9958467487032987
630.303244,0.994939248969119
630.422446,0.9959825914640875
630.541648,0.9949654162154646
630.66085,0.9959183526586619
630.780052,0.9954685979235199
630.899254,0.996036674787153
631.018456,0.9961341915509824
631.137658,0.9959770139771923
631.25686,0.9951276087966441
631.376062,0.9952680312088135
631.495264,0.9965137909870639
631.614466,0.9956436166867334
631.733668,0.9963647236744453
631.85287,0.9957507537037571
631.972072,0.9965250516565247
632.091274,0.9958054219207643
632.210476,0.9958327073631337
632.329678,0.9959804003047966
632.44888,0.9968197676859171
632.568082,0.9961335938706467
632.687284,0.9961789189803063
632.806486,0.9966627809355376
632.925688,0.9963262647383737
633.04489,0.9959247265565153
633.164092,0.9960201407155846
633.283294,0.996844688491618
633.402496,0.9961530186651183
633.521698,0.996375683746686
633.6409,0.9955526190188251
633.760102,0.9968892484451011
633.879304,0.9966404559392856
633.998506,0.9969088873567381
634.117708,0.9965767726488538
634.23691,0.9969595316145691
634.356112,0.9974372893638959
634.475314,0.9965593327079324
634.594516,0.99763779440914
634.713718,0.9965815562288431
634.83292,0.9970325117233226
634.952122,0.9963312463821514
635.071324,0.9978590950132697
635.190526,0.9965465768301116
635.309728,0.997959684279661
635.42893,0.9967089274905795
635.548132,0.9974782848789409
635.667334,0.9972244589561579
635.786536,0.9973264802366085
635.905738,0.9979765499408397
636.02494,0.9977771741444669
636.144142,0.9980655734194825
636.263344,0.9972723268790087
636.382546,0.9983454702459705
636.501748,0.9976885754652424
636.62095,0.9987288086490964
636.740152,0.9976078657242403
636.859354,0.9980782489327543
636.978556,0.997398489807996
637.097758,0.9973689672496336
637.21696,0.9982856711433038
637.336162,0.998007288091943
637.455364,0.9979779471089876
637.574566,0.9983500626456961
637.693768,0.9983573506277545
637.81297,0.9977024434328235
637.932172,0.9984628825769812
638.051374,0.9981747677660365
638.170576,0.9989058989654626
638.289778,0.9978120969567076
638.40898,0.9987998207918432
638.528182,0.9986643927183747
638.647384,0.9991607923318887
638.766586,0.9987694577388119
638.885788,0.9986523089523297
639.00499,0.9986185550747309
639.124192,0.9989457561059759
639.243394,0.9991031124442933
639.362596,0.9990757074217805
639.481798,0.9991576449803499
639.601,0.9984961319445699
639.720202,0.9986319366530253
639.839404,0.998575215969906
639.958606,0.9988700388873819
640.077808,0.9990080722858633
640.19701,0.9993106277263267
640.316212,0.9985006251872734
640.435414,0.9993198414127894
640.554616,0.9996256700789339
640.673818,0.9984542958331141
640.79302,0.999418409189538
640.912222,0.9991619014009837
641.031424,0.9987487834250165
641.150626,0.9986890600335149
641.269828,0.9998237355364062
641.38903,0.9986965502295534
641.508232,0.9992786502978811
641.627434,0.9984730669503237
641.746636,0.9989496520020218
641.865838,0.9982441433231689
641.98504,0.9969315174453316
642.104242,0.9937636274006966
642.223444,0.9944639805466294
642.342646,0.9956865298513847
642.461848,0.9977880499749382
642.58105,0.9983271008583169
642.700252,0.9983972857204763
642.819454,0.9992521797570386
642.938656,0.998480555526408
643.057858,0.9995126387990704
643.17706,0.9992307660122755
643.296262,0.9997946410890284
643.415464,0.9991640695846622
643.534666,0.9996212517432367
643.653868,0.9992103819125674
643.77307,0.9991214661370471
643.892272,0.99929400932877
644.011474,0.999222182656861
644.130676,0.9995446936833939
644.249878,0.9993024134267277
644.36908,0.9998683886615322
644.488282,0.999066655836875
644.607484,0.9999240458846599
644.726686,0.9986081694957631
644.845888,0.9996772520943145
644.96509,0.9993108175953641
645.084292,0.9998484114906994
645.203494,0.9990883757820679
645.322696,0.9999484273299158
645.441898,0.9992886930987815
645.5611,0.9991324865075958
645.680302,0.999501594245433
