nu,[0]Hexane-PNNL(x-sec)-X=0.01-T=278.08K-P=1.0atm-L=15cm
646.291778,1.0002316068167183
646.41078,1.0004045818211569
646.529782,1.0002184838641235
646.648784,1.0003341158042556
646.767786,0.9997036239280677
646.886788,0.9998250852993603
647.00579,0.9999820551610106
647.124792,1.0002231648975817
647.243794,0.9999715554045552
647.362796,1.000281029481388
647.481798,1.0001670539519576
647.6008,0.9998742179112303
647.719802,1.0005337223791306
647.838804,1.000294443339933
647.957806,1.0004494809863187
648.076808,1.0000244412986836
648.19581,1.0001691443032847
648.314812,0.9998416025462016
648.433814,1.0001322587454167
648.552816,0.9997081525957415
648.671818,0.9997733656854372
648.79082,1.000137899507263
648.909822,0.9997869327020615
649.028824,1.000056373588931
649.147826,1.0000399967998506
649.266828,1.0003026457879984
649.38583,1.0001264980001974
649.504832,1.0002722870633947
649.623834,1.0000453820297333
649.742836,1.0000966146668964
649.861838,0.99984055271307
649.98084,1.0002143529703156
650.099842,0.9994922689390612
650.218844,1.0002815496276585
650.337846,1.000059983798956
650.456848,1.0007224008058655
