nu,[0]Trichloroethene-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
687.946559,0.9988908156002679
688.064661,0.9989296732087704
688.182764,0.9985163017701497
688.300866,0.9986014788434413
688.418968,0.9987050391863084
688.537071,0.998188442854029
688.655173,0.9983099297798539
688.773275,0.9991220356364451
688.891378,0.9996845697585824
689.00948,0.9983191142734564
689.127583,0.9993020536779236
689.245685,0.9993787730414195
689.363787,0.9990209995339577
689.48189,0.9984507014041191
689.599992,0.9992035173608234
689.718094,0.9998044391245214
689.836197,0.9994906897425239
689.954299,0.9994603456658087
690.072401,0.9993673402136518
690.190504,0.9993777736631462
690.308606,0.9988614486419857
690.426709,0.9994639537241691
690.544811,0.9996189626131912
690.662913,0.9998990550952798
690.781016,0.999146634323771
690.899118,0.9988576529756925
691.01722,0.9994875213620592
691.135323,0.9997786545005305
691.253425,0.9999854091064482
691.371527,0.9998364333784787
691.48963,0.9990545072602036
691.607732,0.999333092481741
691.725835,0.999294988637379
691.843937,0.999448971871792
691.962039,0.9998209860249141
692.080142,0.9991256924297874
692.198244,0.9997175998824219
692.316346,0.9998507411402121
692.434449,0.9999828451471462
692.552551,0.9991714634261343
692.670653,0.999540555576928
692.788756,0.9996519006006597
692.906858,0.9996525503746062
693.02496,0.9994804350206539
693.143063,0.9999825341525297
693.261165,0.9998493813441288
693.379268,0.9995693927379304
693.49737,0.999387617582698
693.615472,0.9997619583364137
693.733575,0.999807958442341
693.851677,0.9999614177443144
693.969779,0.9998152370707727
694.087882,0.9997269572829494
694.205984,0.9994048771558897
694.324086,0.9990919025702591
694.442189,0.9997611685247786
694.560291,0.9995180361818928
694.678394,1.0
694.796496,0.9995128287064897
694.914598,0.9999626656969425
695.032701,0.9998807971052297
695.150803,0.9993225295867784
695.268905,1.0
695.387008,0.9997336454786656
695.50511,0.9999208501325161
695.623212,0.999509590290171
695.741315,0.9997168001086619
695.859417,0.9995439340297154
695.97752,0.9998128175208267
696.095622,0.999838073111574
696.213724,0.9999605137796013
696.331827,0.9999289165265498
696.449929,1.0
696.568031,0.99982664502771
696.686134,0.9998828068676517
696.804236,0.9997972905483379
696.922338,0.9995928329150251
697.040441,0.9999240838817743
697.158543,1.0
697.276646,0.9995443738291432
697.394748,0.9993086391001562
697.51285,0.999885656537712
697.630953,0.999498425830401
697.749055,1.0
697.867157,0.9999222660214423
697.98526,0.999997263203745
698.103362,0.9999949884125581
698.221464,1.0
698.339567,0.9989148891590091
698.457669,0.9999858111006634
698.575772,0.9999517011664262
698.693874,1.0
698.811976,1.0
698.930079,0.9999299414542145
699.048181,0.9999152775891462
699.166283,1.0
699.284386,0.9996949365413226
699.402488,0.9997532604452121
699.52059,1.0
699.638693,0.9997429030550853
699.756795,0.9999013648647649
699.874897,0.9993374295967739
699.993,0.9995321894574901
700.111102,0.9992892826792844
700.229205,1.0
700.347307,1.0
700.465409,1.0
700.583512,0.9999597578097387
700.701614,0.9998265750398473
700.819716,0.9998929257328586
700.937819,1.0
701.055921,1.0
701.174023,1.0
701.292126,1.0
701.410228,0.9996582883967136
701.528331,0.9998427423662781
701.646433,0.9999257507566115
701.764535,1.0
701.882638,0.9999447815245961
702.00074,1.0
702.118842,1.0
702.236945,0.9998507211431975
702.355047,0.9993499913472144
702.473149,0.9998775974917984
702.591252,0.9996826203755721
702.709354,0.9999573219107356
702.827457,1.0
702.945559,0.999862279484341
703.063661,0.9998638292720753
703.181764,0.999893675652834
703.299866,0.9997306562795345
703.417968,0.9995671537049984
703.536071,0.999525162770897
703.654173,0.9996684549732034
703.772275,0.9997590790261199
703.890378,0.9996813607762639
704.00848,0.9999761162852204
704.126583,0.9998607197004017
704.244685,1.0
704.362787,0.9999212231030628
704.48089,0.9999555999857098
704.598992,0.9995180661674343
704.717094,0.9999772502587793
704.835197,0.9997795642995201
704.953299,0.999944496540374
705.071401,0.9998913958978525
705.189504,1.0
705.307606,1.0
705.425709,1.0
705.543811,1.0
705.661913,0.9995038531215884
705.780016,0.9996611874099535
705.898118,0.999728366898953
706.01622,1.0
706.134323,1.0
706.252425,0.9996252402399881
706.370527,0.9997645877138218
706.48863,0.999902365766532
706.606732,0.9999591248354123
706.724834,0.9997330556359888
706.842937,1.0
706.961039,0.9998898260695933
707.079142,1.0
707.197244,0.9999224620062256
707.315346,0.9998775574966953
707.433449,0.9995248429228961
707.551551,0.9999555859863315
707.669653,0.9998228156989927
707.787756,1.0
707.905858,0.9996560291715346
708.02396,0.9999235379233736
708.142063,0.9998382930759743
708.260165,0.9997845432141478
708.378268,0.9997657674367313
708.49637,0.9998958354255061
708.614472,0.9999640506461935
708.732575,1.0
708.850677,0.9997491714627388
708.968779,0.9999231289547302
709.086882,0.9999287635374373
709.204984,0.9998658789950263
709.323086,0.9996485117864607
709.441189,0.9999762472821002
709.559291,1.0
709.677394,0.9999984919011372
709.795496,0.9999993163802336
709.913598,0.9998810570742708
710.031701,0.9997036939073238
710.149803,0.9996161936724998
710.267905,1.0
710.386008,1.0
710.50411,1.0
710.622212,0.9999076332660695
710.740315,0.9997269772774887
710.858417,0.9996465824666947
710.97652,1.0
711.094622,1.0
711.212724,1.0
711.330827,0.999816136904891
711.448929,0.9997683368380553
711.567031,0.9999473203876195
711.685134,0.9994779962913677
711.803236,1.0
711.921338,1.0
712.039441,0.999869038576196
712.157543,0.999957761892054
712.275646,0.999995804308802
712.393748,0.9998442421315166
712.51185,0.9999653016020034
712.629953,0.9998050590034658
712.748055,1.0
712.866157,0.9999814941712349
712.98426,1.0
713.102362,0.9999994527401498
713.220464,0.9993732265046208
713.338567,0.9996380055358123
713.456669,0.9998520909396238
