nu,[1](Z)-HFC-1225ye-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
692.806032,1.0
692.866297,1.0
692.926562,1.0
692.986827,1.0
693.047092,1.0
693.107357,1.0
693.167622,1.0
693.227887,1.0
693.288152,1.0
693.348417,1.0
693.408682,1.0
693.468947,1.0
693.529212,1.0
693.589477,1.0
693.649742,1.0
693.710007,1.0
693.770272,1.0
693.830537,1.0
693.890802,1.0
693.951067,1.0
694.011332,1.0
694.071597,1.0
694.131862,1.0
694.192127,1.0
694.252391,1.0
694.312656,1.0
694.372921,1.0
694.433186,1.0
694.493451,1.0
694.553716,1.0
694.613981,1.0
694.674246,1.0
694.734511,1.0
694.794776,1.0
694.855041,1.0
694.915306,1.0
694.975571,1.0
695.035836,1.0
695.096101,1.0
695.156366,1.0
695.216631,1.0
695.276896,1.0
695.337161,1.0
695.397426,1.0
695.457691,1.0
695.517956,1.0
695.578221,1.0
695.638486,1.0
695.698751,1.0
695.759016,1.0
695.819281,1.0
695.879546,1.0
695.939811,1.0
696.000076,1.0
696.060341,1.0
696.120606,1.0
696.180871,1.0
696.241136,1.0
696.301401,1.0
696.361666,1.0
696.421931,1.0
696.482196,1.0
696.542461,1.0
696.602726,1.0
696.66299,1.0
696.723255,1.0
696.78352,1.0
696.843785,1.0
696.90405,1.0
696.964315,1.0
697.02458,1.0
697.084845,1.0
697.14511,1.0
697.205375,1.0
697.26564,1.0
697.325905,1.0
697.38617,1.0
697.446435,1.0
697.5067,1.0
697.566965,1.0
697.62723,1.0
697.687495,1.0
697.74776,1.0
697.808025,1.0
697.86829,1.0
697.928555,1.0
697.98882,1.0
698.049085,1.0
698.10935,1.0
698.169615,1.0
698.22988,1.0
698.290145,1.0
698.35041,1.0
698.410675,1.0
698.47094,1.0
698.531205,1.0
698.59147,1.0
698.651735,1.0
698.712,1.0
698.772265,1.0
698.83253,1.0
698.892795,1.0
698.95306,1.0
699.013324,1.0
699.073589,1.0
699.133854,1.0
699.194119,1.0
699.254384,1.0
699.314649,1.0
699.374914,1.0
699.435179,1.0
699.495444,1.0
699.555709,1.0
699.615974,1.0
699.676239,1.0
699.736504,1.0
699.796769,1.0
699.857034,1.0
699.917299,1.0
699.977564,1.0
700.037829,1.0
700.098094,1.0
700.158359,1.0
700.218624,1.0
700.278889,1.0
700.339154,1.0
700.399419,1.0
700.459684,1.0
700.519949,1.0
700.580214,1.0
700.640479,1.0
700.700744,1.0
700.761009,1.0
700.821274,1.0
700.881539,1.0
700.941804,1.0
701.002069,1.0
701.062334,1.0
701.122599,1.0
701.182864,1.0
701.243129,1.0
701.303394,1.0
701.363659,1.0
701.423923,1.0
701.484188,1.0
701.544453,1.0
701.604718,1.0
701.664983,1.0
701.725248,1.0
701.785513,1.0
701.845778,1.0
701.906043,1.0
701.966308,1.0
702.026573,1.0
702.086838,1.0
702.147103,1.0
702.207368,1.0
702.267633,1.0
702.327898,1.0
702.388163,1.0
702.448428,1.0
702.508693,1.0
702.568958,1.0
702.629223,1.0
702.689488,1.0
702.749753,1.0
702.810018,1.0
702.870283,1.0
702.930548,1.0
702.990813,1.0
703.051078,1.0
703.111343,1.0
703.171608,1.0
703.231873,1.0
703.292138,1.0
703.352403,1.0
703.412668,1.0
703.472933,1.0
703.533198,1.0
703.593463,1.0
703.653728,1.0
703.713993,1.0
703.774258,1.0
703.834522,1.0
703.894787,1.0
703.955052,1.0
704.015317,1.0
704.075582,1.0
704.135847,1.0
704.196112,1.0
704.256377,1.0
704.316642,1.0
704.376907,1.0
704.437172,1.0
704.497437,1.0
704.557702,1.0
704.617967,1.0
704.678232,1.0
704.738497,1.0
704.798762,1.0
704.859027,1.0
704.919292,1.0
704.979557,1.0
705.039822,1.0
705.100087,1.0
705.160352,1.0
705.220617,1.0
705.280882,1.0
705.341147,1.0
705.401412,1.0
705.461677,1.0
705.521942,1.0
705.582207,1.0
705.642472,1.0
705.702737,1.0
705.763002,1.0
705.823267,1.0
705.883532,1.0
705.943797,1.0
706.004062,1.0
706.064327,1.0
706.124592,1.0
706.184856,1.0
706.245121,1.0
706.305386,1.0
706.365651,1.0
706.425916,1.0
706.486181,1.0
706.546446,1.0
706.606711,1.0
706.666976,1.0
706.727241,1.0
706.787506,1.0
706.847771,1.0
706.908036,1.0
706.968301,1.0
707.028566,1.0
707.088831,1.0
707.149096,1.0
707.209361,1.0
707.269626,1.0
707.329891,1.0
707.390156,1.0
707.450421,1.0
707.510686,1.0
707.570951,1.0
707.631216,1.0
707.691481,1.0
707.751746,1.0
707.812011,1.0
707.872276,1.0
707.932541,1.0
707.992806,1.0
708.053071,1.0
708.113336,1.0
