nu,[0]Ethylamine-PNNL(x-sec)-X=0.01-T=278.17K-P=1.0atm-L=15cm
633.664673,0.9777776368331341
633.792676,0.9772976658559666
633.920678,0.9772947339673669
634.048681,0.9774442715009934
634.176684,0.9774100615501686
634.304686,0.9770895236210743
634.432689,0.9772712791752103
634.560691,0.9776397799054825
634.688694,0.9776505340022088
634.816696,0.9778695522509534
634.944699,0.9773631469931725
635.072701,0.9770660737539069
635.200704,0.9773406678993023
635.328707,0.9773699885591469
635.456709,0.9773856266040679
635.584712,0.9775263802683195
635.712714,0.9772009181761361
635.840717,0.9771090656069659
635.968719,0.9771032029701602
636.096722,0.977557661612987
636.224724,0.977553751390161
636.352727,0.9777795923903634
636.48073,0.9777326600963127
636.608732,0.9776319588185276
636.736735,0.9774775051711937
636.864737,0.9767378347003746
636.99274,0.9770729132403613
637.120742,0.9774608881948506
637.248745,0.9775420208155279
637.376748,0.9769400403597213
637.50475,0.9766694654448974
637.632753,0.9765776628299361
637.760755,0.9766626287825677
637.888758,0.9772722564469781
638.01676,0.9768169536692604
638.144763,0.9769781417642679
638.272765,0.9767993711223377
638.400768,0.9769820496846507
638.528771,0.9770348081397993
638.656773,0.9764751275585349
638.784776,0.977261506511282
638.912778,0.976909755687885
639.040781,0.9764936807622134
639.168783,0.9762710655820945
639.296786,0.9762203008065798
639.424788,0.9763452650026211
639.552791,0.9763286672741971
639.680794,0.9763472176951037
639.808796,0.9760289803776363
639.936799,0.9756571841677879
640.064801,0.9753625801856096
640.192804,0.9754250053883267
640.320806,0.9759850600617338
640.448809,0.9759225990166647
640.576812,0.9760231242213225
640.704814,0.9758835628934316
640.832817,0.975726458287066
640.960819,0.9757850036309059
641.088822,0.9757010897289432
641.216824,0.9759362620286918
641.344827,0.9753118626501074
641.472829,0.9758250116362133
641.600832,0.9754571949446292
641.728835,0.9754093987130942
641.856837,0.9753547773161797
641.98484,0.9750661150262206
642.112842,0.9759957959564418
642.240845,0.9750553893579467
642.368847,0.975356728027685
642.49685,0.9749734881451396
642.624852,0.9748720961748464
642.752855,0.9747941095266599
642.880858,0.9747911851487179
643.00886,0.9751899562865826
643.136863,0.9748282279175617
643.264865,0.9747502447786954
643.392868,0.9749822629460195
643.52087,0.9743652944647001
643.648873,0.9743760125418884
643.776876,0.9744140139474002
643.904878,0.9746293832419131
644.032881,0.9740233522607104
644.160883,0.9739766002618588
644.288886,0.9738548607957013
644.416888,0.9741480352293395
644.544891,0.9744305791264409
644.672893,0.9744568891072605
644.800896,0.9744062186664698
644.928899,0.9739386159151482
645.056901,0.9742357124979281
645.184904,0.9742337640284515
645.312906,0.9743555508604735
645.440909,0.9745611615728724
645.568911,0.974577729253444
645.696914,0.9744042698559813
645.824916,0.9741733634075204
645.952919,0.9740477031489018
646.080922,0.973724372987233
646.208924,0.9739814701570348
646.336927,0.9741918728772645
646.464929,0.974368217564968
646.592932,0.9740136120758888
646.720934,0.9738090906928497
646.848937,0.9739541990576677
646.97694,0.9742337640284515
647.104942,0.9741967438488063
647.232945,0.9742366867341277
647.360947,0.9735783252851364
647.48895,0.9737672178022235
647.616952,0.9734907071787346
647.744955,0.9740817954151231
647.872957,0.9738840768797642
648.00096,0.9742152537627831
648.128963,0.9742542231523161
648.256965,0.9738460961413951
648.384968,0.9734984951355439
648.51297,0.973542303553507
648.640973,0.9737360577498173
648.768975,0.9739756262857455
648.896978,0.9741548542894528
649.02498,0.9740632880368308
649.152983,0.9737068461062617
649.280986,0.9735841667726126
649.408988,0.9734546886889153
649.536991,0.9738831029961742
649.664993,0.974015560105061
649.792996,0.9737886409166685
649.920998,0.9735929290695439
650.049001,0.9737487164008491
650.177004,0.9736659512775226
650.305006,0.9736416099330087
650.433009,0.9736620566215068
650.561011,0.9740681583654469
650.689014,0.9732775360569524
650.817016,0.9737058723999024
650.945019,0.9734566356002395
651.073021,0.9732347127874847
651.201024,0.9736503727469308
651.329027,0.9738957635588067
651.457029,0.9736513463977903
651.585032,0.9731442061678185
651.713034,0.9732522311699798
651.841037,0.9733077081282349
651.969039,0.9733300944629637
652.097042,0.9736834774223805
652.225045,0.9735238064254628
652.353047,0.9734459276361419
652.48105,0.9730332740515661
652.609052,0.9730108945436283
652.737055,0.9730478696601438
652.865057,0.972900950524499
652.99306,0.9733485879104457
653.121062,0.9733310677935448
653.249065,0.9732444451832745
653.377068,0.9729710019147565
