nu,[0]2-Pentanone-PNNL(x-sec)-X=0.01-T=278.19K-P=1.0atm-L=15cm
546.312526,0.9679711460010285
546.432129,0.9631809330933663
546.551731,0.9677407962809843
546.671333,0.9668044764420991
546.790936,0.96975579200633
546.910538,0.9662139393344511
547.030141,0.97626618423897
547.149743,0.9630605430012671
547.269345,0.9763686975701708
547.388948,0.9758591661093203
547.50855,0.9720033772409575
547.628153,0.9680079296034606
547.747755,0.9639575698680155
547.867357,0.9775742802344922
547.98696,0.9634631864548608
548.106562,0.9749647134232327
548.226165,0.9814207620568774
548.345767,0.9681599187792465
548.465369,0.971216373285024
548.584972,0.9766811855488032
548.704574,0.9666710666298389
548.824176,0.9691246864328866
548.943779,0.9670404055165276
549.063381,0.9718974346468146
549.182984,0.9746235354831569
549.302586,0.9684804327544989
549.422188,0.9701534734001674
549.541791,0.9724117044021002
549.661393,0.973434246355098
549.780996,0.9737769555230901
549.900598,0.9753479498566346
550.0202,0.9772683473657705
550.139803,0.9730887385289096
550.259405,0.9807075284546902
550.379008,0.9803319893916133
550.49861,0.9709842803080244
550.618212,0.9783449123564965
550.737815,0.9762134672883915
550.857417,0.9744364257274555
550.97702,0.9780084195867205
551.096622,0.973801300251286
551.216224,0.9746898121369504
551.335827,0.9759938439668019
551.455429,0.9767378347003746
551.575032,0.9716836407293855
551.694634,0.9787686274312404
551.814236,0.9806437845370405
551.933839,0.977761014754596
552.053441,0.9784535146690849
552.173043,0.9795490169712255
552.292646,0.9797674807598172
552.412248,0.975324541786736
552.531851,0.98533854140738
552.651453,0.9702000418845254
552.771055,0.9766919291009337
552.890658,0.9681608869396493
553.01026,0.9832016918234984
553.129863,0.9838783673371579
553.249465,0.9752572467150594
553.369067,0.9751148695508249
553.48867,0.9700836248646602
553.608272,0.9768286755430354
553.727875,0.9792032971913658
553.847477,0.98039571304192
553.967079,0.9794275604235827
554.086682,0.9773651017214212
554.206284,0.9779477849443995
554.325887,0.9835016140753229
554.445489,0.9909465316927433
554.565091,0.9811008710335168
554.684694,0.9808330670526313
554.804296,0.9769742338595166
554.923898,0.9747083314193137
555.043501,0.9822612178929767
555.163103,0.9845151426154143
555.282706,0.9746040432073706
555.402308,0.980192792132359
555.52191,0.978403614812294
555.641513,0.9750056628011273
555.761115,0.9788195247231849
555.880718,0.9801388830113061
556.00032,0.9794314781416599
556.119922,0.9796802853342836
556.239525,0.9774032197036843
556.359127,0.9828222492075906
556.47873,0.9809949178610194
556.598332,0.9882989954923893
556.717934,0.9843773201432462
556.837537,0.9816386616520143
556.957139,0.9853809118756189
557.076742,0.9821541572551371
557.196344,0.9880687486512383
557.315946,0.9805319975175845
557.435549,0.9823751668031613
557.555151,0.979007476114688
557.674753,0.9887794255392437
557.794356,0.9793178706795556
557.913958,0.976068022317685
558.033561,0.9771960321837602
558.153163,0.9774950999246391
558.272765,0.9859762617239466
558.392368,0.9768970559436095
558.51197,0.9815297058077321
558.631573,0.9838980451012816
558.751175,0.9823879377633408
558.870777,0.9782480610043942
558.99038,0.972465188516642
559.109982,0.9855257735167344
559.229585,0.9767739746688439
559.349187,0.9823840082194488
559.468789,0.9823928497153095
559.588392,0.9803015995709868
559.707994,0.9799654137814928
559.827597,0.9836540686404281
559.947199,0.9803457141355377
560.066801,0.9872687370132848
560.186404,0.9828124210342395
