nu,[0]Syringol-PNNL(x-sec)-X=0.01-T=323.15K-P=1.0atm-L=15cm
661.579232,1.0204615245405784
661.697634,0.9892442610970464
661.816036,0.9893728712104652
661.934439,0.9960425514208703
662.052841,1.008645256231133
662.171243,1.0077385892960964
662.289646,0.9978128952067044
662.408048,1.014865407243381
662.526451,1.0100511771348402
662.644853,1.0128063073250455
662.763255,0.9918147828168694
662.881658,0.9938931232378174
663.00006,0.9953546232942297
663.118462,1.0155130979645723
663.236865,1.01568676555248
663.355267,1.0192101861030922
663.473669,0.9967643460475696
663.592072,0.9898419451131515
663.710474,0.9987995211519418
663.828877,1.004989807833088
663.947279,1.0048288213612335
664.065681,1.0109778188645724
664.184084,1.0085546839538795
664.302486,1.0013896646903484
664.420888,1.0117181255471708
664.539291,0.9762320155204777
664.657693,1.0123496346678666
664.776096,0.9878800455419665
664.894498,1.007514190899949
665.0129,1.0178036282877996
665.131303,1.0178860737206858
665.249705,1.0121299786306859
665.368107,0.983814417321679
665.48651,0.9861064191806973
665.604912,0.996456692382731
665.723314,1.011152733156886
665.841717,1.0099182631458614
665.960119,1.0105836143900842
666.078522,0.9834013020266886
666.196924,0.9992324746983463
666.315326,0.9837475202158286
666.433729,0.9922229985846325
666.552131,1.0005211157336507
666.670533,1.0128397304846664
666.788936,1.0006292879186147
666.907338,1.007159406883047
667.025741,0.9888901750367602
667.144143,0.9868758822392394
667.262545,0.9882644056328732
667.380948,1.0004661085948678
667.49935,1.0107665465791524
667.617752,1.0284666461718024
667.736155,0.9905965911808817
667.854557,0.9952425526733412
667.972959,0.9882861476889588
668.091362,0.9891502873560656
668.209764,1.0279330104728814
668.328167,1.022467680374944
668.446569,1.0118779896399381
668.564971,0.9955985150524572
668.683374,0.9883573068532916
668.801776,0.9872193748104995
668.920178,0.9836098052032741
669.038581,1.0120085303202944
669.156983,1.016178476931562
669.275386,0.997709826458222
669.393788,1.0146563665014243
669.51219,0.9997614984460187
669.630593,0.9733223078533544
669.748995,0.9770094055650225
669.867397,1.0029496416574932
669.9858,1.013868284714076
670.104202,1.0256822490496615
670.222604,0.9890266512975607
670.341007,0.9903764060331481
670.459409,0.9878089207392111
670.577812,0.9676672507752315
670.696214,0.9969801688904686
670.814616,1.009994716852118
670.933019,1.0127161715747939
671.051421,1.0147253654802852
671.169823,1.0079313881288492
671.288226,0.9704416517741375
671.406628,0.9765102812958906
671.525031,0.9887388864138543
671.643433,0.9861093775043923
671.761835,1.015514113478178
671.880238,1.0253448550940731
671.99864,0.9883266682516799
672.117042,0.9792013387867299
672.235445,0.9901612206208589
672.353847,0.97908873710749
672.472249,1.0131233653162253
672.590652,1.0149780635558945
672.709054,1.0248866283651499
672.827457,1.005039857571746
672.945859,0.9772712791752103
673.064261,0.9852094705127837
673.182664,0.9781169845465384
673.301066,0.9929130318410172
673.419468,1.0338678879673895
673.537871,1.0282116180683436
673.656273,1.0017572421436267
673.774675,0.9844422911903967
673.893078,0.9841922746018852
674.01148,0.9774188582803077
674.129883,0.9775879663702183
674.248285,1.0254740566853444
674.366687,1.0101441061178043
674.48509,0.9890088489780587
674.603492,0.9859417531586897
674.721894,0.9872904571644199
674.840297,0.9966591929559846
674.958699,0.9817113056007695
675.077102,1.0181487222079038
675.195504,0.9920710016645107
675.313906,0.9966083646332772
675.432309,0.9867120744392112
675.550711,0.9614429981558241
675.669113,0.9775097624611068
675.787516,1.0026948245294351
675.905918,0.9981711743433407
676.02432,0.9848361468727579
676.142723,1.0043226156673855
676.261125,1.001708457753844
676.379528,0.9852094705127837
676.49793,0.9709085464878178
676.616332,0.9690985204195958
676.734735,1.004298512213852
676.853137,1.0004216588731207
676.971539,1.0075542907627288
677.089942,1.003311169851814
677.208344,0.9600959995390789
677.326747,0.9547459450674602
677.445149,0.9719061817630884
677.563551,1.0158462408931583
677.681954,0.9840948443895747
677.800356,1.016582996459427
677.918758,0.9637609425804277
678.037161,0.97114644822348
678.155563,0.9500059796869922
678.273965,0.9826286522944188
678.392368,0.9951621403237878
678.51077,0.9903471903601034
678.629173,0.9922170452645009
678.747575,0.9720286496573058
678.865977,0.9679237165769048
678.98438,0.9640317974586209
679.102782,0.9731889718309046
679.221184,0.9768618882826173
679.339587,1.0077726514360617
679.457989,0.9965094063360298
679.576392,0.9800408740235361
679.694794,0.9703125916171422
679.813196,0.9656817020987019
679.931599,0.9561992185842455
680.050001,0.9600393555461203
680.168403,1.008717175201783
680.286806,0.9768941252568377
680.405208,0.9891324828111345
680.52361,0.957363621428678
680.642013,0.9669301691938884
680.760415,0.9564775130467339
680.878818,0.9892363471746134
680.99722,0.9747785129456805
681.115622,0.9989885118993047
681.234025,0.9994357992211507
681.352427,0.947854755465011
681.470829,0.9500411305585278
681.589232,0.9740165341211081
681.707634,0.9482737998689176
681.826037,0.9583962158809911
681.944439,0.9673644183214902
682.062841,0.9626994630043725
682.181244,0.9536715061559428
682.299646,0.9364735508957728
682.418048,0.9418832033915212
682.536451,0.9515310120273782
682.654853,0.9483079383402017
682.773255,0.9648216629064895
