nu,[0]Isopentane-PNNL(x-sec)-X=0.01-T=278.14K-P=1.0atm-L=15cm
788.02212,0.98903456354242
788.263174,0.989100831078115
788.504228,0.9893718818380888
788.745282,0.9892600891318479
788.986336,0.9892640461801185
789.22739,0.989354073304493
789.468444,0.9896677482605842
789.709498,0.9897004078351569
789.950552,0.9897835461611758
790.191606,0.989833036575734
790.43266,0.9897855257302477
790.673714,0.9902063730019857
790.914768,0.9900751793493343
791.155822,0.9903586784541424
791.396876,0.9900746843118684
791.63793,0.9903303546009716
791.878984,0.9906439428296355
792.120038,0.9906949623064315
792.361092,0.9907175504090755
792.602146,0.9908835094974546
792.8432,0.9909705128889815
793.084254,0.9909129391747152
793.325308,0.9913181071949506
793.566362,0.9915507968597733
793.807416,0.9914806966965054
794.04847,0.9915510943250571
794.289524,0.9920172328733678
794.530578,0.9917794748390869
794.771632,0.9919055380214845
795.012686,0.9916104900144903
795.25374,0.9912912428382593
795.494794,0.9911005367496513
795.735848,0.991460173258502
795.976902,0.9920181256892792
796.217956,0.9922833275769292
796.45901,0.9924737650193793
796.700064,0.9926738679000999
796.941118,0.9927713532603806
797.182172,0.9925259705124119
797.423226,0.9925956482812028
797.66428,0.9923802783940038
797.905334,0.9925845312721975
798.146388,0.9923562630818531
798.387442,0.9924429988095425
798.628496,0.9922026582216509
798.86955,0.9923389962330974
799.110604,0.9922360960146566
799.351658,0.9920076103528783
799.592712,0.9920801287597105
799.833766,0.9919211110606795
800.07482,0.9922490943926536
800.315874,0.9920545334225698
800.556928,0.9921502713043235
800.797982,0.9922254791452296
801.039036,0.9924207683353514
801.28009,0.9923662859307255
801.521144,0.992545324957542
801.762198,0.9924217607566159
802.003252,0.9922718171570899
802.244306,0.9924644358098356
802.48536,0.992656694790733
802.726414,0.9926561984625097
802.967468,0.9926008097919938
803.208522,0.9928596145568419
803.449576,0.9929219680985168
803.69063,0.9929380535646919
803.931684,0.9929442097997083
804.172738,0.9931246441545937
804.413792,0.9934245137477015
804.654846,0.9933615326300523
804.8959,0.9932720347879007
805.136954,0.9935413473401987
805.378008,0.9934893864865211
805.619062,0.9936309688115964
805.860116,0.9938860666216935
806.10117,0.9938696676368862
806.342224,0.9938856690673463
806.583278,0.993894315910281
806.824332,0.9942031668517435
807.065386,0.9942890697163098
807.30644,0.9942955326162674
807.547494,0.9943752783157429
807.788548,0.994362252084919
