nu,[0]1-1-1-3-3-3-Hexafluoropropan-2-ol-HITRAN(x-sec)-X=0.01-T=300.4K-P=0.0atm-L=15cm
563.558564,0.9999928627254705
563.677566,0.9999929525248336
563.796568,0.9999931640233654
563.91557,0.9999931382235421
564.034572,0.9999931486234708
564.153574,0.9999931488234695
564.272576,0.999993308522388
564.391578,0.9999937535195094
564.51058,0.9999939715181714
564.629582,0.9999937491195369
564.748584,0.9999935882205555
564.867586,0.999993634320261
564.986588,0.9999944286155202
565.10559,0.9999942452165588
565.224592,0.9999944544153768
565.343594,0.9999941174173025
565.462596,0.9999942370166061
565.581598,0.9999940884174735
565.7006,0.9999945906146308
565.819602,0.9999944878151922
565.938604,0.9999947344138632
566.057606,0.9999945617147875
566.176608,0.9999946342143958
566.29561,0.9999946344143948
566.414612,0.9999946385143729
566.533614,0.9999954212104827
566.652616,0.9999948854130796
566.771618,0.9999952458113012
566.89062,0.9999948107134644
567.009622,0.9999949062129734
567.128624,0.9999951168119228
567.247626,0.9999955562098737
567.366628,0.9999954340104241
567.48563,0.9999954089105391
567.604632,0.9999953128109849
567.723634,0.9999952622112234
567.842636,0.9999954567103208
567.961638,0.9999955617098493
568.08064,0.9999956421094957
568.199642,0.9999958671085404
568.318644,0.9999971730039959
568.437646,0.9999958341086773
568.556648,0.9999954651102826
568.67565,0.9999959767080935
568.794652,0.9999956970092579
568.913654,0.9999958197087374
569.032656,0.9999961387074549
569.151658,0.9999961386074552
569.27066,0.9999955177100455
569.389662,0.9999956111096312
569.508664,0.9999958535085968
569.627666,0.9999961884072641
569.746668,0.9999960170079322
569.86567,0.9999960557077787
569.984672,0.9999959243083056
570.103674,0.9999958332086811
570.222676,0.9999959811080757
570.341678,0.9999966041057661
570.46068,0.9999962435070556
570.579682,0.9999960992076081
570.698684,0.999997089704235
570.817686,0.9999961288074931
570.936688,0.9999963452066788
571.05569,0.9999968686049028
571.174692,0.9999967380053203
571.293694,0.9999960951076241
571.412696,0.9999964094064462
571.531698,0.9999961699073349
571.6507,0.9999962089071862
571.769702,0.9999963868065276
571.888704,0.9999964217064021
572.007706,0.9999981407017285
572.126708,0.9999962961068595
572.24571,0.9999967853051671
572.364712,0.9999963911065121
572.483714,0.9999963780065594
572.602716,0.9999970015044954
572.721718,0.9999969552046354
572.84072,0.9999970529043427
572.959722,0.9999965203060541
573.078724,0.9999963526066518
573.197726,0.9999963522066532
573.316728,0.9999963089068121
573.43573,0.999996478906199
573.554732,0.9999963724065797
573.673734,0.9999963625066157
573.792736,0.9999967486052858
573.911738,0.99999722510385
574.03074,0.9999967358053274
574.149742,0.9999970920042283
574.268744,0.9999978273023603
574.387746,0.9999965152060719
574.506748,0.9999965119060834
574.62575,0.9999964397063379
574.744752,0.999999149090362
574.863754,0.9999978046024098
574.982756,0.9999971885039523
575.101758,0.99999925159028
575.22076,0.9999965834058365
575.339762,0.9999966740055312
575.458764,0.9999967566052598
575.577766,0.9999969383046869
575.696768,0.9999967776051919
575.81577,0.9999964685062357
575.934772,0.9999973827034251
576.053774,0.9999977725024809
576.172776,0.9999966981054512
576.291778,0.9999968446049783
576.41078,0.9999966195057138
576.529782,0.9999972207038622
576.648784,0.9999972793037011
576.767786,0.9999981998016204
576.886788,0.9999964195064099
577.00579,0.9999965696058838
577.124792,0.99999680940509
577.243794,0.9999974657032114
577.362796,0.9999968065050993
577.481798,0.9999971659040161
577.6008,0.9999974323032965
577.719802,0.9999969833045502
577.838804,0.9999976632027303
577.957806,0.9999979279021468
578.076808,0.9999969762045717
578.19581,0.9999974867031584
578.314812,0.9999965952057963
578.433814,0.9999982548015228
578.552816,0.9999983967012853
578.671818,0.9999989968005032
578.79082,0.9999973907034042
578.909822,0.9999974649032134
579.028824,0.9999968963048165
579.147826,0.9999984829011508
579.266828,0.9999995464901028
579.38583,0.9999979315021393
579.504832,0.9999983943012891
579.623834,0.9999977645024988
579.742836,0.9999979454021107
579.861838,0.9999973066036272
579.98084,0.999999474720138
580.099842,0.9999973322035586
580.218844,0.9999979352021316
580.337846,0.9999970660043042
580.456848,0.9999984989011267
580.57585,0.9999977029026383
580.694852,0.9999982383015518
580.813854,0.9999978932022193
580.932856,0.9999978778022519
581.051858,0.9999969020047988
581.17086,0.9999978518023074
581.289862,0.9999976782026954
581.408864,0.9999984484012038
581.527866,0.9999972238038536
581.646868,0.9999970327044024
581.76587,0.9999975730029451
581.884872,0.9999981075017907
582.003874,0.9999981354017383
582.122876,0.9999978564022975
582.241878,0.9999974307033006
582.36088,0.9999979774020454
582.479882,0.9999990874104164
582.598884,0.9999975203030744
582.717886,0.9999986863008629
582.836888,0.9999971901039477
582.95589,0.9999973766034411
583.074892,0.9999982915014595
583.193894,0.9999974825031689
