nu,[0]1-2-Dichloroethane-HITRAN(x-sec)-X=0.01-T=278.1K-P=1.0atm-L=15cm
637.906236,0.9945979438670361
638.025438,0.9954128532429019
638.14464,0.9954137491148729
638.263842,0.9938800039351783
638.383044,0.9940813844231302
638.502246,0.9941982952681613
638.621448,0.9953599982237078
638.74065,0.9941249261413245
638.859852,0.9949166641045066
638.979054,0.9944565220947446
639.098256,0.9935617151465885
639.217458,0.9934127914076012
639.33666,0.9951691064831516
639.455862,0.9935211786555606
639.575064,0.994433450971058
639.694266,0.993847802744713
639.813468,0.9937227845549367
639.93267,0.9940015628928384
640.051872,0.9933635193551044
640.171074,0.993853666464047
640.290276,0.9938557535589381
640.409478,0.9935662855409901
640.52868,0.9935141246802338
640.647882,0.9928392611433667
640.767084,0.9931844320577696
640.886286,0.9930498646843712
641.005488,0.992472971040685
641.12469,0.9924636418386045
641.243892,0.9933295469036746
641.363094,0.992815532568583
641.482296,0.9926486543040693
641.601498,0.9928327084258671
641.7207,0.9921121734653887
641.839902,0.9919365851507096
641.959104,0.9920666365617066
642.078306,0.9921134632120525
642.197508,0.9912511954810108
642.31671,0.9919198215640732
642.435912,0.990756882676567
642.555114,0.9909780442934988
642.674316,0.9911176829372512
642.793518,0.9912602159079326
642.91272,0.9905285395326685
643.031922,0.9904975364745815
643.151124,0.9909768551205591
643.270326,0.9910159003778374
643.389528,0.9905051633349757
643.50873,0.9898112604884671
643.627932,0.9905243793215389
643.747134,0.989195789315821
643.866336,0.9896222245912167
643.985538,0.9905556803864797
644.10474,0.9897261403802823
644.223942,0.9901194366989956
644.343144,0.9888150222393
644.462346,0.9902133044708568
644.581548,0.98894357654804
644.70075,0.9896578516325849
644.819952,0.9884225405882335
644.939154,0.9895143616473735
645.058356,0.9877763235826827
645.177558,0.9891057765946342
645.29676,0.9886143131624459
645.415962,0.988705269863201
645.535164,0.9878108963590282
645.654366,0.9876449580676466
645.773568,0.9879551272784975
645.89277,0.9875254602574838
646.011972,0.9872795970291219
646.131174,0.9872588643752779
646.250376,0.987275647918632
646.369578,0.9865443476437381
646.48878,0.9862257452765014
646.607982,0.9865423745570159
646.727184,0.9858480931410609
646.846386,0.9858264047215853
646.965588,0.9860344360395138
647.08479,0.9853887949544463
647.203992,0.9859969674428521
647.323194,0.9858441497565751
647.442396,0.9847721346036324
647.561598,0.9846017837601189
647.6808,0.9843349928285239
647.800002,0.984586030257607
647.919204,0.9847425918827374
648.038406,0.9839305142725083
648.157608,0.9834957130833414
648.27681,0.9836511176826487
648.396012,0.9838203202258916
648.515214,0.9826846637239102
648.634416,0.983518333744879
648.753618,0.9829628028385724
648.87282,0.9831859607222783
648.992022,0.982380078691275
649.111224,0.9822906861715355
649.230426,0.9812313661270956
649.349628,0.9817397756414454
649.46883,0.9811518896052819
649.588032,0.9816818547033671
649.707234,0.9808978041713582
649.826436,0.9799428748361747
649.945638,0.9803300287295952
650.06484,0.9809448883959708
650.184042,0.9793139534159074
650.303244,0.9798938789173411
650.422446,0.9800673354843629
650.541648,0.9792669474742951
650.66085,0.9801379028729132
650.780052,0.9789663586641637
650.899254,0.9785533220176694
651.018456,0.9784417732973573
651.137658,0.9778793309953695
651.25686,0.9780993785992707
651.376062,0.9779585424291999
651.495264,0.9774335196731422
651.614466,0.9770396933260529
651.733668,0.977416903444546
651.85287,0.9761236597806098
651.972072,0.9759304064286863
652.091274,0.9753235664626819
652.210476,0.9750358884451692
652.329678,0.9746956602933677
652.44888,0.9749842129124954
652.568082,0.9746829893321454
652.687284,0.974921815919594
652.806486,0.9737156095073118
652.925688,0.9742035632498811
653.04489,0.973444954190701
653.164092,0.9724515740993039
