nu,[0]HFE-245fa2-HITRAN(x-sec)-X=0.01-T=296.0K-P=0.9211atm-L=15cm
535.852634,0.8709506175548645
536.093688,0.8745550817004126
536.334742,0.8758153481921612
536.575796,0.8751324785743438
536.81685,0.8808481754171166
537.057904,0.8813680291823933
537.298958,0.8871865527635837
537.540012,0.8966228163043364
537.781066,0.8925703008241435
538.02212,0.8875681250134264
538.263174,0.892954188583451
538.504228,0.895278890276387
538.745282,0.8927845434044225
538.986336,0.895869969378617
539.22739,0.8936956482231598
539.468444,0.8902882431341844
539.709498,0.8971699230728816
539.950552,0.8911344188349803
540.191606,0.8941515492486335
540.43266,0.9003065162758775
540.673714,0.8930970726840476
540.914768,0.8956997702538639
541.155822,0.9013514777952638
541.396876,0.8948850542149528
541.63793,0.8921776562799152
541.878984,0.9001084706281169
542.120038,0.8902259251383203
542.361092,0.8893094644936826
542.602146,0.8879676205494366
542.8432,0.8877456563909751
543.084254,0.883865833430936
543.325308,0.8853519760413521
543.566362,0.8799061719311603
543.807416,0.8795454843466759
544.04847,0.8816060306790288
544.289524,0.87279899144813
544.530578,0.8703759797985972
544.771632,0.868098579428758
545.012686,0.8629314700776746
545.25374,0.8636307277295545
545.494794,0.8512665327280955
545.735848,0.8493278559648203
545.976902,0.8527149166112148
546.217956,0.8434201892722472
546.45901,0.8440529916854437
546.700064,0.8358968990483184
546.941118,0.8390038363487978
547.182172,0.8378635666904847
547.423226,0.8270418339916902
547.66428,0.8268350993760959
547.905334,0.8190091688620296
548.146388,0.8305476304816474
548.387442,0.8227606062691737
548.628496,0.8249603123887919
548.86955,0.812808292356257
549.110604,0.8193368380590449
549.351658,0.8179860469853439
549.592712,0.8212973950343502
549.833766,0.8219793548464005
550.07482,0.823929756230092
550.315874,0.8160660366706528
550.556928,0.8331263230445102
550.797982,0.8271328135972158
551.039036,0.8281094063936931
551.28009,0.827447183792937
551.521144,0.8227688339163746
551.762198,0.8315033096669089
552.003252,0.8341099923564583
552.244306,0.8266118840346915
552.48536,0.8220862191085571
552.726414,0.818395142274136
552.967468,0.812913964302791
553.208522,0.819115646974909
553.449576,0.8067511682152364
553.69063,0.8086492628482171
553.931684,0.8105761401682565
554.172738,0.8068479841642631
554.413792,0.8187143786266654
554.654846,0.8202960231734469
554.8959,0.8220204548416341
555.136954,0.8124588599239009
555.378008,0.8097983604676847
555.619062,0.8248035848190286
555.860116,0.8220286750872837
556.10117,0.824341824116594
556.342224,0.8247870889122918
556.583278,0.8289959576788876
556.824332,0.8237567491476632
557.065386,0.83417672382507
557.30644,0.8394402317966823
557.547494,0.8390038363487978
557.788548,0.8344770815067859
558.029602,0.8496676550624951
558.270656,0.8521523104467084
558.51171,0.8532096347172315
558.752764,0.8526125969605233
558.993818,0.8643737696176177
559.234872,0.870306352505342
559.475926,0.8792992460860242
559.71698,0.8738819334828262
559.958034,0.8817823695184608
560.199088,0.8825498539872767
560.440142,0.8869381753032771
560.681196,0.897322454924644
560.92225,0.8977622506687148
561.163304,0.9007117453779114
561.404358,0.906035310170943
561.645412,0.9182092253550977
561.886466,0.9134533242328853
562.12752,0.9160521349897336
562.368574,0.9180604875086811
562.609628,0.9192731275185237
562.850682,0.9234958251825515
563.091736,0.9351830438781829
563.33279,0.9265465422813288
563.573844,0.9353308144726852
563.814898,0.9320209369595469
564.055952,0.9446989251276101
564.297006,0.9424682945128176
564.53806,0.9403886798303102
564.779114,0.9481988891977383
565.020168,0.9449360743187956
565.261222,0.944979542377972
565.502276,0.9538679827226024
565.74333,0.9462088146369091
565.984384,0.9498824869368356
566.225438,0.9547153936860427
566.466492,0.9523468236300264
566.707546,0.9536304991628347
566.9486,0.9511618896090915
567.189654,0.954997076273319
567.430708,0.9531604751971748
567.671762,0.9567013549732709
567.912816,0.961387236079047
568.15387,0.9569864944607264
568.394924,0.9531366464831551
568.635978,0.9619748231698676
568.877032,0.9551040419358269
569.118086,0.9599318371594412
569.35914,0.9603955962255878
569.600194,0.9600873587139668
569.841248,0.9609047408029822
570.082302,0.9640713235725965
570.323356,0.9658748577540432
570.56441,0.9578117724626689
570.805464,0.9612180468145891
571.046518,0.9644319536812394
571.287572,0.9617776385432326
571.528626,0.9610325496326078
571.76968,0.9668499173203442
572.010734,0.9593944258198513
572.251788,0.9702592258921742
572.492842,0.9722921051179655
572.733896,0.9621479942229655
572.97495,0.9666962004043089
573.216004,0.9746761665750997
573.457058,0.964797542666421
573.698112,0.9723669744924935
573.939166,0.9665947026319928
574.18022,0.968474621889335
574.421274,0.9688359303031299
574.662328,0.9691295320684329
574.903382,0.9715553869537447
575.144436,0.9696801540044739
575.38549,0.9755723056850328
575.626544,0.9660236139360694
575.867598,0.9675675861812164
576.108652,0.973018678661921
576.349706,0.9755479166822545
576.59076,0.9735744309796239
576.831814,0.9712659065831499
577.072868,0.9760250762695231
577.313922,0.9704659131186975
577.554976,0.9781297001499888
577.79603,0.9716486607479627
578.037084,0.9751782540773205
578.278138,0.9749071922020334
578.519192,0.9798154905426045
578.760246,0.9768394207175648
579.0013,0.9772263257303054
579.242354,0.9809517550342227
579.483408,0.9763550285040885
579.724462,0.9810106139052733
579.965516,0.9818929389928763
580.20657,0.9798478249873078
580.447624,0.9780015735517446
580.688678,0.9823987440900909
580.929732,0.9774208131199792
581.170786,0.9812902417753151
581.41184,0.9807624496140618
581.652894,0.9793110154784541
581.893948,0.9860364081103579
582.135002,0.9807712765158294
582.376056,0.981769228276502
582.61711,0.9805114065618423
582.858164,0.9858589375297295
583.099218,0.9851848405838963
583.340272,0.9823122968043473
583.581326,0.9778979108791668
583.82238,0.9903092607890686
584.063434,0.9830738839112556
584.304488,0.9807094898717086
584.545542,0.987004184443393
584.786596,0.9836166904960091
585.02765,0.9908305977308042
585.268704,0.9865670384246769
585.509758,0.9902761850121268
585.750812,0.9843192435946329
585.991866,0.9869745747620071
586.23292,0.9885708150896313
586.473974,0.9866962871723186
586.715028,0.9881300108127621
586.956082,0.9840771308417982
587.197136,0.985794858781372
587.43819,0.9874217755277003
587.679244,0.9850912524695467
587.920298,0.9950383498534584
588.161352,0.9845476321511949
588.402406,0.993011831602892
588.64346,0.9871946946346327
588.884514,0.9838016278173858
589.125568,0.9912646765889406
589.366622,0.9897993828246074
589.607676,0.987805957316894
589.84873,0.9918423556510924
590.089784,0.9839452733409152
590.330838,0.9888397429238631
590.571892,0.9947258573872805
590.812946,0.9901615176692696
591.054,0.9892947138408964
591.295054,0.9878839970700517
591.536108,0.9928547495566499
591.777162,0.9869972754382834
592.018216,0.9891483090574692
592.25927,0.9913564719480523
592.500324,0.9849897932957794
592.741378,0.988565872247913
592.982432,0.9884106795889126
593.223486,0.9867535172166298
593.46454,0.9872914444553706
593.705594,0.9881151889737639
593.946648,0.9903964118386079
594.187702,0.988755695117797
594.428756,0.9859545704847932
594.66981,0.9891750164223615
594.910864,0.9859309078590542
595.151918,0.9857376843376375
595.392972,0.9849159218314968
595.634026,0.9861093775043923
595.87508,0.9839423215095229
596.116134,0.9874711478507745
596.357188,0.9846716929685133
596.598242,0.9933267655848371
596.839296,0.9871867971086657
597.08035,0.9875333604927667
597.321404,0.9905009041719306
597.562458,0.9870989413933604
597.803512,0.988468997539371
598.044566,0.9921255670701371
598.28562,0.9866321539980032
598.526674,0.9833304996818577
598.767728,0.9872322087457924
599.008782,0.9917205648879244
599.249836,0.9794579231485756
599.49089,0.9942560598671617
599.731944,0.982852717169567
599.972998,0.9836707909017338
600.214052,0.9883830044773375
600.455106,0.9872647879462348
600.69616,0.988477893800382
600.937214,0.9877249605493069
601.178268,0.9867554907256378
601.419322,0.9862198279397818
601.660376,0.9871167093342165
601.90143,0.9892007353071326
602.142484,0.9890039039461764
602.383538,0.9860502127167035
602.624592,0.985658828477167
602.865646,0.9865167247887259
603.1067,0.9895697760032133
603.347754,0.9811401158532493
603.588808,0.9895776925930876
603.829862,0.988097403060436
604.070916,0.9846342761551045
604.31197,0.990432859097189
604.553024,0.9887497626014239
604.794078,0.9861419196507925
605.035132,0.9890058819559623
605.276186,0.9873388355820825
605.51724,0.9869953014457066
605.758294,0.9867456232200682
605.999348,0.9917228458478466
606.240402,0.9871591562653204
606.481456,0.9866114349403201
606.72251,0.9888219439686816
606.963564,0.9882881242632308
607.204618,0.9878326284378001
607.445672,0.9815414842348722
607.686726,0.9880519516252864
607.92778,0.992796272134078
608.168834,0.9868916723796759
608.409888,0.9836757092679842
608.650942,0.9843881483533229
608.891996,0.9907026897572745
609.13305,0.9881685486346664
609.374104,0.9836343957557848
609.615158,0.9872104898761085
609.856212,0.9878178110595042
610.097266,0.9885925638867992
610.33832,0.987993658279811
610.579374,0.98495925908547
610.820428,0.9886637451138924
611.061482,0.98055455001288
611.302536,0.9886904393953817
611.54359,0.9839118197703355
611.784644,0.9848410710658028
612.025698,0.9856479862896859
612.266752,0.9879096823878832
612.507806,0.9862908383237365
612.74886,0.9843723982689502
612.989914,0.9880065022808545
613.230968,0.9861636150116729
613.472022,0.9845368021868062
613.713076,0.9830099861855
613.95413,0.9867367425494222
614.195184,0.980182010070947
614.436238,0.9865256034792029
614.677292,0.9829313485321531
614.918346,0.9886914280863155
615.1594,0.9812666910921217
615.400454,0.9822052305992098
615.641508,0.9863253591071881
615.882562,0.9836914482052437
616.123616,0.9857475417637679
616.36467,0.9838114658828542
616.605724,0.9792728230936067
616.846778,0.9839069002235356
617.087832,0.9826630448991162
617.328886,0.9819273058471575
617.56994,0.9796117101144709
617.810994,0.9786590114835757
618.052048,0.9818222452462743
618.293102,0.978850847449137
618.534156,0.9802731712368121
618.77521,0.9794138485337203
619.016264,0.9804231645062038
619.257318,0.9801251611629972
619.498372,0.9782705609685459
619.739426,0.976192967020832
619.98048,0.9748925687038269
620.221534,0.9784398164157675
620.462588,0.9814138921355878
620.703642,0.9821914798222371
620.944696,0.9792179853509846
621.18575,0.9747560932977096
621.426804,0.974194795457267
621.667858,0.9785591933552155
621.908912,0.9741227077096827
622.149966,0.9730070025078342
622.39102,0.9727550263265087
622.632074,0.9744062186664698
622.873128,0.9734722110310122
623.114182,0.9687196769668331
623.355236,0.9710794414303134
623.59629,0.9714708653118244
623.837344,0.9741295265925027
624.078398,0.9706105233129441
624.319452,0.9703708121192369
624.560506,0.9683167733909691
624.80156,0.9703426717737225
625.042614,0.9687719892418081
625.283668,0.9687167708121615
625.524722,0.9621556914377081
625.765776,0.9687671453939715
626.00683,0.961404541205042
626.247884,0.9669727150573352
626.488938,0.961664155477517
626.729992,0.9627514501790158
626.971046,0.9610911744061728
627.2121,0.9584565967445688
627.453154,0.9614324223410116
627.694208,0.9619815570171982
627.935262,0.9523639660271328
628.176316,0.9589656723450505
628.41737,0.9609181935635225
628.658424,0.951551945939915
628.899478,0.9557890970968218
629.140532,0.9554775606343707
629.381586,0.9551002215273
629.62264,0.9542438807548447
629.863694,0.9490061498931534
630.104748,0.9502340084844783
630.345802,0.9477770345616634
630.586856,0.9428378145054533
630.82791,0.9428670429307412
631.068964,0.9471365537931898
631.310018,0.9433338776490525
631.551072,0.9408222989532403
631.792126,0.9402871233370379
632.03318,0.9369672025228735
632.274234,0.9379862396183386
632.515288,0.9328890524969349
632.756342,0.9369203553339368
632.997396,0.9327360712371315
633.23845,0.9290060758362179
633.479504,0.9318187103586064
633.720558,0.9230988073426759
633.961612,0.9242959189577612
634.202666,0.9224113548390593
634.44372,0.9224178117411423
634.684774,0.919927883050626
634.925828,0.9156757149218755
635.166882,0.9119847596112609
635.407936,0.9040867145640272
635.64899,0.9049378605638188
635.890044,0.9010270496638251
636.131098,0.8985795861480635
636.372152,0.8932310472927947
636.613206,0.8860605410103827
636.85426,0.8808393669794047
637.095314,0.8737770739425066
637.336368,0.8743801881740082
637.577422,0.8647801207743796
