nu,[0]Isopentylacetate-HITRAN(x-sec)-X=0.01-T=298.1K-P=1.0atm-L=15cm
614.361418,0.9075578212471
614.602472,0.9055661054147979
614.843526,0.907891863985413
615.08458,0.9072420460733731
615.325634,0.9096503355147534
615.566688,0.9079626823126827
615.807742,0.9128533825013034
616.048796,0.9145766485097427
616.28985,0.916430542657289
616.530904,0.9189459245307147
616.771958,0.9204431869367559
617.013012,0.9220544507101399
617.254066,0.9210407484528152
617.49512,0.9213428993683491
617.736174,0.9211641761825812
617.977228,0.9243523027285052
618.218282,0.924826617111042
618.459336,0.9261908167127731
618.70039,0.9269895373959369
618.941444,0.9305402011666906
619.182498,0.9308221975679414
619.423552,0.9319836568676754
619.664606,0.9328759921416225
619.90566,0.9325868454041186
620.146714,0.934187604102221
620.387768,0.9308128893925066
620.628822,0.9336776768931774
620.869876,0.9336739421899392
621.11093,0.9357302860115689
621.351984,0.9334993614865542
621.593038,0.9360307036478297
621.834092,0.9368435310146395
622.075146,0.9372970730319651
622.3162,0.9393153689351129
622.557254,0.9365540910843282
622.798308,0.9372951984396936
623.039362,0.9340904536433058
623.280416,0.9355487719435166
623.52147,0.9314805215517282
623.762524,0.9333453467984701
624.003578,0.9331773597553338
624.244632,0.9346510760854058
624.485686,0.9327136858400477
624.72674,0.9331913575207131
624.967794,0.9342156301507327
625.208848,0.9298155926216535
625.449902,0.9299522855604537
625.690956,0.9259518903048932
625.93201,0.9260037450626699
626.173064,0.922610617211266
626.414118,0.9213475060943628
626.655172,0.9188770061708457
626.896226,0.9184856479314404
627.13728,0.9169154626643882
627.378334,0.915941299387089
627.619388,0.9155246408928636
627.860442,0.9145684173569464
628.101496,0.9115945136527396
628.34255,0.9055778778506889
628.583604,0.9058976032697866
628.824658,0.9015407814817923
629.065712,0.9022171906896499
629.306766,0.897789183940232
629.54782,0.8994876100049312
629.788874,0.8963269795906984
630.029928,0.8970084470200093
630.270982,0.8972865627442954
630.512036,0.8956281171384064
630.75309,0.895869969378617
630.994144,0.8929631181699847
631.235198,0.8950640491246901
631.476252,0.8894072939152965
631.717306,0.8904039881290535
631.95836,0.8878877070597481
632.199414,0.8896296735350695
632.440468,0.8876835163699538
632.681522,0.8901102032901355
632.922576,0.8893539310785626
633.16363,0.8894962390918727
633.404684,0.8885449871266031
633.645738,0.8875947524565865
633.886792,0.8886693921329482
634.127846,0.8857681892725391
634.3689,0.8843520933485427
634.609954,0.8826469398108376
634.851008,0.8845112910527089
635.092062,0.8809274553204463
635.333116,0.8817294641634662
635.57417,0.8817470989290965
635.815224,0.8809803125534666
636.056278,0.8809010278932
636.297332,0.8801789851283197
636.538386,0.8797214110356277
636.77944,0.8752900165984839
637.020494,0.8760430897878156
637.261548,0.874590064603334
637.502602,0.8732966286863948
637.743656,0.8708983620854909
637.98471,0.8715692120683945
638.225764,0.8724673908394857
638.466818,0.8729735687035632
638.707872,0.8729037336115079
638.948926,0.8730259486890694
639.18998,0.8756489590834706
639.431034,0.8748174875838373
639.672088,0.8754388285499632
639.913142,0.8746862748019043
640.154196,0.8784291705908325
640.39525,0.8755176215901663
640.636304,0.8784818779222721
640.877358,0.8798445806548449
641.118412,0.8816148467834161
641.359466,0.883883510924379
641.60052,0.8841221916927824
641.841574,0.8877722891601564
642.082628,0.8857150447755335
642.323682,0.8881274691070741
642.564736,0.8882695808707691
642.80579,0.8910274891206313
643.046844,0.8905108430187941
643.287898,0.8932935756545722
643.528952,0.8921419698873967
643.770006,0.8933739756943287
644.01106,0.8958878869571797
644.252114,0.8975647646978211
644.493168,0.8998294802479654
644.734222,0.8993796779677823
644.975276,0.9008108291194089
645.21633,0.9002524995054203
645.457384,0.9025781497529256
645.698438,0.9012703598126263
645.939492,0.9025871755795521
646.180546,0.9030295516688768
646.4216,0.903707077873196
646.662654,0.9065763747428197
646.903708,0.9077339045439495
647.144762,0.9112308599955213
647.385816,0.9115726356469491
647.62687,0.9151200684186923
647.867924,0.9141596966302757
648.108978,0.9174043088719296
648.350032,0.9174887139509199
648.591086,0.9200401210987399
648.83214,0.919077343194133
649.073194,0.9215502248439483
649.314248,0.9225395789287497
649.555302,0.9251855194610344
649.796356,0.927493029400451
650.03741,0.9299997143364408
650.278464,0.9311024172203513
650.519518,0.9325178365309185
650.760572,0.9352821785348779
651.001626,0.9360765702760316
651.24268,0.9376111201513863
651.483734,0.9364014452084584
651.724788,0.940196860105902
651.965842,0.9406144001988302
652.206896,0.9421488519095582
652.44795,0.9438858894151761
652.689004,0.9458531069998322
652.930058,0.9485222801539791
653.171112,0.9494266527520623
653.412166,0.9533759138082155
653.65322,0.9539042303946472
653.894274,0.9558655632831963
654.135328,0.9540349242265344
654.376382,0.957163553339643
654.617436,0.957097511332938
654.85849,0.958858274204156
655.099544,0.9601516867219648
655.340598,0.962224006916971
655.581652,0.9658526428877869
655.822706,0.9650484226404976
656.06376,0.9693272546599935
656.304814,0.9683080585792253
656.545868,0.9703746936102483
656.786922,0.970837672750847
657.027976,0.9734245120613061
657.26903,0.9709318485725573
657.510084,0.9722289081850554
657.751138,0.9735685895505624
657.992192,0.9752299398944486
658.233246,0.9763452650026211
658.4743,0.9771041800738517
658.715354,0.9788811922957507
658.956408,0.9797527843578291
659.197462,0.9814011338379192
659.438516,0.9805212117249337
659.67957,0.98225532434335
659.920624,0.9814943713743467
660.161678,0.9818870476529165
660.402732,0.9822071950116354
660.643786,0.9826188260570271
660.88484,0.9827141447060344
661.125894,0.9837278454621724
661.366948,0.9856470006421924
661.608002,0.9856470006421924
661.849056,0.9880223105113565
662.09011,0.987017015581193
662.331164,0.9884116680000864
662.572218,0.9867041807741904
662.813272,0.9883543417858187
663.054326,0.9869479268082376
663.29538,0.9870140545345878
663.536434,0.9875896514985932
663.777488,0.9872095026661122
664.018542,0.9894134363297642
664.259596,0.9891156677018555
664.50065,0.9902718278064986
664.741704,0.9909474235450231
664.982758,0.9927807846330355
665.223812,0.9900926048258346
665.464866,0.992627014799277
665.70592,0.9913470541063036
665.946974,0.9907268631978193
666.188028,0.9900912186971581
666.429082,0.9909244338314785
666.670136,0.9911762597232397
666.91119,0.990503677578345
667.152244,0.9925479055787417
667.393298,0.9918728056788164
667.634352,0.9942239459150711
667.875406,0.9934333552652185
668.11646,0.9940843666717568
668.357514,0.9938890482843659
668.598568,0.9929176985432335
668.839622,0.9922893805236889
669.080676,0.9926413087312062
669.32173,0.9916947804884358
669.562784,0.99256597011501
669.803838,0.9950336731842043
670.044892,0.9933401755866899
670.285946,0.9956602440739704
670.527,0.9947567938425046
670.768054,0.9961369807306235
671.009108,0.9954127537016215
671.250162,0.9973709619895629
671.491216,0.9947103397849428
671.73227,0.9945244457947715
671.973324,0.9932685583418628
672.214378,0.9923316529516955
672.455432,0.9954505801049592
672.696486,0.9935951987405843
672.93754,0.9952368798069586
673.178594,0.9946657777599173
673.419648,0.9963651222204144
673.660702,0.9956951923618762
673.901756,0.9974024794099343
674.14281,0.9952631544074088
674.383864,0.9965329242355294
674.624918,0.9952183685731493
674.865972,0.9962244453971744
